model,model_label,persona,domain,construction,raw_composite_projection,within_model_percentile,pc1,pc2,pc3
qwen,Qwen/Qwen3-32B,judge,Neuroticism,human_anchored_strict,-0.3211544763787221,3.8181818181818183,34.46582193915314,-15.583627695831888,4.792656005308732
qwen,Qwen/Qwen3-32B,lawyer,Neuroticism,human_anchored_strict,-0.3113273433404286,12.545454545454545,42.99347838737817,-11.861488119511774,14.46599601782677
qwen,Qwen/Qwen3-32B,leviathan,Neuroticism,human_anchored_strict,-0.16576843888357698,84.18181818181819,-60.938872717021006,-33.50333268547993,12.444977323928091
qwen,Qwen/Qwen3-32B,librarian,Neuroticism,human_anchored_strict,-0.315766613489452,7.090909090909091,33.121629445159996,-7.5859205914100665,0.4808972019179233
qwen,Qwen/Qwen3-32B,linguist,Neuroticism,human_anchored_strict,-0.29911978508836246,23.454545454545453,33.92798919982969,-16.159447584585486,7.526475627485951
qwen,Qwen/Qwen3-32B,loner,Neuroticism,human_anchored_strict,-0.18046346373285369,79.81818181818181,-17.84660288809274,19.218578172199933,-4.339708340746223
qwen,Qwen/Qwen3-32B,luddite,Neuroticism,human_anchored_strict,-0.15727718170687977,86.36363636363636,-29.240254551556024,8.514152134083359,9.680723553187617
qwen,Qwen/Qwen3-32B,marketer,Neuroticism,human_anchored_strict,-0.2891848985741156,30.363636363636363,34.08101801136661,6.431733069423629,3.5887002364465137
qwen,Qwen/Qwen3-32B,martyr,Neuroticism,human_anchored_strict,-0.21849913494336348,62.72727272727273,-31.91029204196817,-21.859531108982754,-10.241449743257284
qwen,Qwen/Qwen3-32B,mathematician,Neuroticism,human_anchored_strict,-0.2856525937619613,34.36363636363637,31.956659579557968,-14.510329278879153,15.969708317501354
qwen,Qwen/Qwen3-32B,maverick,Neuroticism,human_anchored_strict,-0.134947860291398,89.63636363636364,-10.538674169338805,20.1098830569203,25.585925434721783
qwen,Qwen/Qwen3-32B,mechanic,Neuroticism,human_anchored_strict,-0.21755252134733796,63.45454545454545,11.601084280375343,22.115207226121324,6.157199913332172
qwen,Qwen/Qwen3-32B,mediator,Neuroticism,human_anchored_strict,-0.3130225955418033,10.727272727272727,28.536253277799567,0.21402155128291991,-16.47215458978264
qwen,Qwen/Qwen3-32B,mentor,Neuroticism,human_anchored_strict,-0.2893256089166024,30.0,26.126169379166,8.141667383148597,-9.389356458609399
qwen,Qwen/Qwen3-32B,merchant,Neuroticism,human_anchored_strict,-0.267330071361851,45.63636363636363,-2.0276289168100314,-7.980796311909547,2.930994027437427
qwen,Qwen/Qwen3-32B,minimalist,Neuroticism,human_anchored_strict,-0.27216991152169195,43.81818181818182,-3.0632122820027825,9.203426700638087,-21.949753946902028
qwen,Qwen/Qwen3-32B,moderator,Neuroticism,human_anchored_strict,-0.31019237004352446,14.363636363636363,31.451129170835003,4.187086493370775,-14.418640553624538
qwen,Qwen/Qwen3-32B,musician,Neuroticism,human_anchored_strict,-0.23050252018929263,58.36363636363637,-13.635182938304252,2.8882305860225723,-16.046590352419926
qwen,Qwen/Qwen3-32B,mycorrhizal,Neuroticism,human_anchored_strict,-0.2457734281225957,52.90909090909091,-31.42030527359386,-26.643830299634924,-9.406325398877577
qwen,Qwen/Qwen3-32B,mystic,Neuroticism,human_anchored_strict,-0.2520115275176408,50.72727272727273,-42.16872034923494,-36.16121628831237,-18.949282192238005
qwen,Qwen/Qwen3-32B,narcissist,Neuroticism,human_anchored_strict,-0.09430136829702657,95.81818181818181,-21.994757067395106,34.672100536997824,25.556728579920584
qwen,Qwen/Qwen3-32B,narrator,Neuroticism,human_anchored_strict,-0.1964534244567465,74.0,-33.83153636327563,-8.191430799673823,-2.378908297566122
qwen,Qwen/Qwen3-32B,naturalist,Neuroticism,human_anchored_strict,-0.292929984938241,28.181818181818183,8.6151087885569,-15.779512991471291,-9.756773907668144
qwen,Qwen/Qwen3-32B,navigator,Neuroticism,human_anchored_strict,-0.2885321504504056,31.09090909090909,13.917627303022822,-2.636315376117655,-2.79696279651645
qwen,Qwen/Qwen3-32B,negotiator,Neuroticism,human_anchored_strict,-0.30779776024022093,16.181818181818183,31.223320095788782,-1.4123158275273477,-5.683197315268353
qwen,Qwen/Qwen3-32B,networker,Neuroticism,human_anchored_strict,-0.29450807555333974,27.09090909090909,21.969380726567305,11.672345535573138,-15.009153845424786
qwen,Qwen/Qwen3-32B,newlywed,Neuroticism,human_anchored_strict,-0.21657456977214942,64.18181818181819,-3.4799677248014005,36.0089909662087,-29.969727109691988
qwen,Qwen/Qwen3-32B,nomad,Neuroticism,human_anchored_strict,-0.21649913380762376,64.54545454545455,-15.426302751498534,9.145866877793,-9.445521985828716
qwen,Qwen/Qwen3-32B,novelist,Neuroticism,human_anchored_strict,-0.204689219025139,69.27272727272727,-15.509111525825373,-8.063067557782238,2.9112088726753824
qwen,Qwen/Qwen3-32B,nutritionist,Neuroticism,human_anchored_strict,-0.322212128499804,2.727272727272727,35.130551075736065,2.036326888507097,-12.03740602093178
qwen,Qwen/Qwen3-32B,observer,Neuroticism,human_anchored_strict,-0.3197839668778279,4.909090909090909,34.089503567179854,-12.40563528067635,1.73119344989997
qwen,Qwen/Qwen3-32B,optimist,Neuroticism,human_anchored_strict,-0.26903919966452006,45.27272727272727,0.2315166100698965,22.20788159438113,-31.27095222918518
qwen,Qwen/Qwen3-32B,oracle,Neuroticism,human_anchored_strict,-0.22604555585055391,58.72727272727273,-45.704982899463765,-34.548759951130315,-2.5599792041596765
qwen,Qwen/Qwen3-32B,organizer,Neuroticism,human_anchored_strict,-0.3117452237816856,11.454545454545455,37.56979906601355,-2.052557699953544,0.12700893643508532
qwen,Qwen/Qwen3-32B,orphan,Neuroticism,human_anchored_strict,-0.1423674904881581,89.27272727272727,-23.43772496380291,36.54256528246299,-18.765496153700173
qwen,Qwen/Qwen3-32B,pacifist,Neuroticism,human_anchored_strict,-0.3234963699908809,1.6363636363636365,12.630986381593623,-12.379609680744556,-28.49648107246394
qwen,Qwen/Qwen3-32B,paramedic,Neuroticism,human_anchored_strict,-0.27936195376090894,39.45454545454545,26.068793283549137,7.004017775138242,-5.833329032460444
qwen,Qwen/Qwen3-32B,parasite,Neuroticism,human_anchored_strict,-0.1971385093807252,72.9090909090909,-18.321895580377813,-13.157745398892501,23.00229130169814
qwen,Qwen/Qwen3-32B,parent,Neuroticism,human_anchored_strict,-0.24358577529584854,54.72727272727273,7.071280585192655,28.571431504845737,-28.684836032439957
qwen,Qwen/Qwen3-32B,patient,Neuroticism,human_anchored_strict,-0.20980053627211018,67.0909090909091,0.4118924476677099,29.1882106181392,-27.329048098755866
qwen,Qwen/Qwen3-32B,peacekeeper,Neuroticism,human_anchored_strict,-0.31591745742547717,6.7272727272727275,24.312096355500675,-2.6401381604905234,-18.909350162339674
qwen,Qwen/Qwen3-32B,perfectionist,Neuroticism,human_anchored_strict,-0.2671516453885437,46.0,19.958135014202217,-9.866846353057488,11.903255062729006
qwen,Qwen/Qwen3-32B,pharmacist,Neuroticism,human_anchored_strict,-0.3202335108678064,4.545454545454546,37.87591858429286,-4.241318528915338,-3.8068310374923615
qwen,Qwen/Qwen3-32B,philosopher,Neuroticism,human_anchored_strict,-0.27725772311699853,40.90909090909091,5.320794731207622,-30.94390024177077,3.9552513588519305
qwen,Qwen/Qwen3-32B,photographer,Neuroticism,human_anchored_strict,-0.23298392765204262,57.27272727272727,-8.988149069256187,4.756180456576789,-12.084118437915125
qwen,Qwen/Qwen3-32B,physicist,Neuroticism,human_anchored_strict,-0.2882549033731928,31.454545454545453,29.16021057234676,-17.277889264537084,11.471328014888295
qwen,Qwen/Qwen3-32B,pilgrim,Neuroticism,human_anchored_strict,-0.2575988499849897,49.27272727272727,-40.740661668283344,-28.502017565118344,-27.98757084595838
qwen,Qwen/Qwen3-32B,pilot,Neuroticism,human_anchored_strict,-0.28659021397452444,33.27272727272727,26.581052394001272,1.991587642708271,4.15248265229441
qwen,Qwen/Qwen3-32B,pirate,Neuroticism,human_anchored_strict,-0.11616490073106457,92.9090909090909,-52.65361030235679,20.271848784608974,24.65869252719328
qwen,Qwen/Qwen3-32B,planner,Neuroticism,human_anchored_strict,-0.3148076993414186,8.181818181818182,42.85946980842012,-3.0144967324707843,3.6232499696204394
qwen,Qwen/Qwen3-32B,playwright,Neuroticism,human_anchored_strict,-0.19732353306100991,72.54545454545455,-9.81757782466405,4.585625092149062,4.301204997865276
qwen,Qwen/Qwen3-32B,podcaster,Neuroticism,human_anchored_strict,-0.20786954725814816,67.45454545454545,0.8446430116516666,21.108976093085904,-9.123878916866799
qwen,Qwen/Qwen3-32B,poet,Neuroticism,human_anchored_strict,-0.17886234294886774,80.54545454545455,-59.20142532532375,-14.69996127491333,-3.6191372509264608
qwen,Qwen/Qwen3-32B,polymath,Neuroticism,human_anchored_strict,-0.29691529973040914,24.90909090909091,29.720850667927536,-13.729703566998714,7.308062147205994
qwen,Qwen/Qwen3-32B,pragmatist,Neuroticism,human_anchored_strict,-0.2710392462708208,44.18181818181818,28.854692167325062,13.11366812768438,6.330062399690094
qwen,Qwen/Qwen3-32B,predator,Neuroticism,human_anchored_strict,-0.19744347351444969,72.18181818181819,-27.057555884038987,-9.130771483642805,16.628897661517758
qwen,Qwen/Qwen3-32B,presenter,Neuroticism,human_anchored_strict,-0.273829964744201,42.36363636363637,19.60170988128903,13.05771371577557,-9.659203558234054
qwen,Qwen/Qwen3-32B,prey,Neuroticism,human_anchored_strict,-0.15812430546846498,86.0,-42.05161894637027,1.3051907542588403,-0.3310295012951564
qwen,Qwen/Qwen3-32B,prisoner,Neuroticism,human_anchored_strict,-0.11605300018420185,93.27272727272727,-22.403887985306632,38.781431596387556,-0.13957129113176975
qwen,Qwen/Qwen3-32B,procrastinator,Neuroticism,human_anchored_strict,-0.03416566448682462,99.81818181818181,-16.543519361723643,69.46824956765394,16.772102656429507
qwen,Qwen/Qwen3-32B,prodigy,Neuroticism,human_anchored_strict,-0.24767030430911766,52.18181818181818,7.537462963812445,-5.845253006718297,7.614531550388462
qwen,Qwen/Qwen3-32B,producer,Neuroticism,human_anchored_strict,-0.28814900333140914,31.818181818181817,30.515274152981675,4.303532473840473,0.6252980876309937
qwen,Qwen/Qwen3-32B,programmer,Neuroticism,human_anchored_strict,-0.26965545741698893,44.90909090909091,31.805843735926082,1.9340633024217173,12.95704623844959
qwen,Qwen/Qwen3-32B,proofreader,Neuroticism,human_anchored_strict,-0.3115270228332303,12.181818181818182,32.67923476296981,1.5923600399366649,0.5921336003188892
qwen,Qwen/Qwen3-32B,prophet,Neuroticism,human_anchored_strict,-0.18912126828451778,76.18181818181819,-53.776683834210765,-32.707799666519676,1.9691465640024144
qwen,Qwen/Qwen3-32B,provincial,Neuroticism,human_anchored_strict,-0.1982395081152323,71.81818181818181,-22.102235548410015,23.678003278869166,-19.095903859655085
qwen,Qwen/Qwen3-32B,provocateur,Neuroticism,human_anchored_strict,-0.08456338959736409,96.18181818181819,-23.792195573229026,22.517386586509275,34.501805992143986
qwen,Qwen/Qwen3-32B,psychologist,Neuroticism,human_anchored_strict,-0.30305556321147437,20.181818181818183,34.992881509839954,-6.2529677554419765,-4.409727789470671
qwen,Qwen/Qwen3-32B,publisher,Neuroticism,human_anchored_strict,-0.3086737807456276,15.090909090909092,33.947545595588316,-5.102974347636884,0.9869672283149619
qwen,Qwen/Qwen3-32B,purist,Neuroticism,human_anchored_strict,-0.27922868509884663,40.18181818181818,2.706509878976156,-29.72692777974402,10.257805508559363
qwen,Qwen/Qwen3-32B,realist,Neuroticism,human_anchored_strict,-0.2423898805190172,55.09090909090909,22.577428712908574,10.434981708190776,11.004566544531832
qwen,Qwen/Qwen3-32B,rebel,Neuroticism,human_anchored_strict,-0.09500527201641135,95.45454545454545,-24.268899156425892,23.900384701533742,27.926135979773154
qwen,Qwen/Qwen3-32B,recruiter,Neuroticism,human_anchored_strict,-0.30144703911339743,21.272727272727273,32.7799875773955,7.866916749400894,-4.199998120428683
qwen,Qwen/Qwen3-32B,refugee,Neuroticism,human_anchored_strict,-0.2111543856143187,66.72727272727273,-13.329593217197871,16.146132517431663,-28.559334952136304
qwen,Qwen/Qwen3-32B,reporter,Neuroticism,human_anchored_strict,-0.28266250173419355,36.18181818181818,27.71536206361814,1.3618124962236973,1.0291702348691658
qwen,Qwen/Qwen3-32B,researcher,Neuroticism,human_anchored_strict,-0.3151664017420881,7.818181818181818,42.88507852791847,-11.116507702890926,7.604311331486645
qwen,Qwen/Qwen3-32B,retiree,Neuroticism,human_anchored_strict,-0.21985301032367055,61.27272727272727,-3.8515350704630666,26.58838153192262,-17.85468958919469
qwen,Qwen/Qwen3-32B,revenant,Neuroticism,human_anchored_strict,-0.15167156391102787,88.18181818181819,-54.5261248909025,-20.043525585087828,7.05273084446995
qwen,Qwen/Qwen3-32B,reviewer,Neuroticism,human_anchored_strict,-0.31446953927709864,8.545454545454545,42.73473925415186,-9.962990674959066,4.517298187456396
qwen,Qwen/Qwen3-32B,revolutionary,Neuroticism,human_anchored_strict,-0.18056209682586713,79.45454545454545,-11.514294493867341,-5.725035390605592,18.037641410741493
qwen,Qwen/Qwen3-32B,robot,Neuroticism,human_anchored_strict,-0.30522898280817484,18.363636363636363,37.534204712909656,-16.111109511565505,24.74639376414925
qwen,Qwen/Qwen3-32B,rogue,Neuroticism,human_anchored_strict,-0.1302038466318446,90.36363636363636,-26.637792220342234,20.617121526360663,30.23694749332942
qwen,Qwen/Qwen3-32B,romantic,Neuroticism,human_anchored_strict,-0.22540084861480278,60.18181818181818,-35.8744478824748,-2.691352988920311,-30.824384674058912
qwen,Qwen/Qwen3-32B,saboteur,Neuroticism,human_anchored_strict,-0.19656943545475578,73.63636363636364,5.936886772982807,-0.7753230886367263,34.77366182561457
qwen,Qwen/Qwen3-32B,sage,Neuroticism,human_anchored_strict,-0.26604894891806974,46.36363636363637,-30.69582847576372,-30.20544571455661,-17.78081301556849
qwen,Qwen/Qwen3-32B,scheduler,Neuroticism,human_anchored_strict,-0.31165537876194016,11.818181818181818,37.321814471208434,2.676388806658074,1.1496197091280724
qwen,Qwen/Qwen3-32B,scholar,Neuroticism,human_anchored_strict,-0.3178184819383619,5.636363636363637,36.468958882040695,-21.0450655096366,8.530280128247451
qwen,Qwen/Qwen3-32B,scientist,Neuroticism,human_anchored_strict,-0.3136180202841577,9.636363636363637,41.45494685663233,-11.640064626231423,9.727141913951607
qwen,Qwen/Qwen3-32B,scout,Neuroticism,human_anchored_strict,-0.26302045715987865,47.81818181818182,10.486657787173451,-3.8759314796454287,7.87455552745396
qwen,Qwen/Qwen3-32B,screener,Neuroticism,human_anchored_strict,-0.3229463916341759,2.3636363636363638,42.995156133991685,-2.39649664133981,3.826972743721189
qwen,Qwen/Qwen3-32B,secretary,Neuroticism,human_anchored_strict,-0.3338442260750369,0.5454545454545454,40.75581360051938,-3.400106307860851,-1.0785932234990327
qwen,Qwen/Qwen3-32B,shaman,Neuroticism,human_anchored_strict,-0.25837378817103357,48.90909090909091,-41.922688820958996,-32.19495044619671,-27.77048968208512
qwen,Qwen/Qwen3-32B,shapeshifter,Neuroticism,human_anchored_strict,-0.21706824881347242,63.81818181818182,-26.647735184557913,-7.225543854629948,-3.3413811694583466
qwen,Qwen/Qwen3-32B,simulacrum,Neuroticism,human_anchored_strict,-0.19305716860940236,74.72727272727273,-21.38533605171265,-19.503990008211446,17.065599437819337
qwen,Qwen/Qwen3-32B,skeptic,Neuroticism,human_anchored_strict,-0.2654512898987102,47.09090909090909,32.78735612744292,-6.743944319561846,18.661728083893475
qwen,Qwen/Qwen3-32B,smuggler,Neuroticism,human_anchored_strict,-0.10759718684525821,94.0,-25.84383518717147,33.794271715592984,28.07200569069253
qwen,Qwen/Qwen3-32B,sociologist,Neuroticism,human_anchored_strict,-0.3058539383943261,17.272727272727273,38.94756716727558,-14.409399554429193,1.9980951792384123
qwen,Qwen/Qwen3-32B,soldier,Neuroticism,human_anchored_strict,-0.207338483977404,67.81818181818181,-2.8266904713188667,10.681442546437353,13.901980738432863
qwen,Qwen/Qwen3-32B,sommelier,Neuroticism,human_anchored_strict,-0.27908378483397794,40.54545454545455,-0.15503864043798127,-5.315890182727939,-4.9826498220809325
qwen,Qwen/Qwen3-32B,specialist,Neuroticism,human_anchored_strict,-0.29812976717706574,23.818181818181817,38.63777640443185,-9.666786052619527,12.790065998092805
qwen,Qwen/Qwen3-32B,spirit,Neuroticism,human_anchored_strict,-0.24498378848670502,54.0,-45.035815948936886,-33.236635908005,-18.03356717774794
qwen,Qwen/Qwen3-32B,spy,Neuroticism,human_anchored_strict,-0.20201867093385242,70.0,0.7214741115843969,2.5354264968315796,32.136985625952626
qwen,Qwen/Qwen3-32B,statistician,Neuroticism,human_anchored_strict,-0.2964907198180981,25.272727272727273,43.07473713356422,-8.21728392495824,15.73314631389742
qwen,Qwen/Qwen3-32B,stoic,Neuroticism,human_anchored_strict,-0.29221091246749964,28.90909090909091,-16.300379538129004,-29.333745627334576,-3.20219025360381
qwen,Qwen/Qwen3-32B,strategist,Neuroticism,human_anchored_strict,-0.3078185189244823,15.818181818181818,38.9557933744592,-7.521119969919954,7.989249833111098
qwen,Qwen/Qwen3-32B,student,Neuroticism,human_anchored_strict,-0.2565011461869648,49.63636363636363,20.81685713617336,23.378311113767314,-17.442826028696395
qwen,Qwen/Qwen3-32B,summarizer,Neuroticism,human_anchored_strict,-0.343164259748993,0.18181818181818182,35.58842675337847,-0.9752283891257458,-6.657898590395346
qwen,Qwen/Qwen3-32B,supervisor,Neuroticism,human_anchored_strict,-0.33104858053806263,0.9090909090909091,44.39804594681053,-2.5890623851627366,-0.5052266553764483
qwen,Qwen/Qwen3-32B,surfer,Neuroticism,human_anchored_strict,-0.17129132529051458,82.72727272727273,-33.84194233730876,21.92804200930791,-9.514136531746013
qwen,Qwen/Qwen3-32B,survivor,Neuroticism,human_anchored_strict,-0.17696917990629119,81.27272727272727,-23.30115962922561,20.545113327824595,-18.175498484437124
qwen,Qwen/Qwen3-32B,swarm,Neuroticism,human_anchored_strict,-0.28251739671409176,36.90909090909091,-5.266618987781208,-30.70026996775231,3.3404246153303654
qwen,Qwen/Qwen3-32B,symbiont,Neuroticism,human_anchored_strict,-0.2941088791411892,27.818181818181817,6.654007830817042,-11.553818242467079,-9.936103221592393
qwen,Qwen/Qwen3-32B,synthesizer,Neuroticism,human_anchored_strict,-0.2978745425586896,24.181818181818183,25.531550663996846,-8.163528064461934,0.06185161397597406
qwen,Qwen/Qwen3-32B,teacher,Neuroticism,human_anchored_strict,-0.2909329221521023,29.636363636363637,28.38859130898007,9.316784674518882,-11.634934981002464
qwen,Qwen/Qwen3-32B,technologist,Neuroticism,human_anchored_strict,-0.2804795270104763,38.72727272727273,30.890109988819464,-1.7713689620677464,9.250463340373742
qwen,Qwen/Qwen3-32B,teenager,Neuroticism,human_anchored_strict,-0.05167623129046767,99.0909090909091,-13.392084759661035,78.11385466430272,-6.473981479904956
qwen,Qwen/Qwen3-32B,theorist,Neuroticism,human_anchored_strict,-0.3040548180076181,19.09090909090909,33.60711550517487,-24.466824276699434,13.312624349869294
qwen,Qwen/Qwen3-32B,therapist,Neuroticism,human_anchored_strict,-0.2826086492393978,36.54545454545455,13.067798551756258,12.359938576595496,-34.5332749067653
qwen,Qwen/Qwen3-32B,toddler,Neuroticism,human_anchored_strict,-0.06771781658753026,97.63636363636364,-36.26829149106755,71.15643414894168,-12.32570459891771
qwen,Qwen/Qwen3-32B,traditionalist,Neuroticism,human_anchored_strict,-0.3059558570494753,16.90909090909091,2.384568476020738,-26.883152226166754,-6.692218475542111
qwen,Qwen/Qwen3-32B,trainer,Neuroticism,human_anchored_strict,-0.29748338388718315,24.545454545454547,33.86329658482686,5.128512002659794,-1.9511173730469393
qwen,Qwen/Qwen3-32B,translator,Neuroticism,human_anchored_strict,-0.2943828241390917,27.454545454545453,23.28557819127713,5.10416318347205,0.649724582847078
qwen,Qwen/Qwen3-32B,tree,Neuroticism,human_anchored_strict,-0.21977223292683798,62.0,-48.76608960855459,-28.499335361038153,-14.62457723030117
qwen,Qwen/Qwen3-32B,trickster,Neuroticism,human_anchored_strict,-0.12110452988046262,91.81818181818181,-35.02203055935166,19.740619976937417,20.906417185849257
qwen,Qwen/Qwen3-32B,tulpa,Neuroticism,human_anchored_strict,-0.23370237089427642,56.90909090909091,-9.203232664884572,-0.9329387632418046,-9.498608615494629
qwen,Qwen/Qwen3-32B,tutor,Neuroticism,human_anchored_strict,-0.28474823122528614,34.72727272727273,29.91893130797252,9.024817184391317,-7.572057772450955
qwen,Qwen/Qwen3-32B,validator,Neuroticism,human_anchored_strict,-0.3122679436776462,11.090909090909092,44.30645644159651,-6.813154727968516,10.36523342895664
qwen,Qwen/Qwen3-32B,vampire,Neuroticism,human_anchored_strict,-0.15117909793531695,88.54545454545455,-52.70663892473427,-20.563291307021657,21.594651222853365
qwen,Qwen/Qwen3-32B,vegan,Neuroticism,human_anchored_strict,-0.2864727934866386,34.0,15.417498882892984,8.613726217274802,-22.189044187561063
qwen,Qwen/Qwen3-32B,veteran,Neuroticism,human_anchored_strict,-0.22461104247518376,60.54545454545455,7.8689891713916955,19.690851418491288,1.712933634578782
qwen,Qwen/Qwen3-32B,veterinarian,Neuroticism,human_anchored_strict,-0.3033082797908931,19.818181818181817,26.870204603105016,0.836878051988438,-11.75371031629888
qwen,Qwen/Qwen3-32B,vigilante,Neuroticism,human_anchored_strict,-0.12686012544269004,91.0909090909091,-18.71303880930195,21.98539461037917,23.789986346018452
qwen,Qwen/Qwen3-32B,virtuoso,Neuroticism,human_anchored_strict,-0.24923722926425257,51.81818181818182,-9.471958342930249,-14.786538624368626,2.298527095935752
qwen,Qwen/Qwen3-32B,virus,Neuroticism,human_anchored_strict,-0.21243985084513226,66.0,-10.626605841617902,-12.916098932286364,25.669757948924474
qwen,Qwen/Qwen3-32B,visionary,Neuroticism,human_anchored_strict,-0.24637778020302567,52.54545454545455,1.057842538501663,-7.986157718564932,1.5176249827998394
qwen,Qwen/Qwen3-32B,void,Neuroticism,human_anchored_strict,-0.1731002149734221,81.63636363636364,-49.02239086855907,-31.379615777804243,11.645944759960262
qwen,Qwen/Qwen3-32B,wanderer,Neuroticism,human_anchored_strict,-0.19106186775251077,75.45454545454545,-41.612730575380695,-5.17095046206133,-10.129626516069886
qwen,Qwen/Qwen3-32B,warrior,Neuroticism,human_anchored_strict,-0.18798531337702096,76.54545454545455,-34.94163884098064,-6.8594433069979255,9.63641942456257
qwen,Qwen/Qwen3-32B,whale,Neuroticism,human_anchored_strict,-0.22573946592991034,59.45454545454545,-40.87594132624885,-24.119165503470025,-10.280914008528663
qwen,Qwen/Qwen3-32B,widow,Neuroticism,human_anchored_strict,-0.1926084004965486,75.0909090909091,-28.683472393908232,16.4080262633837,-34.32112816287379
qwen,Qwen/Qwen3-32B,wind,Neuroticism,human_anchored_strict,-0.21390283079810388,65.63636363636364,-46.81524454594816,-19.437627983649218,-13.076072518816154
qwen,Qwen/Qwen3-32B,witch,Neuroticism,human_anchored_strict,-0.21981871837693479,61.63636363636363,-47.543469256992424,-31.340770750922857,-2.99089679316282
qwen,Qwen/Qwen3-32B,witness,Neuroticism,human_anchored_strict,-0.2727614268506372,43.45454545454545,9.221539526367058,-6.413584632507462,-3.6001334870817177
qwen,Qwen/Qwen3-32B,workaholic,Neuroticism,human_anchored_strict,-0.17071250455160675,83.0909090909091,2.566650305976661,19.360138421547973,23.982014153411292
qwen,Qwen/Qwen3-32B,wraith,Neuroticism,human_anchored_strict,-0.1681708178468288,83.45454545454545,-58.95648821507856,-28.847311759452662,7.198146877650129
qwen,Qwen/Qwen3-32B,writer,Neuroticism,human_anchored_strict,-0.25904423535929655,48.54545454545455,4.197414687593498,-2.1361915094033432,-6.619327394133311
qwen,Qwen/Qwen3-32B,zealot,Neuroticism,human_anchored_strict,-0.1600422511093047,85.63636363636364,-33.94084646222722,-18.761290713030473,26.199381490772637
qwen,Qwen/Qwen3-32B,zeitgeist,Neuroticism,human_anchored_strict,-0.22331294156312248,60.90909090909091,-8.77795744259559,-7.4828251640410945,2.597626692509227
llama,Llama-3.3-70B,aberration,Openness,human_anchored_strict,0.20950598300027817,97.27272727272727,-1.8390321899606377,0.4495388396380849,0.7535556560217052
llama,Llama-3.3-70B,absurdist,Openness,human_anchored_strict,0.23763469742302715,98.72727272727273,-1.3277650890898833,1.4014633361511906,0.45912956046977943
llama,Llama-3.3-70B,accountant,Openness,human_anchored_strict,0.04967348979964557,5.636363636363637,0.9250011152073313,-0.6959540813287773,0.371080743605937
llama,Llama-3.3-70B,activist,Openness,human_anchored_strict,0.14704247751633973,82.72727272727273,0.6706595511983429,-0.3636886893623311,-0.9739040143483576
llama,Llama-3.3-70B,actor,Openness,human_anchored_strict,0.1431916365081355,79.45454545454545,-0.4381272629496681,0.7291971371913002,-0.3903650164959629
llama,Llama-3.3-70B,addict,Openness,human_anchored_strict,0.1036065440715877,50.72727272727273,0.9441286518834353,1.3351863220596745,-1.0438014356877432
llama,Llama-3.3-70B,adolescent,Openness,human_anchored_strict,0.06473382815283409,13.636363636363637,2.1667429091289963,2.4507404516967277,-0.7311929872440229
llama,Llama-3.3-70B,advocate,Openness,human_anchored_strict,0.10770755414010685,55.81818181818182,0.6119238705144807,-0.8261627221752813,-0.3873038664977766
llama,Llama-3.3-70B,alien,Openness,human_anchored_strict,0.1475541392909847,83.0909090909091,-1.491608382624258,-0.4483962469024247,0.770539890686343
llama,Llama-3.3-70B,altruist,Openness,human_anchored_strict,0.10258726194893378,50.0,0.28343889265729094,-0.5359889214618699,-0.9165171746055543
llama,Llama-3.3-70B,amateur,Openness,human_anchored_strict,0.09904635560434334,46.0,1.469316356802971,1.2006206098097614,-0.8760711344890302
llama,Llama-3.3-70B,ambassador,Openness,human_anchored_strict,0.07534465746651883,22.363636363636363,0.45976301505448736,-0.9095806951452854,0.022787514503534702
llama,Llama-3.3-70B,amnesiac,Openness,human_anchored_strict,0.09039875218393889,35.45454545454545,0.018115366382728253,1.621325875656895,0.4779300790373999
llama,Llama-3.3-70B,analyst,Openness,human_anchored_strict,0.07374089814990611,20.90909090909091,0.8574456174808279,-1.0498988893386914,0.721359916320508
llama,Llama-3.3-70B,anarchist,Openness,human_anchored_strict,0.21875078281069732,98.0,-0.2075154004247152,0.307958070264661,-0.9969149510795088
llama,Llama-3.3-70B,ancient,Openness,human_anchored_strict,0.13144705873738988,68.54545454545455,-2.135593870185009,-0.2624178011893959,0.07520199797245358
llama,Llama-3.3-70B,angel,Openness,human_anchored_strict,0.10731091759158222,54.72727272727273,-1.7033902551151852,-0.5917974162691699,-0.5609579090750629
llama,Llama-3.3-70B,anthropologist,Openness,human_anchored_strict,0.11545764702794435,59.81818181818182,0.3325376460544763,-0.9974417710314125,0.022396135029884974
llama,Llama-3.3-70B,archaeologist,Openness,human_anchored_strict,0.10264198922699805,50.36363636363637,-0.07096807627919104,-0.5111012431200241,-0.005979089189466448
llama,Llama-3.3-70B,architect,Openness,human_anchored_strict,0.10679376031637224,52.90909090909091,0.6157057887357691,-0.7792526268293242,0.026234062085450535
llama,Llama-3.3-70B,archivist,Openness,human_anchored_strict,0.06984360594506506,18.0,0.3301524446009524,-0.8036906543090461,0.05116316559219508
llama,Llama-3.3-70B,artisan,Openness,human_anchored_strict,0.09900832801906317,45.63636363636363,-0.5937830381562027,-0.02030742710129566,-0.7773667252918973
llama,Llama-3.3-70B,ascetic,Openness,human_anchored_strict,0.09136702740340341,37.27272727272727,-2.607749021325765,0.4431875370894656,-0.7621736897571344
llama,Llama-3.3-70B,assistant,Openness,human_anchored_strict,0.06085928102229081,10.363636363636363,0.9580866821240511,-0.8690127545195563,0.2956336600746054
