model,model_label,persona,group,group_mean_trait_percentile,group_mean_trait_z,pc1,pc2,pc3,trait_1,percentile_1,raw_cosine_1,z_1,trait_2,percentile_2,raw_cosine_2,z_2,trait_3,percentile_3,raw_cosine_3,z_3
qwen,Qwen/Qwen3-32B,conservator,Exploration,39.57575757575758,-0.3511125836942219,23.52366349298268,-16.820637679705257,-6.184637657945053,creative,23.818181818181817,0.17600454290000173,-0.9515635405578232,abstract,70.72727272727273,0.23628437929474694,0.5635110763412381,curious,24.181818181818183,0.3938716203881676,-0.6652852868660805
qwen,Qwen/Qwen3-32B,consultant,Exploration,21.272727272727273,-0.8594151527043209,41.02661400378882,-2.6911010288176493,3.4713707391507294,creative,11.090909090909092,0.15877321566419045,-1.236255788958412,abstract,33.27272727272727,0.18578762263975765,-0.4911412297269882,curious,19.454545454545453,0.3891389632683973,-0.8508484394275626
qwen,Qwen/Qwen3-32B,contrarian,Exploration,70.12121212121212,0.6205577559299487,-3.5866920053225377,13.934090578762897,26.0834463593526,creative,73.27272727272727,0.2828795151482316,0.8142015529089649,abstract,68.9090909090909,0.23430810351356104,0.5222354786965219,curious,68.18181818181819,0.42423503082029856,0.5252362361843593
qwen,Qwen/Qwen3-32B,coordinator,Exploration,18.484848484848484,-0.9491723019891868,39.38631405231132,-2.15572575120811,-3.194771654926164,creative,10.363636363636363,0.1574141164813652,-1.2587105306543271,abstract,30.363636363636363,0.18184828370769965,-0.5734164720255214,curious,14.727272727272727,0.3849424494687239,-1.0153899032877118
qwen,Qwen/Qwen3-32B,coral_reef,Exploration,74.60606060606061,0.7762082553512655,-32.638841044473764,-19.931583310657068,-10.83820546425814,creative,74.36363636363636,0.283921518789701,0.8314173108985761,abstract,74.36363636363636,0.24280011125709589,0.6995956923644893,curious,75.0909090909091,0.4311817762137178,0.797611762790731
qwen,Qwen/Qwen3-32B,cosmopolitan,Exploration,63.090909090909086,0.40445298697644666,8.799584677579675,0.17725554335550398,-7.825350531054114,creative,51.81818181818182,0.23893753623383024,0.0882017152230311,abstract,60.18181818181818,0.22240690913292013,0.2736725425803267,curious,77.27272727272727,0.43255576749981706,0.8514847031259823
qwen,Qwen/Qwen3-32B,counselor,Exploration,39.93939393939394,-0.33266011668743334,10.85215315554987,12.970002498399612,-36.167330605539625,creative,28.545454545454547,0.18637900998868664,-0.7801588471748666,abstract,31.818181818181817,0.18367941981346259,-0.535172195668084,curious,59.45454545454545,0.41893305689117544,0.31735069278065053
qwen,Qwen/Qwen3-32B,criminal,Exploration,36.18181818181818,-0.39362287159592196,-37.55570410505774,37.4339322473068,26.9917189105421,creative,82.0,0.2953722954296453,1.020604557066338,abstract,8.545454545454545,0.1472649201812519,-1.2957088826839431,curious,18.0,0.38773837331460015,-0.9057642891701607
qwen,Qwen/Qwen3-32B,critic,Exploration,50.96969696969697,0.026450585852225168,25.623399867215582,-14.771249773465241,6.802532891448907,creative,34.36363636363637,0.19943211760360813,-0.5644982364365502,abstract,85.63636363636364,0.26026175736166984,1.0642916956694186,curious,32.90909090909091,0.40011618306499036,-0.42044170167619294
qwen,Qwen/Qwen3-32B,crystalline,Exploration,69.87878787878788,0.9407219336905932,-10.335204484463103,-44.00800269921331,8.552672342635331,creative,66.36363636363636,0.26979437697565717,0.5980117402495803,abstract,99.45454545454545,0.3241281011498278,2.398175121421512,curious,43.81818181818182,0.40640096743814036,-0.174021060599313
qwen,Qwen/Qwen3-32B,curator,Exploration,57.151515151515156,0.20762770229870228,20.167390400366333,-8.791541750718388,-4.625589822957963,creative,43.09090909090909,0.21980144129068763,-0.22796069179389505,abstract,64.18181818181819,0.2289063930492929,0.40941780930090926,curious,64.18181818181819,0.42209750968137577,0.4414259893890926
qwen,Qwen/Qwen3-32B,cyborg,Exploration,55.696969696969695,0.1657146540968262,16.71541533002668,-10.173249074009295,10.101060115095374,creative,47.09090909090909,0.23056566224879418,-0.050116569579369864,abstract,70.36363636363636,0.23598348632301644,0.5572267625053328,curious,49.63636363636363,0.4105850699840581,-0.009966230635484286
qwen,Qwen/Qwen3-32B,cynic,Exploration,42.36363636363637,-0.13705525103381141,-21.40683523636408,40.71202851103861,36.281452987272154,creative,78.0,0.2917204827307954,0.9602701003094175,abstract,19.09090909090909,0.1703099680572779,-0.8144004879297994,curious,30.0,0.3966324581627235,-0.5570353654810524
qwen,Qwen/Qwen3-32B,daredevil,Exploration,65.75757575757576,0.5579340635275263,-29.846147037757703,43.747371252150835,26.447962682172165,creative,98.72727272727273,0.3428111333821841,1.8043787407607605,abstract,6.0,0.14073329649373423,-1.4321254060554442,curious,92.54545454545455,0.44403433577950824,1.3015488558772625
qwen,Qwen/Qwen3-32B,debugger,Exploration,20.181818181818183,-0.8574101685142584,37.8366557821158,0.42248873599611586,10.867375330242432,creative,21.272727272727273,0.17432562465997553,-0.9793022632976744,abstract,18.727272727272727,0.16997623808440981,-0.8213706204453229,curious,20.545454545454547,0.3911612195590378,-0.7715576217997778
qwen,Qwen/Qwen3-32B,demon,Exploration,79.09090909090911,0.9213626633077694,-51.93527758399659,-11.47572093681616,29.91920040248774,creative,94.0,0.3227901213270692,1.4735959252977586,abstract,78.72727272727273,0.24982219510257808,0.846255743655338,curious,64.54545454545455,0.42216918520306584,0.44423632097021176
qwen,Qwen/Qwen3-32B,designer,Exploration,54.121212121212125,0.10826535498723737,26.603795947644183,-2.526747552089826,-5.1763196868687045,creative,44.54545454545455,0.22566076668500443,-0.1311541894397437,abstract,50.72727272727273,0.2081940989322819,-0.02316975080154098,curious,67.0909090909091,0.42305886892674266,0.4791200052029968
qwen,Qwen/Qwen3-32B,destroyer,Exploration,66.60606060606061,0.5277473570993988,-3.1182599972090443,-3.2045875038541594,23.321852655755873,creative,70.36363636363636,0.27727203375531245,0.7215559624812661,abstract,76.54545454545455,0.2451023396174444,0.7476789874150306,curious,52.90909090909091,0.4137469227499897,0.11400712140189978
qwen,Qwen/Qwen3-32B,detective,Exploration,36.666666666666664,-0.39968163533845996,21.4095678183859,-2.2616695455957254,11.640713550229227,creative,33.63636363636363,0.19834252708216038,-0.5825002145280727,abstract,42.36363636363637,0.19874609220889758,-0.22049652461090155,curious,34.0,0.4007383229378745,-0.3960481668764057
