concept_type,variant,model,split,PC1_R2,PC1_Pearson_r,PC1_Spearman_r,PC1_RMSE,PC2_R2,PC2_Pearson_r,PC2_Spearman_r,PC2_RMSE,PC3_R2,PC3_Pearson_r,PC3_Spearman_r,PC3_RMSE,mean_R2
role,description_plus_instructions,gradient_boosting_tfidf,heldout,0.6654861795809491,0.845950688530046,0.8453102453102456,17.019904748376018,0.47309447603411237,0.6980835230949117,0.7005356446761494,16.146837554172855,0.3031861431070152,0.569667635542633,0.6031459716978197,13.945962344588049,0.48058893290735893
role,description_plus_instructions,small_mlp_tfidf,train,0.9579737213444418,0.9796707643922601,0.9772741360170851,6.183602449823879,0.9429740606044138,0.9723848667241032,0.965179220457222,5.078389944585235,0.9537170055903009,0.9768031145718508,0.9685556989344257,3.3329919150973635,0.9515549291797188
role,description_plus_instructions,small_mlp_tfidf,heldout,0.7036477751497969,0.8556717019010124,0.8633477633477635,16.019692983039278,0.5111663116569323,0.7825358073670856,0.7391053391053393,15.552552077208475,0.4290440150149193,0.7123290912132976,0.7375180375180377,12.623838035078988,0.5479527006072161
role,description_plus_questions,mean_predictor,train,0.0,,,30.163455515182758,0.0,,,21.2661964319129,0.0,,,15.492572444923468,0.0
role,description_plus_questions,mean_predictor,heldout,-0.0031320411730033637,,,29.473325730125786,-0.005298821036380463,,,22.303277443267277,-0.0026546532831572822,,,16.728838396997155,-0.0036951718308470363
role,description_plus_questions,random_predictor,heldout,-0.9776713964436006,-0.07742188030262193,-0.03297258297258297,41.383494327235255,-1.4361144249479327,-0.3154922179837599,-0.30093795093795095,34.71921857249515,-0.6612219235675398,-0.10545096439570814,-0.1072871572871573,21.532969535710798,-1.0250025816530244
role,description_plus_questions,nearest_neighbor_semantic_retrieval,heldout,0.5052539302476938,0.7576181075760013,0.7273810526604462,20.69861416061213,0.00972634841190434,0.5378245970436134,0.5031578584069433,22.135977880398727,-0.029830873910701605,0.4439298687454304,0.41260965393534516,16.954034119003456,0.16171646824963218
role,description_plus_questions,ridge_tfidf,train,0.9965379730617862,0.9992429917490607,0.9987264951003871,1.774787307148159,0.9938856201940266,0.998898804768471,0.9986476054163402,1.6628995935940127,0.9937023008191869,0.9989847384227581,0.9988651155452123,1.2294602490086022,0.9947086313583332
role,description_plus_questions,ridge_tfidf,heldout,0.7266439746984352,0.8584196556469175,0.8471861471861473,15.38559931882764,0.48560340367566013,0.7038330617807789,0.5888167388167389,15.954020412416625,0.38757321476422324,0.6626724640844963,0.6940836940836942,13.074262111415349,0.5332735310461062
role,description_plus_questions,elastic_net_tfidf,train,0.9997002656671004,0.9999303884269091,0.9998219347131514,0.5222149955826584,0.999406411743323,0.999884775761883,0.9997633309478595,0.5181225225457808,0.9992080015946749,0.9998634077111463,0.9997205051193769,0.4359991967970966,0.9994382263350327
role,description_plus_questions,elastic_net_tfidf,heldout,0.7207071902582385,0.851669771269923,0.8410533910533912,15.55177520773234,0.5022086219575863,0.7127573968978627,0.6098124098124099,15.694402462258852,0.39094343129779197,0.6479755710133531,0.6785714285714287,13.038238309757162,0.5379530811712055
role,description_plus_questions,gradient_boosting_tfidf,train,0.9276262335767042,0.9750499751260192,0.9750122560759144,8.114685263060151,0.908455280091375,0.973113160396534,0.9591945811788136,6.434376524235248,0.8721556870414802,0.9667123073124944,0.9566810865821923,5.539419333316945,0.9027457335698532
role,description_plus_questions,gradient_boosting_tfidf,heldout,0.6293560262010706,0.8002461655314806,0.7885281385281387,17.915484777314813,0.34554940619732044,0.5885242039385373,0.41118326118326126,17.995318318868794,0.17567804249224628,0.4271219454309642,0.41212121212121217,15.168356704792366,0.3835278249635457
role,description_plus_questions,small_mlp_tfidf,train,0.9593702652760342,0.9802543567094957,0.9761257276164609,6.079993095235924,0.9440359947932295,0.973210741903003,0.9689738142598738,5.030882975472862,0.9535842650787217,0.9766209552195084,0.9734288274175462,3.337768035270443,0.9523301750493286
role,description_plus_questions,small_mlp_tfidf,heldout,0.723254846361993,0.8679353360572094,0.8536075036075038,15.48068253912911,0.46469054391674924,0.7045032222149726,0.6215728715728718,16.27509595639621,0.3503574185521011,0.6423963443058271,0.6588023088023088,13.465650577430056,0.5127676029436145
role,description_plus_instructions_plus_questions,mean_predictor,train,0.0,,,30.163455515182758,0.0,,,21.2661964319129,0.0,,,15.492572444923468,0.0
role,description_plus_instructions_plus_questions,mean_predictor,heldout,-0.0031320411730033637,,,29.473325730125786,-0.005298821036380463,,,22.303277443267277,-0.0026546532831572822,,,16.728838396997155,-0.0036951718308470363
role,description_plus_instructions_plus_questions,random_predictor,heldout,-0.9776713964436006,-0.07742188030262193,-0.03297258297258297,41.383494327235255,-1.4361144249479327,-0.3154922179837599,-0.30093795093795095,34.71921857249515,-0.6612219235675398,-0.10545096439570814,-0.1072871572871573,21.532969535710798,-1.0250025816530244
role,description_plus_instructions_plus_questions,nearest_neighbor_semantic_retrieval,heldout,0.514740485549595,0.7576351653433303,0.7360216778340951,20.49920989269543,0.026081178436901165,0.5390857254256691,0.5256833751378682,21.952423869068525,0.11729429967188021,0.5162560372418092,0.47588635031014587,15.696327969746248,0.21937198788612544
role,description_plus_instructions_plus_questions,ridge_tfidf,train,0.9977176879535621,0.9994317109291373,0.9990307838817105,1.4410153397575542,0.9950496398275076,0.9990905279505342,0.9988256707031888,1.4962639761349572,0.995034923519505,0.999194690356763,0.9989485132112046,1.0916577616659757,0.9959340837668581
role,description_plus_instructions_plus_questions,ridge_tfidf,heldout,0.7984229758199165,0.8973708202402564,0.8995670995670998,13.212062131391761,0.5599552864459005,0.7596551166808494,0.662842712842713,14.756029141399862,0.48992160703759535,0.7267139511386234,0.7495670995670998,11.931871361186447,0.6160999564344708
role,description_plus_instructions_plus_questions,elastic_net_tfidf,train,0.999778872673903,0.9999399101564297,0.9998456016183656,0.4485411579360532,0.9994988509768632,0.9998995982279197,0.9997779818891824,0.4760726859736295,0.9993396824782376,0.9998766668935434,0.9997272670922952,0.39810712144423893,0.9995391353763345
role,description_plus_instructions_plus_questions,elastic_net_tfidf,heldout,0.7844212377615606,0.8867913258864094,0.8914141414141417,13.663220577749756,0.5724049007248757,0.7676775232039624,0.6733044733044735,14.545794905675264,0.5024390964458567,0.7255605084025218,0.7556277056277058,11.784555956278094,0.6197550783107644
