model,model_label,trait_set,K,profile_id,profile_size,profile_proportion,eligible_primary_k,human_stability_tier,projection_status,model_usability_gate,family_id,pc_standardized_distance,nearest_family
qwen,Qwen 3 32B,12,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_C,11.7706490046,False
qwen,Qwen 3 32B,12,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_D,10.1320256724,False
qwen,Qwen 3 32B,12,6,H06_F,1638,0.115303392933,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_A,5.60979208035,False
qwen,Qwen 3 32B,12,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_B,6.22551693249,False
qwen,Qwen 3 32B,12,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_C,6.32000281994,False
qwen,Qwen 3 32B,12,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_D,3.81320912815,False
qwen,Qwen 3 32B,12,7,H07_A,1371,0.0965085175278,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_A,4.35217776388,False
qwen,Qwen 3 32B,12,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_B,5.81350168569,False
qwen,Qwen 3 32B,12,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_C,4.55564672815,False
qwen,Qwen 3 32B,12,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_D,6.61118313176,False
qwen,Qwen 3 32B,12,7,H07_B,2794,0.196677460228,True,low,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
