model_trait,outcome_id,mapping_tier,predictor_item_ids,overlap_item_ids,overlap,eligible_respondent_n_before_overlap_exclusion,primary_estimate_excluded,exact_source_group
dominant,q_208,direct,q_1768;q_1769;q_2161,,0,369,0,4069c274d398
dominant,q_206,direct,q_1768;q_1769;q_2161,,0,391,0,4069c274d398
dominant,q_1578,direct,q_1768;q_1769;q_2161,,0,310,0,4069c274d398
dominant,q_875,direct,q_1768;q_1769;q_2161,,0,375,0,4069c274d398
dominant,q_285,direct,q_1768;q_1769;q_2161,,0,375,0,4069c274d398
dominant,q_820,direct,q_1768;q_1769;q_2161,,0,311,0,4069c274d398
dominant,q_1044,direct,q_1768;q_1769;q_2161,,0,387,0,4069c274d398
dominant,q_867,direct,q_1768;q_1769;q_2161,,0,386,0,4069c274d398
dominant,q_4288,direct,q_1768;q_1769;q_2161,,0,380,0,4069c274d398
dominant,q_832,direct,q_1768;q_1769;q_2161,,0,357,0,4069c274d398
dramatic,HiFWB_composite,direct,q_2951,,0,1347,0,0613b6bee464
dramatic,q_2765,direct,q_2951,,0,427,0,0613b6bee464
dramatic,q_1371,direct,q_2951,,0,476,0,0613b6bee464
dramatic,q_1043,direct,q_2951,,0,439,0,0613b6bee464
dramatic,q_208,direct,q_2951,,0,511,0,0613b6bee464
dramatic,q_206,direct,q_2951,,0,491,0,0613b6bee464
dramatic,q_1578,direct,q_2951,,0,428,0,0613b6bee464
dramatic,q_875,direct,q_2951,,0,489,0,0613b6bee464
dramatic,q_285,direct,q_2951,,0,499,0,0613b6bee464
dramatic,q_820,direct,q_2951,,0,406,0,0613b6bee464
dramatic,q_1044,direct,q_2951,,0,538,0,0613b6bee464
dramatic,q_867,direct,q_2951,,0,500,0,0613b6bee464
dramatic,q_4288,direct,q_2951,,0,486,0,0613b6bee464
dramatic,q_832,direct,q_2951,,0,561,0,0613b6bee464
emotional,HiFWB_composite,direct,q_1681;q_793;q_219,,0,899,0,4e249d68613a
emotional,q_2765,direct,q_1681;q_793;q_219,,0,290,0,4e249d68613a
emotional,q_1371,direct,q_1681;q_793;q_219,,0,390,0,4e249d68613a
emotional,q_1043,direct,q_1681;q_793;q_219,,0,293,0,4e249d68613a
emotional,q_208,direct,q_1681;q_793;q_219,,0,403,0,4e249d68613a
emotional,q_206,direct,q_1681;q_793;q_219,,0,377,0,4e249d68613a
emotional,q_1578,direct,q_1681;q_793;q_219,,0,255,0,4e249d68613a
emotional,q_875,direct,q_1681;q_793;q_219,,0,378,0,4e249d68613a
emotional,q_285,direct,q_1681;q_793;q_219,,0,374,0,4e249d68613a
emotional,q_820,direct,q_1681;q_793;q_219,,0,277,0,4e249d68613a
emotional,q_1044,direct,q_1681;q_793;q_219,,0,404,0,4e249d68613a
emotional,q_867,direct,q_1681;q_793;q_219,,0,380,0,4e249d68613a
emotional,q_4288,direct,q_1681;q_793;q_219,,0,395,0,4e249d68613a
emotional,q_832,direct,q_1681;q_793;q_219,,0,376,0,4e249d68613a
empathetic,HiFWB_composite,direct,q_844;q_1763;q_1757,,0,930,0,1f22542b1df0
empathetic,q_2765,direct,q_844;q_1763;q_1757,,0,271,0,1f22542b1df0
empathetic,q_1371,direct,q_844;q_1763;q_1757,,0,373,0,1f22542b1df0
empathetic,q_1043,direct,q_844;q_1763;q_1757,,0,279,0,1f22542b1df0
empathetic,q_208,direct,q_844;q_1763;q_1757,,0,367,0,1f22542b1df0
empathetic,q_206,direct,q_844;q_1763;q_1757,,0,365,0,1f22542b1df0
empathetic,q_1578,direct,q_844;q_1763;q_1757,,0,314,0,1f22542b1df0
empathetic,q_875,direct,q_844;q_1763;q_1757,,0,368,0,1f22542b1df0
empathetic,q_285,direct,q_844;q_1763;q_1757,,0,335,0,1f22542b1df0
empathetic,q_820,direct,q_844;q_1763;q_1757,,0,296,0,1f22542b1df0
empathetic,q_1044,direct,q_844;q_1763;q_1757,,0,374,0,1f22542b1df0
empathetic,q_867,direct,q_844;q_1763;q_1757,,0,367,0,1f22542b1df0
empathetic,q_4288,direct,q_844;q_1763;q_1757,,0,356,0,1f22542b1df0
empathetic,q_832,direct,q_844;q_1763;q_1757,,0,383,0,1f22542b1df0
extroverted,HiFWB_composite,direct,q_1742;q_1803;q_4257,,0,744,0,d47332df1690
extroverted,q_2765,direct,q_1742;q_1803;q_4257,,0,253,0,d47332df1690
extroverted,q_1371,direct,q_1742;q_1803;q_4257,,0,312,0,d47332df1690
extroverted,q_1043,direct,q_1742;q_1803;q_4257,,0,208,0,d47332df1690
extroverted,q_208,direct,q_1742;q_1803;q_4257,,0,310,0,d47332df1690
extroverted,q_206,direct,q_1742;q_1803;q_4257,,0,312,0,d47332df1690
extroverted,q_1578,direct,q_1742;q_1803;q_4257,,0,243,0,d47332df1690
extroverted,q_875,direct,q_1742;q_1803;q_4257,,0,320,0,d47332df1690
extroverted,q_285,direct,q_1742;q_1803;q_4257,,0,294,0,d47332df1690
extroverted,q_820,direct,q_1742;q_1803;q_4257,,0,235,0,d47332df1690
extroverted,q_1044,direct,q_1742;q_1803;q_4257,,0,310,0,d47332df1690
extroverted,q_867,direct,q_1742;q_1803;q_4257,,0,332,0,d47332df1690
extroverted,q_4288,direct,q_1742;q_1803;q_4257,,0,316,0,d47332df1690
extroverted,q_832,direct,q_1742;q_1803;q_4257,,0,320,0,d47332df1690
forgiving,HiFWB_composite,direct,q_145;q_915;q_1869,,0,575,0,d17cb5e55df5
forgiving,q_2765,direct,q_145;q_915;q_1869,,0,192,0,d17cb5e55df5
forgiving,q_1371,direct,q_145;q_915;q_1869,,0,238,0,d17cb5e55df5
forgiving,q_1043,direct,q_145;q_915;q_1869,,0,185,0,d17cb5e55df5
forgiving,q_208,direct,q_145;q_915;q_1869,,0,258,0,d17cb5e55df5
forgiving,q_206,direct,q_145;q_915;q_1869,,0,237,0,d17cb5e55df5
forgiving,q_1578,direct,q_145;q_915;q_1869,,0,179,0,d17cb5e55df5
forgiving,q_875,direct,q_145;q_915;q_1869,,0,217,0,d17cb5e55df5
forgiving,q_285,direct,q_145;q_915;q_1869,,0,237,0,d17cb5e55df5
forgiving,q_820,direct,q_145;q_915;q_1869,,0,176,0,d17cb5e55df5
forgiving,q_1044,direct,q_145;q_915;q_1869,,0,253,0,d17cb5e55df5
forgiving,q_867,direct,q_145;q_915;q_1869,,0,234,0,d17cb5e55df5
forgiving,q_4288,direct,q_145;q_915;q_1869,,0,229,0,d17cb5e55df5
forgiving,q_832,direct,q_145;q_915;q_1869,,0,242,0,d17cb5e55df5
goofy,HiFWB_composite,close,q_4265;q_1685,,0,325,0,84272bc2b8ae
goofy,q_2765,close,q_4265;q_1685,,0,117,0,84272bc2b8ae
goofy,q_1371,close,q_4265;q_1685,,0,134,0,84272bc2b8ae
goofy,q_1043,close,q_4265;q_1685,,0,102,0,84272bc2b8ae
goofy,q_208,close,q_4265;q_1685,,0,148,0,84272bc2b8ae
goofy,q_206,close,q_4265;q_1685,,0,147,0,84272bc2b8ae
goofy,q_1578,close,q_4265;q_1685,,0,102,0,84272bc2b8ae
goofy,q_875,close,q_4265;q_1685,,0,140,0,84272bc2b8ae
goofy,q_285,close,q_4265;q_1685,,0,141,0,84272bc2b8ae
goofy,q_820,close,q_4265;q_1685,,0,112,0,84272bc2b8ae
goofy,q_1044,close,q_4265;q_1685,,0,149,0,84272bc2b8ae
goofy,q_867,close,q_4265;q_1685,,0,132,0,84272bc2b8ae
goofy,q_4288,close,q_4265;q_1685,,0,148,0,84272bc2b8ae
goofy,q_832,close,q_4265;q_1685,,0,145,0,84272bc2b8ae
grandiose,HiFWB_composite,direct,q_364;q_1042;q_1830,,0,919,0,4a3e8bdcb3ca
grandiose,q_2765,direct,q_364;q_1042;q_1830,,0,298,0,4a3e8bdcb3ca
grandiose,q_1371,direct,q_364;q_1042;q_1830,,0,396,0,4a3e8bdcb3ca
grandiose,q_1043,direct,q_364;q_1042;q_1830,,0,317,0,4a3e8bdcb3ca
grandiose,q_208,direct,q_364;q_1042;q_1830,,0,383,0,4a3e8bdcb3ca
grandiose,q_206,direct,q_364;q_1042;q_1830,,0,377,0,4a3e8bdcb3ca
grandiose,q_1578,direct,q_364;q_1042;q_1830,,0,306,0,4a3e8bdcb3ca
grandiose,q_875,direct,q_364;q_1042;q_1830,,0,393,0,4a3e8bdcb3ca
grandiose,q_285,direct,q_364;q_1042;q_1830,,0,379,0,4a3e8bdcb3ca
grandiose,q_820,direct,q_364;q_1042;q_1830,,0,298,0,4a3e8bdcb3ca
grandiose,q_1044,direct,q_364;q_1042;q_1830,,0,405,0,4a3e8bdcb3ca
grandiose,q_867,direct,q_364;q_1042;q_1830,,0,395,0,4a3e8bdcb3ca
grandiose,q_4288,direct,q_364;q_1042;q_1830,,0,359,0,4a3e8bdcb3ca
grandiose,q_832,direct,q_364;q_1042;q_1830,,0,381,0,4a3e8bdcb3ca
gregarious,HiFWB_composite,direct,q_463;q_1742;q_1803,,0,711,0,4583bafd7c9c
gregarious,q_2765,direct,q_463;q_1742;q_1803,,0,226,0,4583bafd7c9c
gregarious,q_1371,direct,q_463;q_1742;q_1803,,0,282,0,4583bafd7c9c
gregarious,q_1043,direct,q_463;q_1742;q_1803,,0,197,0,4583bafd7c9c
gregarious,q_208,direct,q_463;q_1742;q_1803,,0,265,0,4583bafd7c9c
gregarious,q_206,direct,q_463;q_1742;q_1803,,0,296,0,4583bafd7c9c
gregarious,q_1578,direct,q_463;q_1742;q_1803,,0,221,0,4583bafd7c9c
gregarious,q_875,direct,q_463;q_1742;q_1803,,0,287,0,4583bafd7c9c
gregarious,q_285,direct,q_463;q_1742;q_1803,,0,277,0,4583bafd7c9c
gregarious,q_820,direct,q_463;q_1742;q_1803,,0,223,0,4583bafd7c9c
gregarious,q_1044,direct,q_463;q_1742;q_1803,,0,292,0,4583bafd7c9c
gregarious,q_867,direct,q_463;q_1742;q_1803,,0,284,0,4583bafd7c9c
gregarious,q_4288,direct,q_463;q_1742;q_1803,,0,300,0,4583bafd7c9c
gregarious,q_832,direct,q_463;q_1742;q_1803,,0,299,0,4583bafd7c9c
hostile,HiFWB_composite,close,q_1051;q_630;q_1150,,0,668,0,5913afb8dc85
hostile,q_2765,close,q_1051;q_630;q_1150,,0,217,0,5913afb8dc85
hostile,q_1371,close,q_1051;q_630;q_1150,,0,278,0,5913afb8dc85
hostile,q_1043,close,q_1051;q_630;q_1150,,0,227,0,5913afb8dc85
hostile,q_208,close,q_1051;q_630;q_1150,,0,283,0,5913afb8dc85
hostile,q_206,close,q_1051;q_630;q_1150,,0,266,0,5913afb8dc85
hostile,q_1578,close,q_1051;q_630;q_1150,,0,250,0,5913afb8dc85
hostile,q_875,close,q_1051;q_630;q_1150,,0,288,0,5913afb8dc85
hostile,q_285,close,q_1051;q_630;q_1150,,0,294,0,5913afb8dc85
hostile,q_820,close,q_1051;q_630;q_1150,,0,216,0,5913afb8dc85
hostile,q_1044,close,q_1051;q_630;q_1150,,0,282,0,5913afb8dc85
hostile,q_867,close,q_1051;q_630;q_1150,,0,297,0,5913afb8dc85
hostile,q_4288,close,q_1051;q_630;q_1150,,0,291,0,5913afb8dc85
hostile,q_832,close,q_1051;q_630;q_1150,,0,275,0,5913afb8dc85
impulsive,HiFWB_composite,direct,q_22;q_35;q_636,,0,764,0,eab3474f10bb
impulsive,q_2765,direct,q_22;q_35;q_636,,0,234,0,eab3474f10bb
impulsive,q_1371,direct,q_22;q_35;q_636,,0,325,0,eab3474f10bb
impulsive,q_1043,direct,q_22;q_35;q_636,,0,248,0,eab3474f10bb
impulsive,q_208,direct,q_22;q_35;q_636,,0,326,0,eab3474f10bb
impulsive,q_206,direct,q_22;q_35;q_636,,0,331,0,eab3474f10bb
impulsive,q_1578,direct,q_22;q_35;q_636,,0,232,0,eab3474f10bb
impulsive,q_875,direct,q_22;q_35;q_636,,0,335,0,eab3474f10bb
impulsive,q_285,direct,q_22;q_35;q_636,,0,299,0,eab3474f10bb
impulsive,q_820,direct,q_22;q_35;q_636,,0,256,0,eab3474f10bb
impulsive,q_1044,direct,q_22;q_35;q_636,,0,332,0,eab3474f10bb
impulsive,q_867,direct,q_22;q_35;q_636,,0,322,0,eab3474f10bb
impulsive,q_4288,direct,q_22;q_35;q_636,,0,335,0,eab3474f10bb
impulsive,q_832,direct,q_22;q_35;q_636,,0,312,0,eab3474f10bb
independent,HiFWB_composite,close,q_4244;q_463,,0,369,0,5c498cac7900
independent,q_2765,close,q_4244;q_463,,0,119,0,5c498cac7900
independent,q_1371,close,q_4244;q_463,,0,158,0,5c498cac7900
independent,q_1043,close,q_4244;q_463,,0,104,0,5c498cac7900
independent,q_208,close,q_4244;q_463,,0,163,0,5c498cac7900
independent,q_206,close,q_4244;q_463,,0,141,0,5c498cac7900
independent,q_1578,close,q_4244;q_463,,0,126,0,5c498cac7900
independent,q_875,close,q_4244;q_463,,0,160,0,5c498cac7900
independent,q_285,close,q_4244;q_463,,0,159,0,5c498cac7900
independent,q_820,close,q_4244;q_463,,0,123,0,5c498cac7900
independent,q_1044,close,q_4244;q_463,,0,165,0,5c498cac7900
independent,q_867,close,q_4244;q_463,,0,167,0,5c498cac7900
independent,q_4288,close,q_4244;q_463,,0,161,0,5c498cac7900
independent,q_832,close,q_4244;q_463,,0,158,0,5c498cac7900
innovative,HiFWB_composite,direct,q_1392;q_2745;q_516,,0,1008,0,ed7b7f58a988
innovative,q_2765,direct,q_1392;q_2745;q_516,,0,329,0,ed7b7f58a988
innovative,q_1371,direct,q_1392;q_2745;q_516,,0,405,0,ed7b7f58a988
innovative,q_1043,direct,q_1392;q_2745;q_516,,0,307,0,ed7b7f58a988
innovative,q_208,direct,q_1392;q_2745;q_516,,0,398,0,ed7b7f58a988
innovative,q_206,direct,q_1392;q_2745;q_516,,0,398,0,ed7b7f58a988
innovative,q_1578,direct,q_1392;q_2745;q_516,,0,279,0,ed7b7f58a988
innovative,q_875,direct,q_1392;q_2745;q_516,,0,407,0,ed7b7f58a988
innovative,q_285,direct,q_1392;q_2745;q_516,,0,401,0,ed7b7f58a988
innovative,q_820,direct,q_1392;q_2745;q_516,,0,288,0,ed7b7f58a988
innovative,q_1044,direct,q_1392;q_2745;q_516,,0,382,0,ed7b7f58a988
innovative,q_867,direct,q_1392;q_2745;q_516,,0,402,0,ed7b7f58a988
innovative,q_4288,direct,q_1392;q_2745;q_516,,0,398,0,ed7b7f58a988
innovative,q_832,direct,q_1392;q_2745;q_516,,0,434,0,ed7b7f58a988
introspective,HiFWB_composite,direct,q_1880;q_1310,,0,424,0,1410c02504a9
introspective,q_2765,direct,q_1880;q_1310,,0,135,0,1410c02504a9
introspective,q_1371,direct,q_1880;q_1310,,0,200,0,1410c02504a9
introspective,q_1043,direct,q_1880;q_1310,,0,153,0,1410c02504a9
introspective,q_208,direct,q_1880;q_1310,,0,176,0,1410c02504a9
introspective,q_206,direct,q_1880;q_1310,,0,184,0,1410c02504a9
introspective,q_1578,direct,q_1880;q_1310,,0,141,0,1410c02504a9
introspective,q_875,direct,q_1880;q_1310,,0,188,0,1410c02504a9
introspective,q_285,direct,q_1880;q_1310,,0,178,0,1410c02504a9
introspective,q_820,direct,q_1880;q_1310,,0,133,0,1410c02504a9
introspective,q_1044,direct,q_1880;q_1310,,0,218,0,1410c02504a9
introspective,q_867,direct,q_1880;q_1310,,0,173,0,1410c02504a9
introspective,q_4288,direct,q_1880;q_1310,,0,182,0,1410c02504a9
introspective,q_832,direct,q_1880;q_1310,,0,161,0,1410c02504a9
intuitive,HiFWB_composite,close,q_1676,,0,1261,0,c04e8fcf0b98
intuitive,q_2765,close,q_1676,,0,384,0,c04e8fcf0b98
intuitive,q_1371,close,q_1676,,0,435,0,c04e8fcf0b98
intuitive,q_1043,close,q_1676,,0,385,0,c04e8fcf0b98
intuitive,q_208,close,q_1676,,0,434,0,c04e8fcf0b98
intuitive,q_206,close,q_1676,,0,406,0,c04e8fcf0b98
intuitive,q_1578,close,q_1676,,0,381,0,c04e8fcf0b98
intuitive,q_875,close,q_1676,,0,435,0,c04e8fcf0b98
intuitive,q_285,close,q_1676,,0,427,0,c04e8fcf0b98
intuitive,q_820,close,q_1676,,0,390,0,c04e8fcf0b98
intuitive,q_1044,close,q_1676,,0,416,0,c04e8fcf0b98
intuitive,q_867,close,q_1676,,0,460,0,c04e8fcf0b98
intuitive,q_4288,close,q_1676,,0,451,0,c04e8fcf0b98
intuitive,q_832,close,q_1676,,0,596,0,c04e8fcf0b98
judgmental,HiFWB_composite,direct,q_239;q_238,,0,226,0,c5ba67159642
judgmental,q_2765,direct,q_239;q_238,,0,76,0,c5ba67159642
judgmental,q_1371,direct,q_239;q_238,,0,107,0,c5ba67159642
judgmental,q_1043,direct,q_239;q_238,,0,64,0,c5ba67159642
judgmental,q_208,direct,q_239;q_238,,0,105,0,c5ba67159642
judgmental,q_206,direct,q_239;q_238,,0,97,0,c5ba67159642
judgmental,q_1578,direct,q_239;q_238,,0,71,0,c5ba67159642
judgmental,q_875,direct,q_239;q_238,,0,90,0,c5ba67159642
judgmental,q_285,direct,q_239;q_238,,0,87,0,c5ba67159642
judgmental,q_820,direct,q_239;q_238,,0,77,0,c5ba67159642
judgmental,q_1044,direct,q_239;q_238,,0,95,0,c5ba67159642
judgmental,q_867,direct,q_239;q_238,,0,113,0,c5ba67159642
judgmental,q_4288,direct,q_239;q_238,,0,95,0,c5ba67159642
judgmental,q_832,direct,q_239;q_238,,0,97,0,c5ba67159642
manipulative,HiFWB_composite,direct,q_1896;q_1765;q_905,,0,771,0,f990a42b7815
manipulative,q_2765,direct,q_1896;q_1765;q_905,,0,259,0,f990a42b7815
manipulative,q_1371,direct,q_1896;q_1765;q_905,,0,332,0,f990a42b7815
manipulative,q_1043,direct,q_1896;q_1765;q_905,,0,255,0,f990a42b7815
manipulative,q_208,direct,q_1896;q_1765;q_905,,0,301,0,f990a42b7815
manipulative,q_206,direct,q_1896;q_1765;q_905,,0,286,0,f990a42b7815
manipulative,q_1578,direct,q_1896;q_1765;q_905,,0,260,0,f990a42b7815
manipulative,q_875,direct,q_1896;q_1765;q_905,,0,305,0,f990a42b7815
manipulative,q_285,direct,q_1896;q_1765;q_905,,0,305,0,f990a42b7815
manipulative,q_820,direct,q_1896;q_1765;q_905,,0,258,0,f990a42b7815
manipulative,q_1044,direct,q_1896;q_1765;q_905,,0,317,0,f990a42b7815
manipulative,q_867,direct,q_1896;q_1765;q_905,,0,324,0,f990a42b7815
manipulative,q_4288,direct,q_1896;q_1765;q_905,,0,304,0,f990a42b7815
manipulative,q_832,direct,q_1896;q_1765;q_905,,0,313,0,f990a42b7815
melancholic,HiFWB_composite,direct,q_1706;q_1578;q_811,q_1578,1,814,1,dc6352a44725
melancholic,q_2765,direct,q_1706;q_1578;q_811,,0,207,0,dc6352a44725
melancholic,q_1371,direct,q_1706;q_1578;q_811,,0,286,0,dc6352a44725
melancholic,q_1043,direct,q_1706;q_1578;q_811,,0,229,0,dc6352a44725
melancholic,q_208,direct,q_1706;q_1578;q_811,,0,275,0,dc6352a44725
melancholic,q_206,direct,q_1706;q_1578;q_811,,0,260,0,dc6352a44725
melancholic,q_1578,direct,q_1706;q_1578;q_811,q_1578,1,704,1,dc6352a44725
melancholic,q_875,direct,q_1706;q_1578;q_811,,0,295,0,dc6352a44725
melancholic,q_285,direct,q_1706;q_1578;q_811,,0,263,0,dc6352a44725
melancholic,q_820,direct,q_1706;q_1578;q_811,,0,199,0,dc6352a44725
melancholic,q_1044,direct,q_1706;q_1578;q_811,,0,284,0,dc6352a44725
melancholic,q_867,direct,q_1706;q_1578;q_811,,0,273,0,dc6352a44725
melancholic,q_4288,direct,q_1706;q_1578;q_811,,0,292,0,dc6352a44725
melancholic,q_832,direct,q_1706;q_1578;q_811,,0,318,0,dc6352a44725
mercurial,HiFWB_composite,close,q_52;q_497;q_1099,,0,565,0,99c6cf17bb17
mercurial,q_2765,close,q_52;q_497;q_1099,,0,177,0,99c6cf17bb17
mercurial,q_1371,close,q_52;q_497;q_1099,,0,242,0,99c6cf17bb17
mercurial,q_1043,close,q_52;q_497;q_1099,,0,173,0,99c6cf17bb17
mercurial,q_208,close,q_52;q_497;q_1099,,0,243,0,99c6cf17bb17
mercurial,q_206,close,q_52;q_497;q_1099,,0,232,0,99c6cf17bb17
mercurial,q_1578,close,q_52;q_497;q_1099,,0,174,0,99c6cf17bb17
mercurial,q_875,close,q_52;q_497;q_1099,,0,251,0,99c6cf17bb17
mercurial,q_285,close,q_52;q_497;q_1099,,0,249,0,99c6cf17bb17
mercurial,q_820,close,q_52;q_497;q_1099,,0,168,0,99c6cf17bb17
mercurial,q_1044,close,q_52;q_497;q_1099,,0,246,0,99c6cf17bb17
mercurial,q_867,close,q_52;q_497;q_1099,,0,240,0,99c6cf17bb17
mercurial,q_4288,close,q_52;q_497;q_1099,,0,243,0,99c6cf17bb17
mercurial,q_832,close,q_52;q_497;q_1099,,0,236,0,99c6cf17bb17
methodical,HiFWB_composite,close,q_619;q_1321;q_1422,,0,939,0,642393c942bf
methodical,q_2765,close,q_619;q_1321;q_1422,,0,269,0,642393c942bf
methodical,q_1371,close,q_619;q_1321;q_1422,,0,343,0,642393c942bf
methodical,q_1043,close,q_619;q_1321;q_1422,,0,296,0,642393c942bf
methodical,q_208,close,q_619;q_1321;q_1422,,0,334,0,642393c942bf
methodical,q_206,close,q_619;q_1321;q_1422,,0,322,0,642393c942bf
methodical,q_1578,close,q_619;q_1321;q_1422,,0,282,0,642393c942bf
methodical,q_875,close,q_619;q_1321;q_1422,,0,348,0,642393c942bf
methodical,q_285,close,q_619;q_1321;q_1422,,0,350,0,642393c942bf
methodical,q_820,close,q_619;q_1321;q_1422,,0,287,0,642393c942bf
methodical,q_1044,close,q_619;q_1321;q_1422,,0,355,0,642393c942bf
methodical,q_867,close,q_619;q_1321;q_1422,,0,362,0,642393c942bf
methodical,q_4288,close,q_619;q_1321;q_1422,,0,328,0,642393c942bf
methodical,q_832,close,q_619;q_1321;q_1422,,0,400,0,642393c942bf
meticulous,HiFWB_composite,direct,q_1063;q_1507;q_1915,,0,1054,0,c8c33fd8fcd4
meticulous,q_2765,direct,q_1063;q_1507;q_1915,,0,335,0,c8c33fd8fcd4
meticulous,q_1371,direct,q_1063;q_1507;q_1915,,0,359,0,c8c33fd8fcd4
meticulous,q_1043,direct,q_1063;q_1507;q_1915,,0,328,0,c8c33fd8fcd4
meticulous,q_208,direct,q_1063;q_1507;q_1915,,0,398,0,c8c33fd8fcd4
meticulous,q_206,direct,q_1063;q_1507;q_1915,,0,383,0,c8c33fd8fcd4
meticulous,q_1578,direct,q_1063;q_1507;q_1915,,0,329,0,c8c33fd8fcd4
meticulous,q_875,direct,q_1063;q_1507;q_1915,,0,379,0,c8c33fd8fcd4
meticulous,q_285,direct,q_1063;q_1507;q_1915,,0,369,0,c8c33fd8fcd4
meticulous,q_820,direct,q_1063;q_1507;q_1915,,0,338,0,c8c33fd8fcd4
meticulous,q_1044,direct,q_1063;q_1507;q_1915,,0,394,0,c8c33fd8fcd4
meticulous,q_867,direct,q_1063;q_1507;q_1915,,0,398,0,c8c33fd8fcd4
meticulous,q_4288,direct,q_1063;q_1507;q_1915,,0,392,0,c8c33fd8fcd4
meticulous,q_832,direct,q_1063;q_1507;q_1915,,0,486,0,c8c33fd8fcd4
mischievous,HiFWB_composite,close,q_4251;q_4265,,0,451,0,d9285ebbcce8
mischievous,q_2765,close,q_4251;q_4265,,0,158,0,d9285ebbcce8
mischievous,q_1371,close,q_4251;q_4265,,0,193,0,d9285ebbcce8
mischievous,q_1043,close,q_4251;q_4265,,0,149,0,d9285ebbcce8
mischievous,q_208,close,q_4251;q_4265,,0,211,0,d9285ebbcce8
mischievous,q_206,close,q_4251;q_4265,,0,201,0,d9285ebbcce8
mischievous,q_1578,close,q_4251;q_4265,,0,144,0,d9285ebbcce8
mischievous,q_875,close,q_4251;q_4265,,0,212,0,d9285ebbcce8
mischievous,q_285,close,q_4251;q_4265,,0,200,0,d9285ebbcce8
mischievous,q_820,close,q_4251;q_4265,,0,151,0,d9285ebbcce8
mischievous,q_1044,close,q_4251;q_4265,,0,208,0,d9285ebbcce8
mischievous,q_867,close,q_4251;q_4265,,0,199,0,d9285ebbcce8
mischievous,q_4288,close,q_4251;q_4265,,0,199,0,d9285ebbcce8
mischievous,q_832,close,q_4251;q_4265,,0,168,0,d9285ebbcce8
naive,HiFWB_composite,close,q_377;q_1854;q_1758,,0,971,0,70ce44f1d308
naive,q_2765,close,q_377;q_1854;q_1758,,0,314,0,70ce44f1d308
naive,q_1371,close,q_377;q_1854;q_1758,,0,427,0,70ce44f1d308
naive,q_1043,close,q_377;q_1854;q_1758,,0,309,0,70ce44f1d308
naive,q_208,close,q_377;q_1854;q_1758,,0,450,0,70ce44f1d308
naive,q_206,close,q_377;q_1854;q_1758,,0,427,0,70ce44f1d308
naive,q_1578,close,q_377;q_1854;q_1758,,0,319,0,70ce44f1d308
naive,q_875,close,q_377;q_1854;q_1758,,0,441,0,70ce44f1d308
naive,q_285,close,q_377;q_1854;q_1758,,0,423,0,70ce44f1d308
naive,q_820,close,q_377;q_1854;q_1758,,0,307,0,70ce44f1d308
naive,q_1044,close,q_377;q_1854;q_1758,,0,421,0,70ce44f1d308
naive,q_867,close,q_377;q_1854;q_1758,,0,438,0,70ce44f1d308
naive,q_4288,close,q_377;q_1854;q_1758,,0,439,0,70ce44f1d308
naive,q_832,close,q_377;q_1854;q_1758,,0,395,0,70ce44f1d308
neurotic,HiFWB_composite,direct,q_1989;q_1099;q_1578,q_1578,1,681,1,2472643589f6
neurotic,q_2765,direct,q_1989;q_1099;q_1578,,0,170,0,2472643589f6
neurotic,q_1371,direct,q_1989;q_1099;q_1578,,0,236,0,2472643589f6
neurotic,q_1043,direct,q_1989;q_1099;q_1578,,0,186,0,2472643589f6
neurotic,q_208,direct,q_1989;q_1099;q_1578,,0,242,0,2472643589f6
neurotic,q_206,direct,q_1989;q_1099;q_1578,,0,238,0,2472643589f6
neurotic,q_1578,direct,q_1989;q_1099;q_1578,q_1578,1,624,1,2472643589f6
neurotic,q_875,direct,q_1989;q_1099;q_1578,,0,261,0,2472643589f6
neurotic,q_285,direct,q_1989;q_1099;q_1578,,0,226,0,2472643589f6
neurotic,q_820,direct,q_1989;q_1099;q_1578,,0,186,0,2472643589f6
neurotic,q_1044,direct,q_1989;q_1099;q_1578,,0,253,0,2472643589f6
neurotic,q_867,direct,q_1989;q_1099;q_1578,,0,260,0,2472643589f6
neurotic,q_4288,direct,q_1989;q_1099;q_1578,,0,253,0,2472643589f6
neurotic,q_832,direct,q_1989;q_1099;q_1578,,0,258,0,2472643589f6
nonchalant,HiFWB_composite,close,q_248;q_4261,,0,352,0,4668e3a687b8
nonchalant,q_2765,close,q_248;q_4261,,0,108,0,4668e3a687b8
nonchalant,q_1371,close,q_248;q_4261,,0,165,0,4668e3a687b8
nonchalant,q_1043,close,q_248;q_4261,,0,112,0,4668e3a687b8
nonchalant,q_208,close,q_248;q_4261,,0,149,0,4668e3a687b8
nonchalant,q_206,close,q_248;q_4261,,0,141,0,4668e3a687b8
nonchalant,q_1578,close,q_248;q_4261,,0,104,0,4668e3a687b8
nonchalant,q_875,close,q_248;q_4261,,0,158,0,4668e3a687b8
nonchalant,q_285,close,q_248;q_4261,,0,158,0,4668e3a687b8
nonchalant,q_820,close,q_248;q_4261,,0,112,0,4668e3a687b8
nonchalant,q_1044,close,q_248;q_4261,,0,157,0,4668e3a687b8
nonchalant,q_867,close,q_248;q_4261,,0,165,0,4668e3a687b8
nonchalant,q_4288,close,q_248;q_4261,,0,154,0,4668e3a687b8
nonchalant,q_832,close,q_248;q_4261,,0,140,0,4668e3a687b8
