replicate,M1_R2,M1_RMSE,M2_R2,M2_RMSE,M3_R2,M3_RMSE,delta_R2_M3_M1
131,0.41678951119645713,0.6057145481291888,0.1524784887755367,0.7301813004823035,0.41365517775005867,0.6073400053650159,-0.003134333446398463
132,0.4189782113340006,0.5908936949195202,0.18832035813182746,0.6984019979079321,0.4325025881460647,0.5839761209945016,0.013524376812064087
133,0.4216254982082165,0.6220751440679919,0.17186715023261823,0.7443690129128485,0.4320442296919066,0.6164467080832575,0.010418731483690102
134,0.44737222353248185,0.598138145911862,0.2203251098588972,0.7104637423109312,0.46551433759729144,0.5882381337346265,0.01814211406480959
135,0.46012163808408457,0.5973110186346486,0.2505634540715276,0.7037525787744038,0.4747550782397544,0.5891603298336081,0.014633440155669808
136,0.4280281701775518,0.5905914043653023,0.17896788418349052,0.7075870477485134,0.4343513242442605,0.587317835065562,0.006323154066708692
137,0.5009663193302506,0.5882730628485533,0.22424871160563786,0.7334580613541613,0.49916136779125375,0.5893359630448348,-0.0018049515389968462
138,0.44822087128461263,0.6285385307650203,0.2082194174078873,0.7529249607790088,0.44914434634612777,0.6280123394937814,0.0009234750615151333
139,0.47205157252799435,0.6043362973210655,0.22786066221557266,0.7308542360180016,0.4804618497031218,0.5995034006874965,0.008410277175127434
140,0.41600496336814163,0.6167944048317903,0.131181536094365,0.7523161212049245,0.410390637156265,0.6197521371757151,-0.00561432621187663
141,0.47894902096018377,0.6125335994104204,0.20413733403756562,0.7570226507872905,0.47683167959210015,0.6137768825904563,-0.002117341368083614
142,0.462504488836018,0.5852148257435739,0.2103938959741256,0.7093052063479989,0.46540421045658953,0.5836341102171451,0.002899721620571505
143,0.4609858180885399,0.6041637018577847,0.22244490646886672,0.7256381687461978,0.47182446174256265,0.5980585108367698,0.010838643654022762
144,0.4638296749120028,0.5936839508248332,0.19643866222458362,0.7267975227320729,0.4583802219619618,0.5966933245402011,-0.005449452950040956
145,0.4480367810662619,0.6128366573366563,0.2286214344293327,0.7244750761352443,0.45558858472828456,0.6086298904737304,0.0075518036620226825
146,0.4654172644615242,0.6081301429460514,0.2288230590990673,0.730408945593868,0.49026125052970226,0.5938310342155318,0.02484398606817806
147,0.4310503072975763,0.6146063196739298,0.2260103296659729,0.7168489777916129,0.44184653780119687,0.608747091824447,0.010796230503620552
