variable_id,reference_number,question_name,year,variable_title,question_wording_or_description,official_documentation,round,family,public_use_status,derived_or_raw,source_url
T2441000,T24410.00,YEMP-58500.05,2008,CLASS OF WORKER: PRIVATE COMPANY/NON-PROFIT/WITHOUT PAY FOR,"FAMILY/MILITARY? CURR/MR) EMP 05 [As/At](5) [employer name](5)([(loop)](5)) [are/were](5) you employed by government, by a PRIVATE company, a non-profit organization or [are/were](5) you working WITHOUT pay in a family business or farm or [are/were](5) you a member of the Armed Forces? (INTERVIEWER: CODE MILITARY JOBS, SUCH AS ARMY, UNDER MEMBER OF THE ARMED FORCES)",NLS Investigator codebook included in the official public-use extract,12,class_of_worker,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
T2441100,T24411.00,YEMP-58500.06,2008,CLASS OF WORKER: PRIVATE COMPANY/NON-PROFIT/WITHOUT PAY FOR,"FAMILY/MILITARY? CURR/MR) EMP 06 [As/At](5) [employer name](5)([(loop)](5)) [are/were](5) you employed by government, by a PRIVATE company, a non-profit organization or [are/were](5) you working WITHOUT pay in a family business or farm or [are/were](5) you a member of the Armed Forces? (INTERVIEWER: CODE MILITARY JOBS, SUCH AS ARMY, UNDER MEMBER OF THE ARMED FORCES)",NLS Investigator codebook included in the official public-use extract,12,class_of_worker,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
T2441200,T24412.00,YEMP-58500.07,2008,CLASS OF WORKER: PRIVATE COMPANY/NON-PROFIT/WITHOUT PAY FOR,"FAMILY/MILITARY? CURR/MR) EMP 07 [As/At](5) [employer name](5)([(loop)](5)) [are/were](5) you employed by government, by a PRIVATE company, a non-profit organization or [are/were](5) you working WITHOUT pay in a family business or farm or [are/were](5) you a member of the Armed Forces? (INTERVIEWER: CODE MILITARY JOBS, SUCH AS ARMY, UNDER MEMBER OF THE ARMED FORCES)",NLS Investigator codebook included in the official public-use extract,12,class_of_worker,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
T2441300,T24413.00,YEMP-58500.08,2008,CLASS OF WORKER: PRIVATE COMPANY/NON-PROFIT/WITHOUT PAY FOR,"FAMILY/MILITARY? CURR/MR) EMP 08 [As/At](5) [employer name](5)([(loop)](5)) [are/were](5) you employed by government, by a PRIVATE company, a non-profit organization or [are/were](5) you working WITHOUT pay in a family business or farm or [are/were](5) you a member of the Armed Forces? (INTERVIEWER: CODE MILITARY JOBS, SUCH AS ARMY, UNDER MEMBER OF THE ARMED FORCES)",NLS Investigator codebook included in the official public-use extract,12,class_of_worker,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
T3162500,T31625.00,YTEL-TIPIA~000001,2008,"PERSONALITY SCALE: EXTRAVERTED, ENTHUSIASTIC","(HAND R CARD WW)  Using a scale from 1 to 7, where 1 means disagree strongly and 7 means agree strongly, please rate how well each pair of traits applies to you, even if one characteristic applies more strongly than the other.",NLS Investigator codebook included in the official public-use extract,12,personality_tipi_round12,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
T3162501,T31625.01,YTEL-TIPIA~000002,2008,"PERSONALITY SCALE: CRITICAL, QUARRELSOME","(HAND R CARD WW)  Using a scale from 1 to 7, where 1 means disagree strongly and 7 means agree strongly, please rate how well each pair of traits applies to you, even if one characteristic applies more strongly than the other.",NLS Investigator codebook included in the official public-use extract,12,personality_tipi_round12,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
T3162502,T31625.02,YTEL-TIPIA~000003,2008,"PERSONALITY SCALE: DEPENDABLE, SELF-DISCIPLINED","(HAND R CARD WW)  Using a scale from 1 to 7, where 1 means disagree strongly and 7 means agree strongly, please rate how well each pair of traits applies to you, even if one characteristic applies more strongly than the other.",NLS Investigator codebook included in the official public-use extract,12,personality_tipi_round12,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
T3162503,T31625.03,YTEL-TIPIA~000004,2008,"PERSONALITY SCALE: ANXIOUS, EASILY UPSET","(HAND R CARD WW)  Using a scale from 1 to 7, where 1 means disagree strongly and 7 means agree strongly, please rate how well each pair of traits applies to you, even if one characteristic applies more strongly than the other.",NLS Investigator codebook included in the official public-use extract,12,personality_tipi_round12,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
T3162504,T31625.04,YTEL-TIPIA~000005,2008,"PERSONALITY SCALE: OPEN, COMPLEX","(HAND R CARD WW)  Using a scale from 1 to 7, where 1 means disagree strongly and 7 means agree strongly, please rate how well each pair of traits applies to you, even if one characteristic applies more strongly than the other.",NLS Investigator codebook included in the official public-use extract,12,personality_tipi_round12,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
T3162505,T31625.05,YTEL-TIPIA~000006,2008,"PERSONALITY SCALE: RESERVED, QUIET","(HAND R CARD WW)  Using a scale from 1 to 7, where 1 means disagree strongly and 7 means agree strongly, please rate how well each pair of traits applies to you, even if one characteristic applies more strongly than the other.",NLS Investigator codebook included in the official public-use extract,12,personality_tipi_round12,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
