role,activation_cluster,role_name_k5,role_name_k7,role_name_k10,original_prompt_k5,original_prompt_k7,original_prompt_k10,no_label_prompt_k5,no_label_prompt_k7,no_label_prompt_k10
theorist,procedural_professional,3,3,3,2,2,8,1,1,5
therapist,procedural_professional,1,5,5,0,0,8,2,6,6
toddler,other,0,0,4,1,6,6,2,2,1
traditionalist,mythic_spiritual,1,6,1,3,3,7,0,0,9
trainer,procedural_professional,0,5,5,4,6,9,1,1,1
translator,procedural_professional,0,0,0,2,2,8,1,1,8
tree,mythic_spiritual,0,4,8,1,4,4,0,0,0
trickster,trickster_chaos,1,2,9,3,6,6,2,2,2
tulpa,procedural_professional,3,3,3,0,0,0,0,0,0
tutor,procedural_professional,0,5,5,4,6,9,1,1,1
validator,procedural_professional,2,6,6,3,3,3,4,5,7
vampire,mythic_spiritual,0,0,0,1,1,1,3,3,3
vegan,procedural_professional,0,6,0,3,3,7,0,6,6
veteran,grounded_social,2,2,3,1,1,1,3,3,3
veterinarian,procedural_professional,0,0,7,2,5,5,1,6,6
vigilante,grounded_social,3,3,3,0,2,7,2,2,2
virtuoso,mythic_spiritual,2,2,2,4,4,4,0,0,0
virus,mythic_spiritual,1,1,1,2,2,2,0,0,9
visionary,procedural_professional,2,6,6,3,3,3,2,2,9
void,mythic_spiritual,3,6,6,4,4,4,0,0,0
wanderer,mythic_spiritual,2,2,2,4,1,1,3,3,3
warrior,mythic_spiritual,2,2,2,0,0,0,2,2,2
whale,mythic_spiritual,2,2,2,4,4,4,0,0,0
widow,grounded_social,1,1,1,1,1,1,3,3,3
wind,mythic_spiritual,4,4,4,1,1,1,3,3,3
witch,mythic_spiritual,3,3,3,4,4,4,1,0,0
witness,procedural_professional,1,1,1,1,1,1,3,4,4
workaholic,combative_iconoclast,2,2,8,0,5,5,0,0,0
wraith,mythic_spiritual,1,1,1,4,4,4,0,0,0
writer,procedural_professional,1,1,1,2,6,6,4,4,4
zealot,other,2,2,2,0,0,0,0,0,0
zeitgeist,mythic_spiritual,3,3,9,4,4,4,0,0,0
