persona,final_model_residual_pca3d,baseline_residual_pca3d,residual_improvement_pca3d,actual_pc1,actual_pc2,actual_pc3,predicted_pc1,predicted_pc2,predicted_pc3,gemma_axis_proj_raw,gemma_cluster,semantic_cluster_id,is_stable_anchor,is_semantic_bridge,is_semantic_anchor
coral_reef,2.002,2.0889,0.0869,-1.327,-1.1632,0.9255,0.6714,-1.1636,1.046,8342.76,mythic_spiritual,3,False,False,False
wraith,2.003,2.3136,0.3106,-2.6384,-2.079,1.2066,-0.6629,-1.8753,0.9461,8124.75,mythic_spiritual,3,True,False,False
luddite,2.0161,1.736,-0.2801,1.5,-1.6922,-0.3576,-0.1474,-0.5538,-0.5919,7976.16,other,0,False,False,True
maverick,2.0253,2.0475,0.0222,2.4506,-1.2459,-1.1226,0.4466,-1.5357,-1.1692,8535.61,combative_iconoclast,0,True,True,False
prisoner,2.0258,1.512,-0.5138,0.2256,-0.9191,-1.3825,2.1442,-0.768,-0.7501,8142.96,grounded_social,4,True,False,True
activist,2.0397,2.9517,0.9119,-0.1096,0.7183,-0.2182,1.458,-0.4064,-0.8803,8965.19,procedural_professional,0,False,False,False
forecaster,2.0419,1.364,-0.678,0.0786,1.6182,0.0435,-1.9444,1.8651,-0.0829,9414.35,procedural_professional,5,False,True,False
grandparent,2.0501,1.7729,-0.2772,-1.0113,-1.152,-0.8294,0.9902,-1.1952,-0.3876,8306.59,grounded_social,4,True,False,False
stoic,2.1551,3.614,1.4589,-3.281,0.1807,1.248,-1.3106,-0.5952,0.8482,8521.93,mythic_spiritual,0,False,False,False
exile,2.1573,1.6189,-0.5385,0.102,-1.9505,0.4602,1.7085,-1.9076,-0.9791,8126.56,grounded_social,4,True,False,True
novelist,2.1605,2.3189,0.1585,2.4086,-1.1702,0.3674,0.3845,-0.7631,1.0036,8578.86,mythic_spiritual,6,False,False,True
merchant,2.1681,2.0669,-0.1012,1.4359,-0.2791,0.4311,-0.1411,1.0261,-0.283,8945.52,procedural_professional,5,True,True,False
actor,2.1766,2.6477,0.471,3.3676,-1.7101,-0.5434,1.382,-1.1375,-1.2269,8339.02,grounded_social,2,False,True,False
traditionalist,2.2139,2.3501,0.1362,-0.9951,0.4715,1.0026,-1.0873,-1.683,0.5012,8562.53,mythic_spiritual,0,False,False,True
divorcee,2.2309,1.7343,-0.4965,0.8783,-0.3881,-0.8639,-1.3175,-0.6871,-1.1201,8600.15,grounded_social,4,True,False,False
mathematician,2.2641,2.1814,-0.0827,-0.6213,1.377,0.17,1.6058,1.294,-0.229,9391.18,procedural_professional,1,False,False,True
bard,2.2825,3.015,0.7325,-2.7532,-1.9384,1.1222,-0.6245,-1.3328,0.5642,7994.24,mythic_spiritual,6,False,False,True
dreamer,2.31,2.5432,0.2332,-0.2374,-2.0542,1.0031,-2.1291,-1.0003,0.199,8150.16,mythic_spiritual,3,True,False,True
hoarder,2.3316,1.9576,-0.374,0.5844,-1.6209,-1.5377,-1.1496,-0.2417,-0.8115,7898.48,other,0,False,False,True
cyborg,2.3514,2.085,-0.2665,1.4939,0.4538,0.2603,-0.7622,1.057,-0.0151,9227.17,procedural_professional,3,False,False,False
historian,2.3644,2.5289,0.1645,-0.5662,1.3183,0.4291,1.7385,0.9064,0.7603,9100.24,procedural_professional,6,False,False,False
genie,2.3656,3.0058,0.6402,1.3836,-2.3116,-0.0729,-0.8234,-1.4816,-0.2623,8085.52,trickster_chaos,2,False,False,False
empath,2.3684,2.3049,-0.0634,0.3936,-0.5875,0.3113,-1.2559,0.7247,-0.7686,8678.86,procedural_professional,2,False,False,False
graduate,2.3707,2.2537,-0.117,1.7558,0.0993,-1.1084,-0.4963,-0.0825,-0.3905,8838.95,grounded_social,4,True,False,False
summarizer,2.3709,2.0819,-0.2889,-1.1,2.1818,0.1823,1.2458,1.854,0.2869,9402.88,procedural_professional,6,False,False,False
student,2.4673,2.5689,0.1017,1.017,0.9053,-0.6695,-1.0712,-0.2336,-0.0139,9214.49,grounded_social,1,False,False,False
zeitgeist,2.4868,1.8615,-0.6253,2.2192,-0.9117,0.2587,0.441,-2.0044,1.611,8661.81,mythic_spiritual,3,True,False,False
shapeshifter,2.4876,2.7861,0.2986,2.3259,-1.5675,0.5618,-0.0234,-0.7596,0.6886,8596.81,grounded_social,0,False,False,False
ecosystem,2.5359,2.9255,0.3896,1.0167,0.4417,0.685,-1.4058,1.0549,0.2533,8871.55,procedural_professional,0,False,True,False
witness,2.555,2.3485,-0.2065,2.0884,0.2855,0.4346,-0.106,1.5048,-0.0413,8738.25,procedural_professional,6,False,False,False
robot,2.5745,0.9099,-1.6646,-2.1612,2.0837,0.1736,-0.0034,0.7207,0.5115,9503.07,other,3,False,False,False
pharmacist,2.5986,2.7633,0.1647,-1.4756,2.1057,0.1311,0.835,0.9171,0.1583,9363.08,procedural_professional,1,True,False,True
scheduler,2.6174,2.3715,-0.2459,-0.4212,1.7901,-0.1521,2.0219,1.3731,0.6893,9522.75,procedural_professional,5,True,False,False
linguist,2.6196,2.3965,-0.2231,-1.5354,1.6871,0.2674,1.0187,1.1948,-0.0431,9434.19,procedural_professional,1,False,False,False
rogue,2.621,2.7531,0.1321,1.7898,-1.7194,-0.8852,-0.5963,-0.6651,-0.6309,8267.8,grounded_social,2,False,False,False
fixer,2.6249,3.5122,0.8873,2.1149,-0.9446,-0.713,-0.2636,0.1511,-0.5323,8634.25,grounded_social,2,False,False,False
fool,2.651,2.5367,-0.1142,-0.2162,-2.2568,-1.984,-1.9944,-1.2245,-0.3106,7652.21,other,2,False,False,False
hybrid,2.6573,2.4191,-0.2382,2.0767,0.0065,0.3303,-0.3883,0.914,-0.0712,8817.01,procedural_professional,0,False,False,False
caregiver,2.6595,2.7393,0.0798,-0.176,0.3714,-0.0158,-2.8232,0.5445,-0.2032,9006.05,procedural_professional,2,False,False,True
collector,2.6685,2.278,-0.3905,1.7242,0.2003,0.4973,-0.5107,1.6091,0.1216,9028.4,procedural_professional,1,True,False,False
gossip,2.6824,3.0652,0.3828,-1.5477,-1.4604,-2.5832,0.3599,-0.8871,-0.7865,8160.48,other,1,False,False,False
editor,2.7414,1.5613,-1.18,-0.2431,1.9347,0.1948,2.4812,1.6334,0.1415,9642.24,editorial,5,False,False,False
biologist,2.7634,2.7931,0.0298,-0.5583,1.4274,0.3372,2.1581,0.9219,0.2972,9317.89,procedural_professional,1,True,False,False
guardian,2.805,3.0553,0.2503,1.7521,0.2337,0.5071,-0.9793,0.4729,-0.0849,9159.42,procedural_professional,3,False,True,False
amateur,2.8103,3.3312,0.5209,0.9908,-0.2602,-1.2248,-1.7919,-0.2842,-0.8327,8736.96,grounded_social,2,False,False,False
oracle,2.8189,3.1622,0.3433,-1.4924,-1.6846,1.4653,1.2468,-1.8774,0.8279,8234.72,mythic_spiritual,6,False,False,False
vampire,2.8318,3.4284,0.5967,-2.1847,-1.9649,0.7965,0.365,-1.1736,-0.148,8200.54,mythic_spiritual,4,False,False,False
assistant,2.8715,3.3459,0.4743,0.8183,1.4963,-0.0746,-2.015,1.7545,0.314,9368.91,procedural_professional,5,False,False,False
grader,2.8888,2.0136,-0.8753,-1.3716,2.333,0.0917,1.5065,2.2459,-0.141,9661.13,editorial,5,True,False,False
idealist,2.8939,2.9596,0.0657,1.2151,-0.5675,0.6646,-1.1116,0.6562,-0.5454,8610.93,procedural_professional,0,False,False,True
lawyer,2.9597,3.0576,0.0978,-2.6996,2.4785,0.1305,-0.0542,1.1659,0.3287,9485.43,procedural_professional,1,True,True,False
surfer,2.9691,2.681,-0.2881,-0.8818,-1.411,-0.5804,1.9302,-2.1816,-1.1412,8124.96,grounded_social,3,True,True,False
tulpa,3.0018,3.0466,0.0448,3.0289,-0.9143,0.267,0.2195,0.1407,0.3361,8947.72,procedural_professional,3,False,False,False
translator,3.0427,3.6217,0.579,-3.5175,2.1713,-0.0362,-0.4973,2.0431,0.3104,9549.55,procedural_professional,0,False,False,False
loner,3.0441,1.6257,-1.4185,1.8338,-1.0064,-0.5188,-0.836,-0.8358,0.9337,8522.65,mythic_spiritual,2,False,False,False
pragmatist,3.0815,3.9254,0.844,1.1465,1.1898,-0.5527,-1.8937,0.6934,-0.4709,9272.0,procedural_professional,2,False,False,False
prophet,3.1502,3.356,0.2058,-2.5853,-1.8119,1.2864,0.3781,-2.0191,0.2379,8027.03,mythic_spiritual,6,False,False,False
screener,3.1541,2.3663,-0.7879,-1.6743,2.5145,-0.0023,1.2718,1.6448,0.7136,9677.2,editorial,5,True,False,False
accountant,3.1569,1.7514,-1.4054,-1.3216,2.1775,-0.0228,1.7146,1.8838,0.7902,9484.47,procedural_professional,5,True,False,False
narrator,3.3047,3.6125,0.3077,1.8998,-1.8626,0.5597,-0.9709,-0.2256,0.5369,8113.81,mythic_spiritual,6,False,False,True
narcissist,3.3524,2.6918,-0.6606,-0.7748,-1.0872,-1.6399,2.5191,-1.5344,-1.2058,8064.38,other,2,False,False,True
photographer,3.387,3.9532,0.5661,1.4296,-0.6279,0.0864,-1.8183,-1.5705,-0.0986,8568.76,mythic_spiritual,6,False,False,False
mediator,3.4223,3.7059,0.2835,0.784,1.3251,0.139,4.1782,0.9076,0.272,9431.06,procedural_professional,2,False,False,False
prodigy,3.4238,3.8382,0.4144,2.8296,-0.2759,0.1655,-0.5375,0.3179,-0.013,8838.0,procedural_professional,1,False,False,False
chameleon,3.4255,3.9046,0.4791,3.2648,-0.6181,-0.3628,-0.0954,-0.5693,-1.0266,8609.26,grounded_social,2,False,True,False
romantic,3.4627,4.3112,0.8485,-0.2983,-1.5345,0.5709,-3.5716,-1.0796,-0.4627,8168.32,mythic_spiritual,0,False,False,False
negotiator,3.7402,4.2304,0.4902,0.9341,1.3432,0.0811,4.6625,1.0468,0.1089,9322.81,procedural_professional,2,False,True,False
comedian,3.7615,4.5626,0.8011,-1.8468,-1.537,-2.6855,1.363,-1.1133,-0.7706,7946.18,other,6,False,False,False
philosopher,4.1671,5.1691,1.002,-0.3806,0.2443,0.9168,-3.3764,-2.3648,-0.341,8793.91,mythic_spiritual,3,False,False,False
procrastinator,4.2033,5.1961,0.9928,-2.9546,-0.7838,-3.1332,0.0928,-0.3334,-0.2735,8221.36,other,0,False,False,False
bohemian,4.2504,4.3869,0.1365,1.0793,-2.3506,0.0806,-3.0971,-1.7212,0.5575,7992.36,mythic_spiritual,0,False,False,False
leviathan,4.2637,4.3149,0.0513,-4.6516,-1.8112,1.2275,-0.3986,-1.625,1.465,7910.34,mythic_spiritual,3,True,False,False
amnesiac,4.5386,3.1538,-1.3848,-0.6827,-1.7327,-0.2872,3.6159,-0.6432,-1.2534,8213.66,other,2,False,True,False
peacekeeper,4.8502,5.609,0.7588,0.8434,1.134,0.2773,5.6736,1.1472,0.7179,9254.07,procedural_professional,0,False,True,False
workaholic,4.8642,2.8159,-2.0483,1.2952,-0.1565,-1.0237,-3.4221,-1.3111,-0.7519,8437.65,combative_iconoclast,0,False,False,False
adolescent,5.2875,4.5895,-0.698,-4.3627,-0.2589,-3.212,0.3563,-0.9913,-0.9423,8400.42,other,4,False,False,False
poet,5.3477,5.2551,-0.0926,-4.5816,-1.8637,0.8588,0.5711,-0.5435,0.3075,7358.45,other,6,False,False,False
perfectionist,5.9393,5.4444,-0.4948,1.5592,0.6785,0.2265,-4.2003,1.5596,-0.9255,8861.5,procedural_professional,0,False,False,False
teenager,6.2692,5.7517,-0.5175,-4.3499,-0.1617,-3.2123,1.3456,-1.2959,-0.8504,8394.97,other,4,False,False,False
proofreader,6.6644,4.5909,-2.0735,-4.4736,2.7764,-0.031,2.1007,2.284,0.9443,9737.24,editorial,5,False,True,False
pirate,7.6625,7.1605,-0.5021,-7.5486,-1.2157,-0.8756,0.091,-0.6226,-0.8548,7857.75,grounded_social,4,True,False,False
infant,9.1745,11.0808,1.9063,-13.0073,-0.0077,-1.9257,-3.9571,-0.6138,-0.5485,8216.12,other,3,True,False,False
caveman,10.2094,11.7696,1.5602,-8.907,-0.9771,-0.794,1.2258,-2.0987,-1.343,7905.89,other,2,False,False,False
toddler,11.144,13.2353,2.0912,-12.7583,-0.1576,-3.2586,-1.7885,-0.6833,-1.367,7913.81,other,4,False,True,False
