persona,test_fold,gemma_cluster,predicted_pc1,predicted_pc2,predicted_pc3,predicted_gemma_norm,actual_pc1,actual_pc2,actual_pc3,actual_gemma_norm,residual_pca3d,residual_gemma
ascetic,0,mythic_spiritual,-2.032812,-0.795209,0.928271,-0.288182,-3.1667,-1.067996,1.515078,-0.197457,1.305549,0.090725
survivor,4,grounded_social,0.864716,-0.63494,-0.536719,-0.024814,1.733207,-1.178714,-0.420238,-0.202711,1.031278,0.177897
grandparent,3,grounded_social,0.990154,-1.195249,-0.387649,-0.127304,-1.011308,-1.151969,-0.829429,-0.202844,2.050096,0.07554
golem,4,mythic_spiritual,-1.138261,-1.416393,1.452487,-0.132566,-2.723837,-1.347421,1.304086,-0.213994,1.593999,0.081428
wanderer,2,mythic_spiritual,-0.430618,-1.416486,0.680181,-0.209074,1.249221,-2.044286,0.529202,-0.217755,1.799662,0.008681
hedonist,3,trickster_chaos,0.264845,-2.286954,-0.731506,-0.578999,1.694979,-1.512642,-0.522738,-0.229442,1.639642,0.349557
rogue,1,grounded_social,-0.596264,-0.665109,-0.630884,0.142819,1.789826,-1.719443,-0.88518,-0.235453,2.621014,0.378273
mystic,3,mythic_spiritual,-1.808752,-0.602984,0.951744,-0.211625,-2.880885,-1.334429,1.481238,-0.246087,1.401729,0.034463
provocateur,0,combative_iconoclast,0.783548,-1.216233,-1.013853,-0.103301,1.305657,-1.691022,-1.331928,-0.246327,0.774076,0.143025
improviser,3,trickster_chaos,2.922217,-1.404169,-0.949687,-0.140679,2.73848,-1.459379,-1.179827,-0.255534,0.29962,0.114855
auctioneer,2,grounded_social,-0.079654,-0.553194,-1.474341,-0.084086,1.486012,-0.796845,-0.546347,-0.26039,1.836259,0.176304
rebel,4,combative_iconoclast,1.040561,-0.335992,-0.692568,0.070446,1.708515,-1.667012,-1.283688,-0.262708,1.602248,0.333154
oracle,1,mythic_spiritual,1.246807,-1.877357,0.827935,-0.206187,-1.492352,-1.684569,1.465338,-0.263268,2.818943,0.057081
evangelist,2,procedural_professional,1.463982,-0.25103,-0.516215,0.07966,1.997187,-1.29766,-0.111842,-0.270334,1.24228,0.349994
procrastinator,1,other,0.092826,-0.333355,-0.273475,0.09038,-2.954633,-0.783847,-3.133192,-0.274496,4.203325,0.364876
infant,2,other,-3.957072,-0.613767,-0.548489,-0.293606,-13.007334,-0.007722,-1.925685,-0.278906,9.174486,0.0147
amnesiac,3,other,3.615915,-0.643211,-1.253439,0.097457,-0.682669,-1.732739,-0.287219,-0.280972,4.538555,0.378429
pilgrim,0,mythic_spiritual,-2.505853,-1.170421,0.841936,-0.224696,-1.94484,-1.31958,1.413174,-0.287405,0.81443,0.062709
vampire,2,mythic_spiritual,0.364981,-1.173604,-0.147991,-0.231096,-2.184716,-1.964871,0.796465,-0.292006,2.831793,0.060909
prey,3,other,0.633855,-0.616371,0.036386,-0.026005,-1.057244,-1.546042,0.129421,-0.292269,1.932035,0.266264
revenant,4,mythic_spiritual,-1.146485,-1.264687,0.834562,-0.161924,-1.734472,-1.954636,0.901365,-0.293901,0.908967,0.131977
smuggler,4,grounded_social,1.000029,-0.37223,-0.505876,0.161339,-0.011256,-1.276758,-1.420082,-0.295752,1.636045,0.457091
void,3,mythic_spiritual,-3.223668,-1.949779,1.17022,-0.360712,-2.24939,-1.848191,1.032841,-0.298345,0.989147,0.062367
witch,1,mythic_spiritual,-4.191312,-1.771149,1.509741,-0.395606,-2.61754,-1.618126,1.305422,-0.307659,1.594341,0.087947
daredevil,3,grounded_social,-0.660763,-1.49472,-0.544656,-0.386262,0.017894,-1.746344,-1.890131,-0.314966,1.527807,0.071296
shaman,2,mythic_spiritual,-3.29171,-1.745669,2.305848,-0.3605,-3.720991,-1.064861,1.407397,-0.318448,1.206233,0.042052
romantic,4,mythic_spiritual,-3.571614,-1.079563,-0.462722,-0.309621,-0.298256,-1.534524,0.570917,-0.319096,3.462697,0.009474
ghost,3,mythic_spiritual,-1.222428,-2.526533,1.211666,-0.450138,-0.94292,-2.121667,1.005454,-0.323138,0.533446,0.127
gossip,3,other,0.359891,-0.887106,-0.786541,-0.06704,-1.547708,-1.460362,-2.583169,-0.325688,2.68243,0.258649
flaneur,1,mythic_spiritual,0.546847,-1.319997,0.421778,-0.09362,1.09687,-1.671742,0.307475,-0.329031,0.662808,0.235411
cynic,0,combative_iconoclast,-0.291033,-1.223389,-0.421474,-0.16553,0.533729,-1.43721,-2.044801,-0.33029,1.833342,0.164759
martyr,3,mythic_spiritual,0.191001,-1.777447,0.323619,-0.361837,-0.656746,-1.050306,0.968657,-0.332587,1.289761,0.02925
dreamer,0,mythic_spiritual,-2.129112,-1.000318,0.199039,-0.181781,-0.237357,-2.054151,1.003147,-0.334362,2.309954,0.152581
prisoner,0,grounded_social,2.144155,-0.767991,-0.750089,0.052598,0.225591,-0.91912,-1.382533,-0.340414,2.025763,0.393013
echo,0,mythic_spiritual,-0.930954,-1.856119,1.157133,-0.301495,-1.818015,-1.798872,1.349994,-0.348331,0.909587,0.046835
hermit,3,mythic_spiritual,0.144949,-1.575011,0.645404,-0.229909,-0.956597,-1.855726,1.159882,-0.351267,1.247755,0.121358
exile,4,grounded_social,1.708505,-1.907584,-0.97911,-0.398597,0.102015,-1.950523,0.460162,-0.354203,2.157349,0.044394
surfer,4,grounded_social,1.930186,-2.18157,-1.141199,-0.480855,-0.881809,-1.411019,-0.580428,-0.355546,2.969095,0.125308
wraith,0,mythic_spiritual,-0.662931,-1.875343,0.946102,-0.204109,-2.63841,-2.078984,1.206566,-0.355729,2.002954,0.15162
aberration,4,mythic_spiritual,0.08719,-1.894306,0.366528,-0.376425,-1.043783,-2.174352,0.30733,-0.357794,1.166631,0.018631
narrator,4,mythic_spiritual,-0.970924,-0.225631,0.536861,0.03313,1.899819,-1.862587,0.559729,-0.364923,3.304741,0.398053
demon,4,mythic_spiritual,-0.400891,-1.228317,0.268938,-0.079588,-1.224681,-2.292832,0.292076,-0.379624,1.346238,0.300035
whale,3,mythic_spiritual,-0.676654,-1.597782,0.975062,-0.173712,-1.225718,-1.508752,1.132709,-0.382542,0.578143,0.208829
wind,4,mythic_spiritual,-1.341324,-0.055652,1.571911,0.106603,-1.119437,-1.78064,1.059622,-0.387873,1.81308,0.494476
genie,2,trickster_chaos,-0.82343,-1.481563,-0.262302,-0.338933,1.38361,-2.311635,-0.072914,-0.388708,2.365569,0.049775
provincial,3,grounded_social,-1.24045,-0.543749,-1.18394,-0.173049,0.277351,-0.916272,-0.5511,-0.391518,1.686114,0.218468
tree,4,mythic_spiritual,-1.83725,-1.459434,0.345626,-0.375616,-3.14317,-1.485947,1.237198,-0.398684,1.581464,0.023068
narcissist,3,other,2.519103,-1.534435,-1.205799,-0.40184,-0.774807,-1.087173,-1.639931,-0.406481,3.352366,0.004641
criminal,1,grounded_social,0.16013,-0.516926,-1.227489,0.143097,-0.679937,-1.647496,-1.557609,-0.417451,1.44668,0.560548
prophet,2,mythic_spiritual,0.378069,-2.019141,0.237875,-0.402384,-2.585279,-1.811927,1.286369,-0.437882,3.150192,0.035497
eldritch,4,mythic_spiritual,-1.80784,-1.223686,1.077821,-0.105504,-3.018387,-1.913272,1.292589,-0.441604,1.409637,0.3361
trickster,4,trickster_chaos,1.698855,-2.272714,-1.481751,-0.399732,2.400848,-2.482515,-0.824265,-0.443519,0.984428,0.043787
bard,1,mythic_spiritual,-0.624518,-1.332768,0.564188,-0.236888,-2.753225,-1.938438,1.122209,-0.465454,2.282458,0.228566
bohemian,1,mythic_spiritual,-3.097108,-1.721151,0.557482,-0.387207,1.079288,-2.35064,0.08062,-0.467035,4.250404,0.079828
luddite,4,other,-0.147374,-0.553761,-0.591905,-0.016659,1.499987,-1.692181,-0.357628,-0.480657,2.016106,0.463998
comedian,3,other,1.362975,-1.11333,-0.770594,-0.229327,-1.846847,-1.536987,-2.685459,-0.505859,3.761535,0.276533
toddler,0,other,-1.788538,-0.683334,-1.367048,-0.29266,-12.758277,-0.15764,-3.258563,-0.533072,11.144028,0.240412
leviathan,3,mythic_spiritual,-0.398572,-1.625004,1.465,-0.235921,-4.651557,-1.811167,1.227537,-0.535997,4.263675,0.300075
caveman,4,other,1.225793,-2.09869,-1.343025,-0.416086,-8.906958,-0.977105,-0.79399,-0.539736,10.209409,0.12365
absurdist,4,trickster_chaos,-0.213147,-2.56755,-0.994157,-0.615686,-0.05372,-2.277373,-0.963273,-0.542297,0.332526,0.073389
hoarder,1,other,-1.149635,-0.241734,-0.811508,-0.023798,0.584402,-1.620908,-1.537659,-0.545969,2.331588,0.522171
pirate,4,grounded_social,0.090965,-0.622639,-0.854825,-0.000572,-7.548556,-1.215684,-0.875608,-0.580207,7.662533,0.579636
zealot,2,other,-0.956592,-0.341062,-0.430312,-0.017337,-1.87269,-1.099439,0.40956,-0.593114,1.455939,0.575777
jester,1,trickster_chaos,-1.306151,-2.669137,-1.134641,-0.74945,-0.00366,-2.448123,-0.949982,-0.5957,1.333952,0.15375
fool,0,other,-1.994379,-1.224511,-0.310614,-0.362602,-0.216245,-2.256785,-1.984037,-0.753018,2.65098,0.390416
poet,1,other,0.571135,-0.5435,0.307522,0.053083,-4.5816,-1.863689,0.858822,-1.0,5.347664,1.053083
