persona,pseudo_pc1,pseudo_pc2,pseudo_pc3,gemma_axis_proj_raw,gemma_axis_proj_norm,cos_to_editor,cos_to_synthesizer,cos_to_blogger,cos_to_ancient,cos_to_trickster,cos_to_contrarian,cos_to_podcaster,gemma_cluster
workaholic,1.295228,-0.156498,-1.023741,8437.645,-0.092655,0.967583,0.978806,0.982021,0.966133,0.975522,0.989237,0.980546,combative_iconoclast
predator,0.212827,-1.129273,0.357958,8436.639,-0.0935,0.953665,0.969514,0.977857,0.984566,0.974036,0.972295,0.976591,mythic_spiritual
competitor,1.342384,-0.582407,-1.289906,8435.336,-0.094596,0.960017,0.973862,0.984466,0.964909,0.97828,0.989531,0.981059,combative_iconoclast
orphan,0.943482,-1.139917,-1.102686,8430.357,-0.098782,0.946854,0.96735,0.990926,0.970168,0.973059,0.974856,0.985788,grounded_social
homunculus,-0.443985,-1.431711,1.053919,8429.396,-0.09959,0.951118,0.966801,0.970657,0.991239,0.975959,0.966071,0.972107,mythic_spiritual
elder,0.941246,-1.587769,0.607848,8424.313,-0.103864,0.952183,0.971161,0.985669,0.992,0.978222,0.967862,0.981897,mythic_spiritual
mycorrhizal,-1.745932,-1.03575,1.108963,8414.375,-0.112219,0.944099,0.964974,0.968183,0.986077,0.965801,0.954389,0.968147,mythic_spiritual
virtuoso,2.119932,-0.797642,0.678257,8412.888,-0.113469,0.972641,0.986911,0.986085,0.991112,0.983993,0.980237,0.981667,mythic_spiritual
adolescent,-4.362714,-0.258867,-3.21201,8400.419,-0.123953,0.919172,0.934901,0.963627,0.922224,0.949686,0.953157,0.969463,other
teenager,-4.349887,-0.161702,-3.212284,8394.965,-0.128538,0.920672,0.935834,0.963786,0.92163,0.949551,0.953302,0.969083,other
dilettante,3.046582,-1.019811,-0.606808,8393.813,-0.129507,0.97176,0.985865,0.991529,0.978441,0.991575,0.984731,0.991069,trickster_chaos
guru,-0.08968,-1.465248,1.179248,8379.293,-0.141715,0.949997,0.97032,0.975669,0.994319,0.97568,0.964865,0.973998,mythic_spiritual
widow,-0.064546,-1.101545,-0.104631,8362.092,-0.156177,0.94635,0.966598,0.98539,0.977903,0.970115,0.963452,0.97876,grounded_social
chimera,1.488747,-1.975334,0.683185,8360.873,-0.157202,0.952863,0.972043,0.981199,0.996143,0.98567,0.977551,0.982294,mythic_spiritual
coral_reef,-1.326982,-1.163225,0.925547,8342.761,-0.17243,0.944628,0.965055,0.971279,0.985852,0.968045,0.955899,0.971011,mythic_spiritual
actor,3.367587,-1.710126,-0.543363,8339.025,-0.175571,0.963123,0.979391,0.995809,0.985837,0.991578,0.986668,0.994506,grounded_social
warrior,-0.309126,-1.2947,0.391309,8323.479,-0.188641,0.94699,0.964431,0.977283,0.984376,0.97187,0.969595,0.973709,mythic_spiritual
ancient,-0.027731,-1.631566,1.294156,8321.215,-0.190545,0.949424,0.969184,0.973893,0.996966,0.977101,0.967733,0.973349,mythic_spiritual
spirit,-1.96459,-1.520566,1.515433,8319.217,-0.192225,0.938823,0.959988,0.966513,0.992761,0.96771,0.952918,0.965791,mythic_spiritual
ascetic,-3.1667,-1.067996,1.515078,8312.993,-0.197457,0.937779,0.95588,0.958446,0.987029,0.960632,0.952441,0.957912,mythic_spiritual
survivor,1.733207,-1.178714,-0.420238,8306.745,-0.202711,0.9541,0.97503,0.993116,0.980923,0.97727,0.978952,0.98576,grounded_social
grandparent,-1.011308,-1.151969,-0.829429,8306.586,-0.202844,0.939642,0.957115,0.98145,0.965388,0.968492,0.955878,0.978748,grounded_social
golem,-2.723837,-1.347421,1.304086,8293.325,-0.213994,0.93845,0.954119,0.962774,0.987664,0.962233,0.947451,0.965669,mythic_spiritual
wanderer,1.249221,-2.044286,0.529202,8288.851,-0.217755,0.947182,0.96898,0.985718,0.994144,0.982843,0.972255,0.982655,mythic_spiritual
hedonist,1.694979,-1.512642,-0.522738,8274.951,-0.229442,0.956663,0.973435,0.982655,0.977444,0.989945,0.982489,0.982853,trickster_chaos
rogue,1.789826,-1.719443,-0.88518,8267.801,-0.235453,0.951583,0.967924,0.986186,0.97616,0.987592,0.985967,0.984632,grounded_social
mystic,-2.880885,-1.334429,1.481238,8255.153,-0.246087,0.935027,0.956977,0.961241,0.987883,0.964343,0.949109,0.960764,mythic_spiritual
provocateur,1.305657,-1.691022,-1.331928,8254.868,-0.246327,0.945577,0.964543,0.977831,0.969589,0.986379,0.995595,0.980784,combative_iconoclast
improviser,2.73848,-1.459379,-1.179827,8243.917,-0.255534,0.959757,0.976979,0.992066,0.973462,0.990875,0.985307,0.992148,trickster_chaos
auctioneer,1.486012,-0.796845,-0.546347,8238.141,-0.26039,0.964719,0.977095,0.985186,0.973425,0.9834,0.979277,0.981839,grounded_social
rebel,1.708515,-1.667012,-1.283688,8235.385,-0.262708,0.946662,0.967198,0.982601,0.972168,0.985201,0.995554,0.983656,combative_iconoclast
oracle,-1.492352,-1.684569,1.465338,8234.718,-0.263268,0.940815,0.960796,0.966938,0.99434,0.971571,0.957166,0.967646,mythic_spiritual
evangelist,1.997187,-1.29766,-0.111842,8226.314,-0.270334,0.958803,0.978839,0.986658,0.98437,0.984574,0.983787,0.983986,procedural_professional
procrastinator,-2.954633,-0.783847,-3.133192,8221.364,-0.274496,0.92702,0.939117,0.962711,0.928731,0.96414,0.964587,0.973851,other
infant,-13.007334,-0.007722,-1.925685,8216.119,-0.278906,0.880108,0.8937,0.914531,0.906817,0.916525,0.893584,0.93523,other
amnesiac,-0.682669,-1.732739,-0.287219,8213.661,-0.280972,0.936196,0.955722,0.97775,0.977689,0.970417,0.962224,0.979922,other
pilgrim,-1.94484,-1.31958,1.413174,8206.01,-0.287405,0.940288,0.961627,0.968848,0.990395,0.9665,0.951552,0.965895,mythic_spiritual
vampire,-2.184716,-1.964871,0.796465,8200.538,-0.292006,0.930903,0.949082,0.963247,0.985818,0.970571,0.960026,0.964926,mythic_spiritual
prey,-1.057244,-1.546042,0.129421,8200.225,-0.292269,0.938078,0.957078,0.974505,0.9807,0.967888,0.960779,0.976297,other
revenant,-1.734472,-1.954636,0.901365,8198.284,-0.293901,0.93244,0.952011,0.968331,0.989561,0.968987,0.959398,0.968628,mythic_spiritual
smuggler,-0.011256,-1.276758,-1.420082,8196.082,-0.295752,0.940474,0.958254,0.982496,0.962512,0.974962,0.977233,0.977991,grounded_social
void,-2.24939,-1.848191,1.032841,8192.998,-0.298345,0.932886,0.952693,0.960061,0.988099,0.969172,0.958245,0.966153,mythic_spiritual
witch,-2.61754,-1.618126,1.305422,8181.9204,-0.307659,0.9342,0.954012,0.962581,0.988026,0.9672,0.949782,0.963462,mythic_spiritual
daredevil,0.017894,-1.746344,-1.890131,8173.229,-0.314966,0.934153,0.953284,0.978918,0.958361,0.980621,0.980377,0.979638,grounded_social
shaman,-3.720991,-1.064861,1.407397,8169.088,-0.318448,0.931972,0.953968,0.96014,0.983387,0.957415,0.941151,0.959062,mythic_spiritual
romantic,-0.298256,-1.534524,0.570917,8168.3174,-0.319096,0.944633,0.96564,0.979,0.98612,0.975302,0.960875,0.97564,mythic_spiritual
ghost,-0.94292,-2.121667,1.005454,8163.5093,-0.323138,0.936269,0.95683,0.971608,0.993429,0.974559,0.960805,0.972553,mythic_spiritual
gossip,-1.547708,-1.460362,-2.583169,8160.476,-0.325688,0.929369,0.944118,0.968731,0.941939,0.976816,0.972009,0.975466,other
flaneur,1.09687,-1.671742,0.307475,8156.5,-0.329031,0.952458,0.97133,0.980729,0.987817,0.98446,0.976362,0.979602,mythic_spiritual
cynic,0.533729,-1.43721,-2.044801,8155.003,-0.33029,0.942288,0.957989,0.976175,0.957173,0.98185,0.991725,0.979996,combative_iconoclast
martyr,-0.656746,-1.050306,0.968657,8152.2705,-0.332587,0.949085,0.968227,0.974872,0.989096,0.968602,0.966333,0.970291,mythic_spiritual
dreamer,-0.237357,-2.054151,1.003147,8150.1597,-0.334362,0.942202,0.963274,0.973893,0.994405,0.978982,0.962645,0.97598,mythic_spiritual
prisoner,0.225591,-0.91912,-1.382533,8142.961,-0.340414,0.944107,0.962804,0.986951,0.96367,0.969046,0.976026,0.981382,grounded_social
echo,-1.818015,-1.798872,1.349994,8133.545,-0.348331,0.935733,0.956882,0.966088,0.993199,0.969163,0.956393,0.967203,mythic_spiritual
hermit,-0.956597,-1.855726,1.159882,8130.0527,-0.351267,0.939811,0.959949,0.97267,0.993988,0.972464,0.959053,0.972084,mythic_spiritual
exile,0.102015,-1.950523,0.460162,8126.5605,-0.354203,0.940053,0.961465,0.981123,0.990282,0.975149,0.967697,0.978351,grounded_social
surfer,-0.881809,-1.411019,-0.580428,8124.963,-0.355546,0.935385,0.957301,0.979388,0.970576,0.970347,0.963469,0.975584,grounded_social
wraith,-2.63841,-2.078984,1.206566,8124.746,-0.355729,0.927406,0.947752,0.961814,0.990259,0.967637,0.953076,0.964175,mythic_spiritual
aberration,-1.043783,-2.174352,0.30733,8122.29,-0.357794,0.933986,0.952858,0.963767,0.984594,0.978078,0.973343,0.970322,mythic_spiritual
narrator,1.899819,-1.862587,0.559729,8113.8105,-0.364923,0.956616,0.974582,0.986329,0.994953,0.986953,0.976328,0.984616,mythic_spiritual
demon,-1.224681,-2.292832,0.292076,8096.3257,-0.379624,0.932263,0.949784,0.964528,0.983958,0.97871,0.970222,0.969548,mythic_spiritual
whale,-1.225718,-1.508752,1.132709,8092.855,-0.382542,0.942328,0.962691,0.971176,0.990565,0.970233,0.956229,0.971162,mythic_spiritual
wind,-1.119437,-1.78064,1.059622,8086.5137,-0.387873,0.939395,0.959838,0.972566,0.991452,0.97192,0.956303,0.972218,mythic_spiritual
genie,1.38361,-2.311635,-0.072914,8085.521,-0.388708,0.949996,0.965273,0.977561,0.986099,0.993128,0.977522,0.983918,trickster_chaos
provincial,0.277351,-0.916272,-0.5511,8082.1787,-0.391518,0.950245,0.968199,0.987087,0.972395,0.971373,0.966113,0.981505,grounded_social
tree,-3.14317,-1.485947,1.237198,8073.655,-0.398684,0.930043,0.952001,0.962269,0.986135,0.960539,0.944844,0.964066,mythic_spiritual
narcissist,-0.774807,-1.087173,-1.639931,8064.382,-0.406481,0.94227,0.954547,0.970283,0.956093,0.974099,0.979585,0.97503,other
criminal,-0.679937,-1.647496,-1.557609,8051.334,-0.417451,0.929887,0.949343,0.979439,0.961582,0.972173,0.975881,0.976317,grounded_social
prophet,-2.585279,-1.811927,1.286369,8027.034,-0.437882,0.930539,0.951397,0.961425,0.990218,0.966205,0.955179,0.963108,mythic_spiritual
eldritch,-3.018387,-1.913272,1.292589,8022.607,-0.441604,0.928204,0.94909,0.955126,0.988523,0.967869,0.955002,0.960595,mythic_spiritual
trickster,2.400848,-2.482515,-0.824265,8020.329,-0.443519,0.949124,0.966748,0.983786,0.981392,0.997793,0.986992,0.989745,trickster_chaos
bard,-2.753225,-1.938438,1.122209,7994.2397,-0.465454,0.930197,0.948687,0.96252,0.986601,0.969163,0.947105,0.964543,mythic_spiritual
bohemian,1.079288,-2.35064,0.08062,7992.359,-0.467035,0.941084,0.964622,0.981827,0.988609,0.987068,0.974737,0.98232,mythic_spiritual
luddite,1.499987,-1.692181,-0.357628,7976.1567,-0.480657,0.950855,0.969687,0.983873,0.982504,0.98348,0.981921,0.984345,other
comedian,-1.846847,-1.536987,-2.685459,7946.1816,-0.505859,0.928531,0.942155,0.963345,0.939105,0.979154,0.97172,0.974298,other
toddler,-12.758277,-0.15764,-3.258563,7913.815,-0.533072,0.874144,0.889147,0.915719,0.89115,0.921283,0.899667,0.939144,other
leviathan,-4.651557,-1.811167,1.227537,7910.3364,-0.535997,0.918219,0.93847,0.951108,0.982781,0.957899,0.943432,0.955217,mythic_spiritual
caveman,-8.906958,-0.977105,-0.79399,7905.889,-0.539736,0.893047,0.912606,0.935151,0.941047,0.933323,0.919464,0.94779,other
absurdist,-0.05372,-2.277373,-0.963273,7902.8423,-0.542297,0.938067,0.954376,0.966893,0.969469,0.990888,0.978309,0.977364,trickster_chaos
hoarder,0.584402,-1.620908,-1.537659,7898.475,-0.545969,0.943492,0.960062,0.981248,0.964242,0.980274,0.973504,0.987601,other
pirate,-7.548556,-1.215684,-0.875608,7857.7524,-0.580207,0.898876,0.916356,0.944178,0.94286,0.947201,0.932515,0.944221,grounded_social
zealot,-1.87269,-1.099439,0.40956,7842.4014,-0.593114,0.941005,0.957393,0.961777,0.978808,0.966429,0.971846,0.963905,other
jester,-0.00366,-2.448123,-0.949982,7839.3257,-0.5957,0.936283,0.951912,0.970233,0.97093,0.990671,0.975277,0.978715,trickster_chaos
fool,-0.216245,-2.256785,-1.984037,7652.212,-0.753018,0.931388,0.948167,0.973941,0.958242,0.983939,0.969782,0.986718,other
poet,-4.5816,-1.863689,0.858822,7358.4536,-1.0,0.915873,0.937592,0.954104,0.977804,0.959874,0.941282,0.95652,other
