model,K,profile_id,opaque_role_id,similarity_to_centroid,within_profile_centroid_rank
gemma,4,G04_D,R169,0.9990051350548872,116
gemma,4,G04_D,R163,0.999001228016113,117
gemma,4,G04_D,R142,0.9989896215932212,118
gemma,4,G04_D,R033,0.9989886988437772,119
gemma,4,G04_D,R262,0.9989717491658496,120
gemma,4,G04_D,R233,0.9989554168035386,121
gemma,4,G04_D,R256,0.9988782418892285,122
gemma,4,G04_D,R175,0.9988510029828295,123
gemma,4,G04_D,R159,0.9988268567834687,124
gemma,4,G04_D,R144,0.9987945124892591,125
gemma,4,G04_D,R019,0.9987812153045916,126
gemma,4,G04_D,R143,0.998646991198405,127
gemma,4,G04_D,R039,0.9986243524809177,128
gemma,4,G04_D,R047,0.9986179408159119,129
gemma,4,G04_D,R103,0.9986145829588545,130
gemma,4,G04_D,R191,0.9985163892076504,131
gemma,4,G04_D,R208,0.9982820520478345,132
gemma,4,G04_D,R125,0.9982512043921657,133
gemma,4,G04_D,R261,0.9981030790748455,134
gemma,4,G04_D,R226,0.9980424137187344,135
gemma,4,G04_D,R015,0.9979638962684921,136
gemma,5,G05_A,R246,0.998285160403428,1
gemma,5,G05_A,R093,0.9980053668420202,2
gemma,5,G05_A,R121,0.9964838115108424,3
gemma,5,G05_A,R036,0.9960406028279424,4
gemma,5,G05_B,R273,0.9997160003590648,1
gemma,5,G05_B,R270,0.9997011007231125,2
gemma,5,G05_B,R188,0.9995972635247121,3
gemma,5,G05_B,R181,0.9995549479599147,4
gemma,5,G05_B,R117,0.9995329171184577,5
gemma,5,G05_B,R156,0.9994940425790206,6
gemma,5,G05_B,R053,0.9994734714860596,7
gemma,5,G05_B,R031,0.9994572775414624,8
gemma,5,G05_B,R118,0.9994372538433308,9
gemma,5,G05_B,R252,0.9994370996832551,10
gemma,5,G05_B,R262,0.9993736750204074,11
gemma,5,G05_B,R005,0.9993622528434462,12
gemma,5,G05_B,R275,0.9993367512140127,13
gemma,5,G05_B,R065,0.9992939410983516,14
gemma,5,G05_B,R171,0.999282433955981,15
gemma,5,G05_B,R050,0.9992717202975576,16
gemma,5,G05_B,R220,0.9992713162281739,17
gemma,5,G05_B,R044,0.9992542651955039,18
gemma,5,G05_B,R150,0.9992091614850761,19
gemma,5,G05_B,R088,0.9992055530860975,20
gemma,5,G05_B,R067,0.9991975999896466,21
gemma,5,G05_B,R178,0.999173212637936,22
gemma,5,G05_B,R239,0.999171574812179,23
gemma,5,G05_B,R081,0.9991701851187375,24
gemma,5,G05_B,R110,0.9991469071149799,25
gemma,5,G05_B,R142,0.9991378048169752,26
gemma,5,G05_B,R078,0.9991316404814289,27
gemma,5,G05_B,R216,0.9991239052421574,28
gemma,5,G05_B,R133,0.9990912379258737,29
gemma,5,G05_B,R138,0.9990731165674827,30
gemma,5,G05_B,R169,0.9990636824998851,31
gemma,5,G05_B,R155,0.9990591287892756,32
gemma,5,G05_B,R075,0.9990296622321172,33
gemma,5,G05_B,R085,0.9990029786195143,34
gemma,5,G05_B,R038,0.998983919538984,35
gemma,5,G05_B,R260,0.9989761030582498,36
gemma,5,G05_B,R033,0.9989524732267856,37
gemma,5,G05_B,R022,0.9989506988972588,38
gemma,5,G05_B,R172,0.9989195152497131,39
gemma,5,G05_B,R143,0.9989055914077111,40
gemma,5,G05_B,R047,0.9988735801416526,41
gemma,5,G05_B,R119,0.9988587518653039,42
gemma,5,G05_B,R019,0.9988469789046286,43
gemma,5,G05_B,R211,0.9988424548473179,44
gemma,5,G05_B,R197,0.9988227116658607,45
gemma,5,G05_B,R251,0.9988203635600924,46
gemma,5,G05_B,R201,0.9988117901894791,47
gemma,5,G05_B,R159,0.9987986883828505,48
gemma,5,G05_B,R238,0.9987861237375393,49
gemma,5,G05_B,R207,0.9987473922117718,50
gemma,5,G05_B,R145,0.9987093489557626,51
gemma,5,G05_B,R114,0.9987004970447069,52
gemma,5,G05_B,R221,0.998697708738962,53
gemma,5,G05_B,R039,0.9986789828292576,54
gemma,5,G05_B,R199,0.9986405127044,55
gemma,5,G05_B,R194,0.9986155837627126,56
gemma,5,G05_B,R068,0.9986073528444086,57
gemma,5,G05_B,R247,0.9985964612173862,58
gemma,5,G05_B,R261,0.9984370834600086,59
gemma,5,G05_B,R229,0.9984003198920895,60
gemma,5,G05_B,R111,0.9983636857067317,61
gemma,5,G05_B,R165,0.9983275838864334,62
gemma,5,G05_B,R015,0.9982868245795135,63
gemma,5,G05_B,R032,0.9982221994939496,64
gemma,5,G05_B,R226,0.9981999510610516,65
gemma,5,G05_B,R271,0.99784727524768,66
gemma,5,G05_B,R126,0.9978233391632425,67
gemma,5,G05_B,R002,0.9972563585249912,68
gemma,5,G05_B,R148,0.9969345792043884,69
gemma,5,G05_C,R016,0.9996382644964933,1
gemma,5,G05_C,R228,0.9996192254935017,2
gemma,5,G05_C,R027,0.9995717223098589,3
gemma,5,G05_C,R212,0.9995311768335862,4
gemma,5,G05_C,R160,0.9994939286087603,5
gemma,5,G05_C,R100,0.9994775137839592,6
gemma,5,G05_C,R090,0.9994729109045983,7
gemma,5,G05_C,R192,0.9994574994816484,8
gemma,5,G05_C,R077,0.9994444036757101,9
gemma,5,G05_C,R108,0.9994168641834665,10
gemma,5,G05_C,R112,0.999389985970736,11
gemma,5,G05_C,R149,0.9993390214494632,12
gemma,5,G05_C,R264,0.9993055636990439,13
gemma,5,G05_C,R147,0.9992928543569403,14
gemma,5,G05_C,R041,0.9992918289703338,15
gemma,5,G05_C,R072,0.9992665014533318,16
gemma,5,G05_C,R073,0.9992579940195624,17
gemma,5,G05_C,R205,0.9992543200905633,18
gemma,5,G05_C,R272,0.9992271387388331,19
gemma,5,G05_C,R017,0.999132162104414,20
gemma,5,G05_C,R028,0.999117707613312,21
gemma,5,G05_C,R174,0.999104125576673,22
gemma,5,G05_C,R101,0.999090354625943,23
gemma,5,G05_C,R269,0.9990899768861591,24
gemma,5,G05_C,R136,0.9990656259624923,25
gemma,5,G05_C,R116,0.9990556481421721,26
gemma,5,G05_C,R268,0.9989771379974837,27
gemma,5,G05_C,R219,0.9988992539720697,28
gemma,5,G05_C,R087,0.9988827064206551,29
gemma,5,G05_C,R255,0.9988545698150196,30
gemma,5,G05_C,R098,0.998847190221966,31
gemma,5,G05_C,R092,0.9987966727677524,32
gemma,5,G05_C,R210,0.9987860355079964,33
gemma,5,G05_C,R023,0.9987315250595481,34
gemma,5,G05_C,R265,0.9986378213620265,35
gemma,5,G05_C,R250,0.9985295807407117,36
gemma,5,G05_C,R266,0.9984944624299151,37
gemma,5,G05_C,R063,0.998467969880965,38
gemma,5,G05_C,R079,0.9984274827775974,39
gemma,5,G05_C,R130,0.99836948142907,40
gemma,5,G05_C,R001,0.998363234333559,41
gemma,5,G05_C,R146,0.998344786716651,42
gemma,5,G05_C,R183,0.9983215864568151,43
gemma,5,G05_C,R052,0.9982676524428001,44
gemma,5,G05_C,R263,0.9982178076909939,45
gemma,5,G05_C,R009,0.9981868771019025,46
gemma,5,G05_C,R013,0.9981451152398797,47
gemma,5,G05_C,R185,0.9979589061074146,48
gemma,5,G05_C,R057,0.9978224702830346,49
gemma,5,G05_C,R231,0.9978019138097083,50
gemma,5,G05_C,R180,0.997707263377945,51
gemma,5,G05_C,R274,0.9971876492549688,52
gemma,5,G05_C,R134,0.9971350153379979,53
gemma,5,G05_D,R162,0.9993698362122485,1
gemma,5,G05_D,R204,0.9993199527755589,2
gemma,5,G05_D,R166,0.999213221849103,3
gemma,5,G05_D,R070,0.9992066435130361,4
gemma,5,G05_D,R104,0.9992049884583059,5
gemma,5,G05_D,R037,0.9991995255591423,6
gemma,5,G05_D,R120,0.999167628875115,7
gemma,5,G05_D,R237,0.999128654066635,8
gemma,5,G05_D,R091,0.999098439688482,9
gemma,5,G05_D,R167,0.9990422157184357,10
gemma,5,G05_D,R011,0.9990271333708031,11
gemma,5,G05_D,R259,0.9988735328115523,12
gemma,5,G05_D,R139,0.9987570096315397,13
gemma,5,G05_D,R257,0.9987519682802313,14
gemma,5,G05_D,R154,0.9987384033744532,15
gemma,5,G05_D,R267,0.9987271424006269,16
gemma,5,G05_D,R105,0.9987267863740811,17
gemma,5,G05_D,R006,0.9987131910217238,18
gemma,5,G05_D,R186,0.9986766410736416,19
gemma,5,G05_D,R122,0.9986742813778988,20
gemma,5,G05_D,R046,0.998564346794474,21
gemma,5,G05_D,R209,0.9985561695174041,22
gemma,5,G05_D,R055,0.9985412395876779,23
gemma,5,G05_D,R029,0.9985293711832848,24
gemma,5,G05_D,R061,0.9984835476066651,25
gemma,5,G05_D,R223,0.9983723483683334,26
gemma,5,G05_D,R109,0.9983615551366354,27
gemma,5,G05_D,R225,0.9982366524079511,28
gemma,5,G05_D,R060,0.9982243406660402,29
gemma,5,G05_D,R025,0.9981612894688415,30
gemma,5,G05_D,R045,0.9980535465864335,31
gemma,5,G05_D,R007,0.9979155084297304,32
gemma,5,G05_D,R102,0.9979067406846351,33
gemma,5,G05_D,R243,0.997736571373596,34
gemma,5,G05_D,R115,0.9977313332735682,35
gemma,5,G05_D,R193,0.9976573742540313,36
gemma,5,G05_D,R187,0.9973047493141041,37
gemma,5,G05_D,R096,0.9971300393356727,38
gemma,5,G05_D,R236,0.9968072345299076,39
gemma,5,G05_D,R176,0.9959132388032742,40
gemma,5,G05_E,R049,0.9998279783841572,1
gemma,5,G05_E,R051,0.999807747089967,2
gemma,5,G05_E,R161,0.9998023716725513,3
gemma,5,G05_E,R206,0.9997982794076494,4
gemma,5,G05_E,R141,0.9997933352637476,5
gemma,5,G05_E,R123,0.9997809689965264,6
gemma,5,G05_E,R124,0.9997733422839127,7
gemma,5,G05_E,R127,0.999768378782872,8
gemma,5,G05_E,R097,0.9997535475873057,9
gemma,5,G05_E,R024,0.9997423549062681,10
gemma,5,G05_E,R203,0.9997377082115888,11
gemma,5,G05_E,R240,0.999736491605573,12
gemma,5,G05_E,R232,0.9997323208705866,13
gemma,5,G05_E,R082,0.9997299968984767,14
gemma,5,G05_E,R014,0.9997234472105218,15
gemma,5,G05_E,R084,0.999716796500079,16
gemma,5,G05_E,R202,0.999712413366293,17
gemma,5,G05_E,R158,0.9997117750924072,18
gemma,5,G05_E,R042,0.999709861838865,19
gemma,5,G05_E,R012,0.9997039897813207,20
gemma,5,G05_E,R177,0.9996996039262626,21
gemma,5,G05_E,R196,0.9996978359227895,22
gemma,5,G05_E,R094,0.9996918581684955,23
gemma,5,G05_E,R227,0.9996903033547505,24
gemma,5,G05_E,R254,0.9996888201302752,25
gemma,5,G05_E,R215,0.9996753506074403,26
gemma,5,G05_E,R140,0.9996732781672185,27
gemma,5,G05_E,R152,0.9996585879241144,28
gemma,5,G05_E,R248,0.9996547166371473,29
gemma,5,G05_E,R128,0.9996512391051725,30
gemma,5,G05_E,R241,0.9996500593965922,31
gemma,5,G05_E,R235,0.9996479513520733,32
gemma,5,G05_E,R043,0.9996414472353149,33
gemma,5,G05_E,R214,0.9996387310098136,34
gemma,5,G05_E,R253,0.9996366329071449,35
gemma,5,G05_E,R131,0.999635178991797,36
gemma,5,G05_E,R062,0.9996277318837847,37
gemma,5,G05_E,R234,0.9996125213342932,38
gemma,5,G05_E,R189,0.9996098280334246,39
gemma,5,G05_E,R242,0.9996065629822989,40
gemma,5,G05_E,R080,0.9996041552935155,41
gemma,5,G05_E,R071,0.9995889644345943,42
gemma,5,G05_E,R153,0.9995850681174809,43
gemma,5,G05_E,R224,0.9995723246245893,44
gemma,5,G05_E,R064,0.9995690190049307,45
gemma,5,G05_E,R213,0.9995667373343354,46
gemma,5,G05_E,R008,0.9995666490608667,47
gemma,5,G05_E,R218,0.9995623869641773,48
gemma,5,G05_E,R086,0.9995604159286966,49
gemma,5,G05_E,R184,0.9995584791439412,50
gemma,5,G05_E,R168,0.9995562564586927,51
gemma,5,G05_E,R195,0.999545853363968,52
gemma,5,G05_E,R200,0.9995429499066486,53
gemma,5,G05_E,R089,0.9995427386620931,54
gemma,5,G05_E,R107,0.9995420782691424,55
gemma,5,G05_E,R003,0.9995355950614494,56
gemma,5,G05_E,R244,0.9995332527182458,57
gemma,5,G05_E,R182,0.9995272065566388,58
gemma,5,G05_E,R056,0.9995265143105239,59
gemma,5,G05_E,R106,0.999520007957403,60
gemma,5,G05_E,R026,0.9995121548371511,61
gemma,5,G05_E,R030,0.999500481330043,62
gemma,5,G05_E,R230,0.9994921742301678,63
gemma,5,G05_E,R135,0.9994872771607572,64
gemma,5,G05_E,R074,0.9994753005217138,65
gemma,5,G05_E,R083,0.9994495376168495,66
gemma,5,G05_E,R129,0.9994314757720826,67
gemma,5,G05_E,R222,0.999430470876749,68
gemma,5,G05_E,R137,0.9994252453020528,69
gemma,5,G05_E,R190,0.9994158350946101,70
gemma,5,G05_E,R058,0.999410315150305,71
gemma,5,G05_E,R018,0.9994078501577205,72
gemma,5,G05_E,R069,0.9993929056622046,73
gemma,5,G05_E,R173,0.9993891931088611,74
gemma,5,G05_E,R198,0.9993801376068429,75
gemma,5,G05_E,R170,0.9993763833854022,76
gemma,5,G05_E,R040,0.9993555898886207,77
gemma,5,G05_E,R099,0.9993543581536555,78
gemma,5,G05_E,R249,0.9993536492446422,79
gemma,5,G05_E,R076,0.9993469546052455,80
gemma,5,G05_E,R010,0.9993335040541688,81
gemma,5,G05_E,R217,0.9993186956822524,82
gemma,5,G05_E,R021,0.9993183196363408,83
gemma,5,G05_E,R066,0.9992968597007506,84
gemma,5,G05_E,R020,0.9992925717284568,85
gemma,5,G05_E,R113,0.99928892404733,86
gemma,5,G05_E,R095,0.999287628611442,87
gemma,5,G05_E,R151,0.9992580443881575,88
gemma,5,G05_E,R035,0.9992212966098911,89
gemma,5,G05_E,R059,0.9992163739955985,90
gemma,5,G05_E,R054,0.9991728530887365,91
gemma,5,G05_E,R132,0.9991707318283897,92
gemma,5,G05_E,R157,0.9991512389211075,93
gemma,5,G05_E,R245,0.999150473343747,94
gemma,5,G05_E,R258,0.9991419818044478,95
gemma,5,G05_E,R179,0.9990915728082232,96
gemma,5,G05_E,R164,0.9990388623758467,97
gemma,5,G05_E,R004,0.9990025050511652,98
gemma,5,G05_E,R034,0.9989860790382897,99
gemma,5,G05_E,R048,0.9989808980016278,100
gemma,5,G05_E,R233,0.9989677357700881,101
gemma,5,G05_E,R163,0.9989278345341757,102
gemma,5,G05_E,R144,0.9988650832495216,103
gemma,5,G05_E,R175,0.9988464841309416,104
gemma,5,G05_E,R256,0.9988454601082504,105
gemma,5,G05_E,R103,0.9987320263019409,106
gemma,5,G05_E,R191,0.9986107103164293,107
gemma,5,G05_E,R208,0.9983250386571095,108
gemma,5,G05_E,R125,0.9982981156052675,109
gemma,6,G06_A,R246,0.998285160403428,1
gemma,6,G06_A,R093,0.9980053668420202,2
gemma,6,G06_A,R121,0.9964838115108424,3
gemma,6,G06_A,R036,0.9960406028279424,4
gemma,6,G06_B,R273,0.9996915320352634,1
gemma,6,G06_B,R270,0.999679616302687,2
gemma,6,G06_B,R188,0.9995605416580188,3
