persona,model,model_label,qwen_reference_cluster,kmeans_top3_cluster,kmeans_top5_cluster,agglomerative_top3_cluster,pc1,pc2,pc3,pc1_percentile,pc2_percentile,pc3_percentile
paramedic,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,26.068793283586658,7.004017776313917,-5.833327824932895,71.0909090909091,68.18181818181819,34.72727272727273
parasite,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-18.321895580430677,-13.157745399089244,23.00229048300755,31.09090909090909,25.636363636363637,89.27272727272727
parent,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,7.071280585175005,28.571431505867864,-28.68483601071004,55.45454545454545,90.0,4.545454545454546
patient,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,0.41189244768118416,29.18821062045674,-27.329047579830352,48.54545454545455,90.36363636363636,6.363636363636363
peacekeeper,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,24.312096355499094,-2.6401381617890443,-18.909350278569132,68.9090909090909,50.72727272727273,10.363636363636363
perfectionist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,2,19.958135014208217,-9.866846352847006,11.903255339062099,64.9090909090909,33.27272727272727,80.54545454545455
pharmacist,qwen,Qwen/Qwen3-32B,editorial,0,0,3,37.875918584327394,-4.241318525980347,-3.806829987629841,91.0909090909091,46.72727272727273,39.81818181818182
philosopher,qwen,Qwen/Qwen3-32B,procedural_professional,3,3,2,5.320794731168519,-30.943900244388416,3.9552507649869324,53.27272727272727,6.0,62.36363636363637
photographer,qwen,Qwen/Qwen3-32B,grounded_social,6,1,6,-8.988149069217025,4.756180455515376,-12.08411778630928,40.18181818181818,66.0,19.454545454545453
physicist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,29.160210572326207,-17.27788926237037,11.471327878860551,75.45454545454545,19.09090909090909,79.0909090909091
pilgrim,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-40.740661668291764,-28.502017567429675,-27.98757063931217,12.545454545454545,9.272727272727273,5.636363636363637
pilot,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,26.581052394022862,1.9915876437092344,4.152483513449458,72.18181818181819,60.54545454545455,62.72727272727273
pirate,qwen,Qwen/Qwen3-32B,trickster_chaos,1,5,5,-52.65361030236547,20.27184878665976,24.65869165707304,3.8181818181818183,83.81818181818181,91.0909090909091
planner,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,42.859469808422354,-3.0144967321446146,3.6232501386652176,96.54545454545455,48.90909090909091,61.63636363636363
playwright,qwen,Qwen/Qwen3-32B,grounded_social,6,3,0,-9.817577824625298,4.585625090298109,4.301205546880305,39.09090909090909,65.63636363636364,63.45454545454545
podcaster,qwen,Qwen/Qwen3-32B,grounded_social,6,1,4,0.844643011644405,21.108976092780004,-9.123879102789827,49.27272727272727,85.27272727272727,28.545454545454547
poet,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-59.20142532525757,-14.699961268935272,-3.619136265560653,0.5454545454545454,23.818181818181817,40.18181818181818
polymath,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,29.720850667901736,-13.729703567482382,7.308061936347886,76.54545454545455,24.90909090909091,68.9090909090909
pragmatist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,0,28.854692167298147,13.113668128383202,6.330062217535601,75.0909090909091,75.81818181818181,66.36363636363636
predator,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,5,2,-27.057555884093745,-9.130771488143829,16.6288969000662,23.09090909090909,34.36363636363637,85.63636363636364
presenter,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,19.601709881277337,13.057713716436105,-9.65920381510116,64.54545454545455,75.45454545454545,26.0
prey,qwen,Qwen/Qwen3-32B,grounded_social,4,2,0,-42.05161894639997,1.305190751278503,-0.33102976663595507,10.363636363636363,58.72727272727273,48.18181818181818
prisoner,qwen,Qwen/Qwen3-32B,grounded_social,5,5,0,-22.403887985272736,38.78143159675656,-0.1395707470484238,27.818181818181817,95.0909090909091,48.54545454545455
procrastinator,qwen,Qwen/Qwen3-32B,other,5,4,5,-16.543519361707126,69.46824957094978,16.77210260508193,32.54545454545455,98.72727272727273,86.36363636363636
prodigy,qwen,Qwen/Qwen3-32B,procedural_professional,0,3,2,7.5374629637943995,-5.845253006223923,7.6145313774501435,55.81818181818182,43.45454545454545,70.72727272727273
producer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,30.51527415300469,4.303532473700674,0.6252983179265796,77.27272727272727,65.27272727272727,51.81818181818182
programmer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,31.80584373591556,1.9340633043786184,12.957046087253167,79.45454545454545,60.18181818181818,82.36363636363636
proofreader,qwen,Qwen/Qwen3-32B,editorial,0,0,3,32.67923476301442,1.5923600380183056,0.5921322465837462,81.63636363636364,59.81818181818182,51.45454545454545
prophet,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-53.77668383419537,-32.70779966362358,1.969146856150317,2.3636363636363638,3.8181818181818183,56.54545454545455
provincial,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-22.102235548423007,23.678003277886837,-19.095904138891143,28.181818181818183,88.18181818181819,9.636363636363637
provocateur,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,3,5,-23.79219557322691,22.517386586843884,34.501806164348494,26.727272727272727,87.45454545454545,98.72727272727273
psychologist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,34.99288150979374,-6.252967758206258,-4.4097280957733895,87.45454545454545,42.72727272727273,38.36363636363637
publisher,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,33.94754559561791,-5.102974346258163,0.9869674615472566,84.54545454545455,45.27272727272727,52.90909090909091
purist,qwen,Qwen/Qwen3-32B,procedural_professional,3,3,2,2.7065098789784225,-29.726927781510845,10.257805450423295,51.81818181818182,7.090909090909091,76.54545454545455
realist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,0,22.57742871288618,10.434981709023967,11.004566492834273,67.81818181818181,72.54545454545455,78.72727272727273
rebel,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,3,5,-24.268899156407024,23.900384701977853,27.926136021149482,25.272727272727273,88.54545454545455,95.0909090909091
recruiter,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,3,32.779987577390536,7.866916749976879,-4.199998267816572,82.0,69.27272727272727,39.45454545454545
refugee,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-13.329593217182394,16.146132517610376,-28.55933475795766,36.18181818181818,79.45454545454545,4.909090909090909
reporter,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,27.715362063648442,1.3618124980580042,1.0291706374539542,73.63636363636364,59.09090909090909,53.27272727272727
researcher,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,42.885078527916185,-11.11650770227148,7.604311405121344,96.9090909090909,31.09090909090909,70.36363636363636
retiree,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-3.8515350705046725,26.58838153245354,-17.85468993766834,42.72727272727273,89.27272727272727,11.818181818181818
revenant,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,2,1,-54.5261248908809,-20.04352558252987,7.052731092841881,1.6363636363636365,15.454545454545455,67.45454545454545
reviewer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,42.7347392541523,-9.962990674461532,4.517298237253409,96.18181818181819,32.90909090909091,64.18181818181819
revolutionary,qwen,Qwen/Qwen3-32B,combative_iconoclast,3,3,2,-11.514294493808805,-5.725035389572634,18.037641703864065,36.90909090909091,43.81818181818182,87.0909090909091
robot,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,37.53420471293243,-16.111109510498974,24.74639416375101,90.0,21.272727272727273,91.45454545454545
rogue,qwen,Qwen/Qwen3-32B,trickster_chaos,1,5,5,-26.637792220384554,20.617121521507762,30.236946976694405,23.818181818181817,84.54545454545455,96.54545454545455
romantic,qwen,Qwen/Qwen3-32B,grounded_social,2,1,1,-35.8744478824665,-2.6913529875780386,-30.824384306359256,16.181818181818183,50.0,2.727272727272727
saboteur,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,3,5,5.936886772957386,-0.7753230926177525,34.773661727198686,54.0,55.81818181818182,99.0909090909091
sage,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-30.695828475798436,-30.20544571609462,-17.780813224236542,20.90909090909091,6.7272727272727275,12.181818181818182
scheduler,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,37.321814471220875,2.676388807168389,1.1496200050579046,89.27272727272727,62.0,53.63636363636363
scholar,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,36.46895888203403,-21.045065510116306,8.530280039566422,88.54545454545455,14.0,72.18181818181819
scientist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,41.45494685662239,-11.64006462510226,9.72714197839115,94.36363636363636,29.272727272727273,75.45454545454545
scout,qwen,Qwen/Qwen3-32B,procedural_professional,0,5,2,10.486657787148758,-3.8759314827184923,7.874555341186092,58.36363636363637,47.81818181818182,71.0909090909091
screener,qwen,Qwen/Qwen3-32B,editorial,0,0,3,42.99515613399758,-2.396496643049292,3.8269725514391713,97.63636363636364,52.18181818181818,62.0
secretary,qwen,Qwen/Qwen3-32B,editorial,0,0,3,40.75581360055688,-3.4001063077100855,-1.0785926684204832,93.63636363636364,48.18181818181818,47.09090909090909
shaman,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-41.92268882095782,-32.19495045286243,-27.77048952913973,10.727272727272727,4.545454545454546,6.0
shapeshifter,qwen,Qwen/Qwen3-32B,grounded_social,4,2,0,-26.64773518456242,-7.225543855234675,-3.341381492471957,23.454545454545453,39.45454545454545,40.90909090909091
simulacrum,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-21.385336051716386,-19.503990009894128,17.06559929679572,29.272727272727273,16.181818181818183,86.72727272727273
skeptic,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,32.78735612740642,-6.743944320322114,18.66172770857411,82.36363636363636,41.27272727272727,87.45454545454545
smuggler,qwen,Qwen/Qwen3-32B,grounded_social,1,5,5,-25.843835187178378,33.794271711037084,28.07200562573228,24.545454545454547,91.45454545454545,95.45454545454545
sociologist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,38.94756716727445,-14.409399556209522,1.9980950737288012,92.18181818181819,24.545454545454547,56.90909090909091
soldier,qwen,Qwen/Qwen3-32B,grounded_social,1,5,0,-2.826690471296987,10.681442543898173,13.901981342472535,44.90909090909091,72.9090909090909,83.45454545454545
sommelier,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,-0.15503864043695118,-5.315890184326033,-4.9826497991166185,47.81818181818182,44.54545454545455,36.90909090909091
specialist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,38.63777640442977,-9.666786051990815,12.7900662017412,91.45454545454545,33.63636363636363,82.0
spirit,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-45.035815948931045,-33.236635908839105,-18.033566926794315,8.545454545454545,3.090909090909091,11.454545454545455
spy,qwen,Qwen/Qwen3-32B,procedural_professional,1,5,5,0.7214741115745064,2.5354264902291224,32.136985922802786,48.90909090909091,61.63636363636363,98.0
statistician,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,43.07473713354895,-8.217283922591003,15.733146426315743,98.0,36.18181818181818,84.54545454545455
stoic,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-16.3003795381962,-29.33374562919379,-3.2021911964230774,32.90909090909091,7.454545454545454,41.27272727272727
strategist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,38.955793374445086,-7.521119970133001,7.989249824573059,92.54545454545455,38.72727272727273,71.45454545454545
student,qwen,Qwen/Qwen3-32B,editorial,2,1,6,20.81685713616017,23.378311114867117,-17.44282691109845,66.0,87.81818181818181,13.272727272727273
summarizer,qwen,Qwen/Qwen3-32B,editorial,6,0,3,35.588426753396455,-0.9752283873035538,-6.657898666979065,88.18181818181819,55.09090909090909,32.54545454545455
supervisor,qwen,Qwen/Qwen3-32B,editorial,0,0,3,44.39804594682616,-2.5890623845943197,-0.5052263437564469,98.72727272727273,51.45454545454545,47.81818181818182
surfer,qwen,Qwen/Qwen3-32B,grounded_social,5,1,0,-33.841942337277686,21.928042011551632,-9.514136584103646,19.09090909090909,86.0,26.363636363636363
survivor,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-23.301159629217423,20.545113329375425,-18.175498141415343,27.454545454545453,84.18181818181819,11.090909090909092
swarm,qwen,Qwen/Qwen3-32B,procedural_professional,3,3,2,-5.266618987759208,-30.700269966675418,3.340424663254369,42.0,6.363636363636363,60.18181818181818
symbiont,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,6.6540078307925805,-11.55381824279892,-9.936103785911277,54.72727272727273,30.0,25.272727272727273
synthesizer,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,25.531550663992153,-8.163528064326186,0.061851602039069566,70.0,36.90909090909091,48.90909090909091
teacher,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,28.388591308960713,9.316784674537638,-11.634935441712434,74.0,71.81818181818181,20.90909090909091
technologist,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,30.890109988819667,-1.7713689595066953,9.250463383274827,78.0,54.36363636363637,73.27272727272727
teenager,qwen,Qwen/Qwen3-32B,other,5,4,0,-13.392084759606687,78.11385466925445,-6.473981758293204,35.81818181818182,99.81818181818181,33.27272727272727
theorist,qwen,Qwen/Qwen3-32B,procedural_professional,0,3,3,33.60711550515721,-24.466824278212663,13.312624171364057,83.0909090909091,11.454545454545455,82.72727272727273
therapist,qwen,Qwen/Qwen3-32B,procedural_professional,2,1,4,13.067798551715802,12.359938572743383,-34.533275276879344,60.90909090909091,74.36363636363636,1.2727272727272727
toddler,qwen,Qwen/Qwen3-32B,other,5,6,0,-36.26829149104896,71.15643414701779,-12.32570370200979,15.818181818181818,99.0909090909091,19.09090909090909
traditionalist,qwen,Qwen/Qwen3-32B,procedural_professional,6,2,2,2.384568475986928,-26.883152227772253,-6.692218811179299,50.72727272727273,10.363636363636363,32.18181818181818
trainer,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,3,33.86329658481037,5.1285120015059755,-1.9511176144031424,83.81818181818181,67.0909090909091,46.0
translator,qwen,Qwen/Qwen3-32B,editorial,6,0,3,23.28557819133252,5.104163183711642,0.6497236160416859,68.18181818181819,66.72727272727273,52.18181818181818
tree,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-48.76608960856372,-28.49933535809531,-14.62457737638381,5.2727272727272725,9.636363636363637,16.545454545454547
trickster,qwen,Qwen/Qwen3-32B,trickster_chaos,1,4,5,-35.02203055937979,19.7406199757065,20.906417090358094,16.90909090909091,82.72727272727273,87.81818181818181
tulpa,qwen,Qwen/Qwen3-32B,grounded_social,6,1,6,-9.203232664897332,-0.9329387640338289,-9.498609050678981,39.81818181818182,55.45454545454545,26.727272727272727
tutor,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,29.918931307945527,9.024817184062096,-7.5720583744064855,76.9090909090909,70.72727272727273,31.454545454545453
validator,qwen,Qwen/Qwen3-32B,procedural_professional,0,0,3,44.306456441610095,-6.813154726867272,10.36523373487974,98.36363636363636,40.90909090909091,76.9090909090909
vampire,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,2,2,-52.70663892475701,-20.5632913068431,21.594650775097552,3.4545454545454546,14.727272727272727,88.54545454545455
vegan,qwen,Qwen/Qwen3-32B,procedural_professional,2,1,4,15.417498882915636,8.613726219252772,-22.189044256707408,63.45454545454545,70.36363636363636,7.818181818181818
veteran,qwen,Qwen/Qwen3-32B,grounded_social,6,5,0,7.868989171401516,19.690851417312043,1.7129341552082438,56.18181818181818,82.36363636363636,55.09090909090909
veterinarian,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,26.870204603114843,0.8368780535167465,-11.75370965136463,73.27272727272727,58.36363636363637,20.181818181818183
vigilante,qwen,Qwen/Qwen3-32B,grounded_social,1,5,5,-18.713038809269687,21.985394608680036,23.789986775124692,30.727272727272727,86.36363636363636,90.0
virtuoso,qwen,Qwen/Qwen3-32B,procedural_professional,3,3,2,-9.47195834291163,-14.786538624608406,2.2985274603310004,39.45454545454545,23.09090909090909,57.27272727272727
virus,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-10.626605841632657,-12.916098930714403,25.669757398476182,37.63636363636363,26.363636363636363,92.9090909090909
visionary,qwen,Qwen/Qwen3-32B,procedural_professional,6,3,2,1.0578425385023495,-7.986157716625288,1.51762499869034,49.63636363636363,37.63636363636363,54.72727272727273
void,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,1,-49.02239086854003,-31.379615777258092,11.64594494555905,4.909090909090909,5.2727272727272725,80.18181818181819
wanderer,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,0,-41.612730575396014,-5.170950461863455,-10.129626653005445,11.090909090909092,44.90909090909091,24.90909090909091
warrior,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,5,2,-34.941638840974235,-6.859443306674118,9.636419122754365,17.636363636363637,40.54545454545455,74.72727272727273
whale,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-40.87594132623787,-24.119165498909567,-10.280914117740833,12.181818181818182,12.181818181818182,24.181818181818183
widow,qwen,Qwen/Qwen3-32B,grounded_social,2,1,4,-28.68347239390688,16.408026264699732,-34.3211275157465,22.363636363636363,80.18181818181819,2.0
wind,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-46.81524454593614,-19.437627980126706,-13.076072487034807,7.090909090909091,16.90909090909091,18.0
witch,qwen,Qwen/Qwen3-32B,mythic_spiritual,4,2,1,-47.54346925698808,-31.340770754358715,-2.9908969058882686,6.363636363636363,5.636363636363637,42.0
witness,qwen,Qwen/Qwen3-32B,procedural_professional,6,0,6,9.221539526388046,-6.41358463155636,-3.6001330129808657,58.0,42.36363636363637,40.54545454545455
workaholic,qwen,Qwen/Qwen3-32B,combative_iconoclast,1,5,5,2.566650305968748,19.360138423036677,23.982014204020043,51.45454545454545,82.0,90.36363636363636
wraith,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,2,1,-58.956488215057014,-28.847311757283816,7.198147025239784,0.9090909090909091,8.181818181818182,67.81818181818181
writer,qwen,Qwen/Qwen3-32B,procedural_professional,6,1,6,4.197414687597785,-2.136191508617949,-6.619327286471806,52.54545454545455,53.27272727272727,32.90909090909091
zealot,qwen,Qwen/Qwen3-32B,mythic_spiritual,3,3,2,-33.94084646219896,-18.76129071100236,26.199381621319326,18.727272727272727,17.636363636363637,94.0
zeitgeist,qwen,Qwen/Qwen3-32B,procedural_professional,6,3,2,-8.777957442579256,-7.482825162651851,2.597626861127602,40.54545454545455,39.09090909090909,58.0
aberration,llama,Llama-3.3-70B,mythic_spiritual,2,5,2,-1.839032189222607,0.4495388390085749,0.753555688642275,11.090909090909092,73.27272727272727,93.63636363636364
absurdist,llama,Llama-3.3-70B,trickster_chaos,2,5,5,-1.3277650861551686,1.4014633359682522,0.4591281394739357,15.454545454545455,89.63636363636364,79.81818181818181
accountant,llama,Llama-3.3-70B,editorial,1,0,1,0.9250011159009021,-0.6959540814418054,0.3710803238084441,86.36363636363636,33.27272727272727,70.36363636363636
activist,llama,Llama-3.3-70B,procedural_professional,0,4,0,0.6706595498876413,-0.36368868907814617,-0.973903516984302,64.18181818181819,47.09090909090909,9.272727272727273
actor,llama,Llama-3.3-70B,grounded_social,0,4,5,-0.43812726310631656,0.7291971371947304,-0.39036493359458563,25.636363636363637,79.45454545454545,27.09090909090909
addict,llama,Llama-3.3-70B,grounded_social,0,4,4,0.9441286550246861,1.335186321426004,-1.043803364207608,88.18181818181819,89.27272727272727,6.7272727272727275
adolescent,llama,Llama-3.3-70B,other,3,4,4,2.166742908267038,2.450740451831373,-0.7311929273952917,99.45454545454545,97.27272727272727,16.90909090909091
advocate,llama,Llama-3.3-70B,procedural_professional,4,0,1,0.6119238693811677,-0.8261627218378441,-0.3873031671819092,60.90909090909091,20.90909090909091,27.454545454545453
alien,llama,Llama-3.3-70B,mythic_spiritual,2,3,2,-1.4916083825215978,-0.4483962476310071,0.7705402451446238,14.0,45.27272727272727,94.36363636363636
altruist,llama,Llama-3.3-70B,procedural_professional,0,4,0,0.28343889218034335,-0.5359889216646394,-0.9165167526984939,46.72727272727273,42.36363636363637,11.090909090909092
amateur,llama,Llama-3.3-70B,grounded_social,0,4,4,1.469316356083691,1.200620609723285,-0.8760707275350791,98.36363636363636,87.0909090909091,12.545454545454545
ambassador,llama,Llama-3.3-70B,procedural_professional,4,0,1,0.4597630138464211,-0.9095806949690374,0.02278836342933289,54.72727272727273,15.454545454545455,48.54545454545455
amnesiac,llama,Llama-3.3-70B,grounded_social,3,4,5,0.01811536629932699,1.6213258753532351,0.47793000697058796,35.09090909090909,92.18181818181819,80.54545454545455
analyst,llama,Llama-3.3-70B,procedural_professional,1,0,1,0.8574456176536244,-1.0498988890824776,0.7213597002245754,78.0,6.363636363636363,91.45454545454545
anarchist,llama,Llama-3.3-70B,procedural_professional,0,5,0,-0.20751540068823962,0.3079580698390257,-0.996915310413531,31.454545454545453,71.0909090909091,8.545454545454545
ancient,llama,Llama-3.3-70B,mythic_spiritual,2,3,2,-2.1355938715776857,-0.26241780050359853,0.07520294181161788,8.181818181818182,51.09090909090909,52.54545454545455
angel,llama,Llama-3.3-70B,mythic_spiritual,5,6,0,-1.7033902553978786,-0.5917974164386819,-0.5609575612896113,12.181818181818182,39.45454545454545,21.272727272727273
anthropologist,llama,Llama-3.3-70B,procedural_professional,4,0,1,0.33253764528515073,-0.9974417708415132,0.022396447482830924,48.90909090909091,9.636363636363637,48.18181818181818
archaeologist,llama,Llama-3.3-70B,procedural_professional,4,0,1,-0.07096807705133897,-0.5111012429424209,-0.00597878118015627,34.0,42.72727272727273,46.36363636363637
architect,llama,Llama-3.3-70B,procedural_professional,4,0,1,0.6157057884502076,-0.7792526268064267,0.026234224194783322,61.27272727272727,27.09090909090909,48.90909090909091
archivist,llama,Llama-3.3-70B,procedural_professional,4,0,1,0.33015244369853697,-0.8036906542439609,0.05116357236714904,48.54545454545455,22.727272727272727,49.63636363636363
artisan,llama,Llama-3.3-70B,grounded_social,5,4,0,-0.5937830376817123,-0.02030742781198419,-0.7773670851971415,23.454545454545453,57.63636363636363,14.727272727272727
ascetic,llama,Llama-3.3-70B,mythic_spiritual,5,6,0,-2.6077490168268675,0.4431875363231111,-0.7621767320823816,3.8181818181818183,72.9090909090909,15.090909090909092
assistant,llama,Llama-3.3-70B,procedural_professional,1,0,1,0.9580866819702036,-0.8690127542381383,0.29563365092160393,88.9090909090909,18.0,67.81818181818181
auctioneer,llama,Llama-3.3-70B,grounded_social,3,1,5,0.4707399143071227,0.9576667204632565,0.38430820562961904,56.18181818181818,84.9090909090909,73.27272727272727
auditor,llama,Llama-3.3-70B,procedural_professional,1,0,1,0.8697577657208813,-0.9683084455279918,0.5796432232227495,79.45454545454545,12.545454545454545,84.54545454545455
avatar,llama,Llama-3.3-70B,mythic_spiritual,2,6,2,-2.262362310704612,-0.6114329410773318,-0.13760574598138933,7.090909090909091,37.63636363636363,36.90909090909091
bard,llama,Llama-3.3-70B,mythic_spiritual,2,3,2,-2.310748123794212,0.7624293059876512,-0.1223570929328085,6.363636363636363,80.9090909090909,38.0
bartender,llama,Llama-3.3-70B,grounded_social,0,4,4,0.931573880435517,1.0163516669348263,-0.593028190800687,87.0909090909091,85.63636363636364,20.545454545454547
biologist,llama,Llama-3.3-70B,procedural_professional,1,0,1,0.2922491422262422,-0.7847483735390304,0.36182362958807057,47.09090909090909,25.272727272727273,69.27272727272727
blogger,llama,Llama-3.3-70B,grounded_social,0,4,0,0.46770949588096,-0.11694623484664339,-0.6958143499531653,55.09090909090909,55.81818181818182,17.272727272727273
bohemian,llama,Llama-3.3-70B,grounded_social,5,6,0,-1.265658171251952,1.2871873699962384,-1.6214631978261895,16.545454545454547,88.54545454545455,0.18181818181818182
builder,llama,Llama-3.3-70B,procedural_professional,4,0,1,0.6948167085989286,-0.23740696473749523,-0.3293586179834443,66.36363636363636,53.27272727272727,30.363636363636363
caregiver,llama,Llama-3.3-70B,grounded_social,0,4,0,0.5617089698620321,-0.28550676957473375,-0.9403703368949122,59.81818181818182,50.36363636363637,10.363636363636363
cartographer,llama,Llama-3.3-70B,procedural_professional,4,0,1,0.255805710505253,-0.7399251106669552,0.20094708287042917,45.27272727272727,29.272727272727273,61.63636363636363
caveman,llama,Llama-3.3-70B,trickster_chaos,6,2,3,0.3180987141174176,4.2373591241414195,3.0839707263710774,48.18181818181818,99.81818181818181,99.45454545454545
celebrity,llama,Llama-3.3-70B,grounded_social,0,4,4,1.0322543638826736,0.7544486107631921,-1.1802217687210323,90.72727272727273,80.54545454545455,3.090909090909091
chameleon,llama,Llama-3.3-70B,grounded_social,4,4,5,0.1771240785576249,0.22650008710422703,-0.17708962341967138,39.45454545454545,66.72727272727273,34.72727272727273
chef,llama,Llama-3.3-70B,grounded_social,0,4,5,0.5302069937617355,0.28933998558833396,-0.42678208395839445,58.36363636363637,70.0,24.181818181818183
chemist,llama,Llama-3.3-70B,procedural_professional,1,0,1,0.3742319686980362,-0.6365343856949256,0.5357505935298722,50.72727272727273,36.90909090909091,82.36363636363636
chimera,llama,Llama-3.3-70B,mythic_spiritual,2,3,2,-1.519730490837962,0.051635538549536064,0.37903651888754164,13.636363636363637,59.45454545454545,72.54545454545455
coach,llama,Llama-3.3-70B,procedural_professional,4,0,1,0.8796574720376319,-0.8648342568855103,-0.018648364764359573,80.18181818181819,18.363636363636363,44.54545454545455
collaborator,llama,Llama-3.3-70B,procedural_professional,4,0,1,0.9179091059774264,-0.7321915559234367,-0.16294169328777874,85.27272727272727,29.636363636363637,35.45454545454545
collector,llama,Llama-3.3-70B,procedural_professional,4,0,1,0.18588490038721953,-0.632895437368003,-0.07818054884565202,40.18181818181818,37.27272727272727,40.90909090909091
comedian,llama,Llama-3.3-70B,trickster_chaos,3,5,6,1.1392076799800857,2.3275396859738287,0.3172416620409191,93.27272727272727,95.81818181818181,68.54545454545455
competitor,llama,Llama-3.3-70B,combative_iconoclast,3,1,4,1.070613365240318,1.2046551195637842,-0.23674887663602526,91.81818181818181,87.45454545454545,32.54545454545455
composer,llama,Llama-3.3-70B,procedural_professional,4,0,1,-0.5651185783272581,-0.43589279126844865,-0.12064246522234724,23.818181818181817,46.0,38.36363636363637
conservator,llama,Llama-3.3-70B,procedural_professional,4,0,1,0.37758872003253924,-0.7987582641362768,-0.012867777979744088,51.09090909090909,23.09090909090909,45.63636363636363
consultant,llama,Llama-3.3-70B,procedural_professional,1,0,1,0.8661205735326313,-1.0825804415315505,0.43022043742565386,79.0909090909091,4.181818181818182,77.27272727272727
contrarian,llama,Llama-3.3-70B,combative_iconoclast,0,5,5,0.24063719942400905,0.2681388004480987,-0.41731820511469225,44.18181818181818,68.18181818181819,24.90909090909091
coordinator,llama,Llama-3.3-70B,procedural_professional,1,0,1,0.8862594312766308,-0.994784621085369,0.2126008328472028,80.9090909090909,10.363636363636363,63.45454545454545
coral_reef,llama,Llama-3.3-70B,mythic_spiritual,2,3,2,-1.1786014371874518,-0.20188981197105038,0.3030524275137588,16.90909090909091,54.0,68.18181818181819
cosmopolitan,llama,Llama-3.3-70B,procedural_professional,4,0,1,0.12255958532563199,-0.5664033349604486,-0.36355365734443795,37.63636363636363,40.90909090909091,28.545454545454547
counselor,llama,Llama-3.3-70B,procedural_professional,4,4,1,0.5505282006045841,-0.8079800433527854,-0.5100040147674949,59.45454545454545,22.363636363636363,22.0
