model,component,explained_variance_ratio,cumulative_explained_variance,eigenvalue,eigengap_to_next,relative_eigengap_to_next,parallel_pointwise_pass,parallel_sequential_retain,bootstrap_evaluated,bootstrap_median_loading_cosine,bootstrap_loading_cosine_q05,bootstrap_same_nominal_frequency,individual_axis_stable,moderate_axis_reproducibility,best_adjacent_subspace,best_adjacent_subspace_min_cc_median,best_adjacent_subspace_min_cc_q05,adjacent_subspace_stable,max_absolute_trait_pearson,trait_coherence_descriptive,best_llama_component,best_llama_abs_pearson,best_llama_permutation_p,best_gemma_component,best_gemma_abs_pearson,best_gemma_permutation_p,cross_model_recurrence_any,cross_model_recurrence_both,retention_status,status_is_evidence_summary_not_significance_label
Qwen/Qwen3-32B,22,0.005236544071128023,0.8555522575379506,14.995652261688416,0.2566228342208223,0.017113149181009896,False,False,True,0.4722330461414852,0.300745542910134,0.16,False,False,PC21-PC22,0.1504415136280427,0.01442984641030487,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,23,0.005146930311245876,0.8606991878491965,14.739029427467594,0.8047719302182212,0.05460141959676474,False,False,True,0.48204215975783016,0.3031694491151648,0.178,False,False,PC23-PC24,0.1581988611232884,0.01907426609693699,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,24,0.004865900609686233,0.8655650884588828,13.934257497249373,1.05482510222547,0.07570012987299056,False,False,True,0.4781353081849643,0.3060375817896256,0.134,False,False,PC23-PC24,0.1581988611232884,0.01907426609693699,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,25,0.004497551301583922,0.8700626397604667,12.879432395023903,1.83012965543519,0.1420970737920313,False,False,True,0.4537880669400145,0.2790057727997226,0.146,False,False,PC24-PC25,0.13427762678753985,0.014451244416520598,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,26,0.0038584624223993043,0.873921102182866,11.049302739588713,0.2596799073376026,0.023501927086058704,False,False,True,0.45633647093874696,0.3059469100967188,0.144,False,False,PC25-PC26,0.13948246846487564,0.013141160685816219,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,27,0.0037677811198837787,0.8776888833027497,10.78962283225111,0.6816573044780192,0.06317712074610124,False,False,True,0.4098922952256009,0.28631535918419604,0.102,False,False,PC27-PC28,0.11276950271520941,0.013062579196756952,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,28,0.0035297435571280005,0.8812186268598777,10.107965527773091,0.2967860214957909,0.02936159810600151,False,False,True,0.3959444406981251,0.2518405492489042,0.092,False,False,PC27-PC28,0.11276950271520941,0.013062579196756952,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,29,0.00342610464538636,0.8846447315052641,9.8111795062773,0.5585405646219677,0.056928992509474245,False,False,True,0.42826964982125204,0.2962899062506,0.144,False,False,PC29-PC30,0.11159727510900944,0.013624181333999912,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,30,0.003231059959692485,0.8878757914649567,9.252638941655333,0.4954107836375652,0.05354264732056369,False,False,True,0.4096613407661908,0.3027632446186479,0.09,False,False,PC29-PC30,0.11159727510900944,0.013624181333999912,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,31,0.0030580604557990756,0.8909338519207557,8.757228158017767,0.38048914548229895,0.04344858197327408,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,32,0.0029251920654060613,0.8938590439861618,8.376739012535468,0.004146357475219631,0.0004949846794814505,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,33,0.0029237441401491447,0.896782788126311,8.372592655060249,0.47071971395824797,0.056221499522463116,False,False,False,nan,nan,nan,False,False,,nan,nan,False,nan,False,,nan,nan,,nan,nan,False,False,NOISE-LIKE / UNSTABLE,True
