model,block_type,start_component,end_component,bootstrap_replicates,median_min_canonical_correlation,min_canonical_correlation_q05,min_canonical_correlation_q95,median_mean_canonical_correlation,mean_canonical_correlation_q05,mean_canonical_correlation_q95,median_subspace_overlap,subspace_overlap_q05,subspace_overlap_q95,median_max_principal_angle_degrees,max_principal_angle_degrees_q05,max_principal_angle_degrees_q95,component_swap_frequency,block_escape_frequency,subspace_stable
Llama-3.3-70B,adjacent_pair,8,9,500,0.31980434815102465,0.028551162833566374,0.7053130989212706,0.5227093194307667,0.2910506229969645,0.7722185599065109,0.33125532162526194,0.11628045625299711,0.6108703172280968,71.34887385238687,45.14515522576696,88.36391614002031,0.11,0.748,False
Llama-3.3-70B,adjacent_pair,9,10,500,0.26209924177141586,0.022371453361984445,0.6279640923747514,0.4770549449315298,0.2510979833216219,0.709739670435858,0.30394478834820415,0.08966829175160768,0.5117973625499083,74.80530520487795,51.09992188599236,88.71810319242749,0.072,0.834,False
Llama-3.3-70B,adjacent_pair,10,11,500,0.2311394057602542,0.02655621726115072,0.5848166468791185,0.45116221908571064,0.23296768380544103,0.6834260697640698,0.2645014907502213,0.08509727480531547,0.4823728050170493,76.63583683977723,54.20991858590907,88.47826192437519,0.066,0.852,False
Llama-3.3-70B,adjacent_pair,11,12,500,0.20892647303162976,0.02177358386362499,0.564303418845045,0.4289215959035334,0.22063175239476263,0.6503847322751986,0.25109943434029564,0.07385371404611525,0.44915472335757856,77.94055138486117,55.64605741243039,88.75236693778963,0.048,0.868,False
Llama-3.3-70B,adjacent_pair,12,13,500,0.13283801328570982,0.009856713019695354,0.5204588471021556,0.37070817183013416,0.1702987316649377,0.6468255097010569,0.20229260945683297,0.03951335093073136,0.4372894534874199,82.36637820853592,58.63695838065995,89.43524279875352,0.046,0.922,False
Llama-3.3-70B,adjacent_pair,13,14,500,0.12262529278411174,0.010197273561336215,0.39924440274714346,0.3539451372309471,0.16599818132548338,0.5827832520348835,0.17231319636562004,0.03676677967907762,0.3737425866386045,82.95635996672175,66.46904628325841,89.41572913625531,0.024,0.948,False
Llama-3.3-70B,adjacent_pair,14,15,500,0.14947246969354805,0.014356647844232342,0.47925516855831507,0.3604287970116353,0.17346788669849708,0.5803608674737456,0.18068838490086356,0.043746907871488695,0.36806839095745464,81.40363924369348,61.36321136852643,89.17739640293817,0.028,0.92,False
Llama-3.3-70B,adjacent_pair,15,16,500,0.14928286051260353,0.01579450465106883,0.4660643189854532,0.35708515997298573,0.18741581073345834,0.5690484912556275,0.17146580295896796,0.04965065305246917,0.35587834108117655,81.41463042529335,62.220484495727064,89.09500390917601,0.026,0.922,False
Llama-3.3-70B,adjacent_pair,16,17,500,0.14344514234187272,0.01688967253583075,0.41097271358567156,0.3439559143783015,0.16453086854450097,0.5133520702518934,0.15705451579610313,0.03863822010361528,0.30855610430039637,81.75274881860159,65.7340228449863,89.03224703119336,0.022,0.962,False
Llama-3.3-70B,adjacent_pair,17,18,500,0.11586505995880433,0.009303244396051015,0.3613773158255728,0.29426096509693234,0.15251417742728515,0.481195100215551,0.11857261279775941,0.03041898216317219,0.2722342556271808,83.34647700326794,68.8151320593861,89.46695567006626,0.01,0.978,False
Llama-3.3-70B,adjacent_pair,18,19,500,0.12080730903515075,0.007997908030162393,0.36595616936252123,0.28407350916636354,0.13388796044517956,0.4791289754740387,0.11123370437975487,0.024204780209372365,0.2699009683496794,83.06130295800276,68.53352512819069,89.54174873599487,0.014,0.96,False
Llama-3.3-70B,adjacent_pair,19,20,500,0.1316665116576182,0.014308053309826357,0.37050013857267833,0.3021024072883926,0.15172879316099205,0.49634895826069403,0.1288841321814495,0.0314922840504097,0.2976158948615056,82.4340949132693,68.2535342483107,89.18018095559997,0.01,0.97,False
Llama-3.3-70B,adjacent_pair,20,21,500,0.1451967807671209,0.014168117549115981,0.38408816445705424,0.31402043945867386,0.16080972242950858,0.4979102900532828,0.1321148866597961,0.034525110363167716,0.27858643477326006,81.65132528653457,67.41285585780899,89.18819949967872,0.024,0.96,False
Llama-3.3-70B,adjacent_pair,21,22,500,0.1224307691988962,0.009898502485399726,0.3476641652591031,0.27965322430577566,0.13034881086197586,0.46244391997193823,0.10992565875990437,0.02405343692073263,0.24317055021787257,82.96758961870178,69.65548791839481,89.4328483153311,0.02,0.964,False
