pair,source_model,target_model,dimensions,variant,protocol,repeat_seed,fit_roles_only,coordinate_rmse,geometric_rmse,mean_aligned_coordinate_correlation,distance_matrix_correlation,nearest_neighbor_jaccard_k10,pc1_heldout_correlation,pc2_heldout_correlation,pc3_heldout_correlation,pc4_heldout_correlation,pc5_heldout_correlation,pc6_heldout_correlation
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7107,True,17.3169576545,42.4177101509,0.877648656708,0.85747623666,0.344855218272,0.967948238835,0.940968693365,0.923463459653,0.841108440597,0.902917489959,0.689485617839
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7108,True,17.2688447652,42.299858122,0.879822363006,0.858056373716,0.334278756862,0.967835085601,0.942791944478,0.921889296641,0.845593678581,0.904702190414,0.696121982321
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7109,True,17.2265839857,42.1963407762,0.878821965005,0.858466055258,0.336336078782,0.968040798547,0.942792641384,0.922346801078,0.846072013874,0.903650070843,0.690029464306
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,6,raw_pc_scores,qwen_canonical_role_family_holdout,,True,21.1657919215,51.8453902096,0.858556979232,0.868096154028,0.380221207319,0.981011349993,0.95071631396,0.908486834973,0.824042891391,0.840035481735,0.647049003342
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7100,True,307.159145083,752.383175283,0.805245550488,0.904048001032,0.303071061909,0.976684064408,0.962259076991,0.928118953162,0.817612336425,0.826505783593,0.320293088349
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7101,True,307.530004164,753.291590798,0.808982876162,0.903949743573,0.305645460334,0.976629450518,0.960776886191,0.927269387787,0.818286807154,0.83378608285,0.337148642474
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7102,True,306.306438209,750.294478542,0.808596888308,0.903976414518,0.311050241312,0.976533446455,0.962761984366,0.927334621403,0.820485273036,0.828690730153,0.335775274435
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7103,True,306.985589265,751.958052086,0.810048160859,0.903418644439,0.307020524586,0.976130422099,0.961429650818,0.926981475401,0.820417444275,0.836445211201,0.338884761358
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7104,True,306.501468397,750.772202986,0.811927469224,0.903921823817,0.308135857638,0.976569631327,0.962291824714,0.929465345321,0.82086778286,0.836212823953,0.346157407168
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7105,True,306.997524795,751.987288045,0.81160223895,0.903560612479,0.301844694693,0.976558038696,0.961832798256,0.928878651649,0.815327323235,0.836131628772,0.350884993091
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7106,True,306.262939706,750.187929404,0.811950782902,0.904081980827,0.309388885812,0.976457995032,0.961868053178,0.930303785201,0.822556755599,0.834238307952,0.346279800452
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7107,True,307.9150529,754.234763727,0.80907424176,0.903888360572,0.315687344835,0.976284997655,0.962009996575,0.929535979209,0.81792184072,0.828831614353,0.339861022051
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7108,True,306.955516668,751.88438957,0.809837859664,0.903432717583,0.305875830396,0.976459350119,0.960994036723,0.927356039949,0.820734079994,0.833414927904,0.340068723294
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,6,raw_pc_scores,repeated_5fold,7109,True,306.394239801,750.50954764,0.80478862883,0.903131091733,0.305996949231,0.975940620435,0.961479150446,0.928627364263,0.81834904195,0.822105241109,0.322230354775
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,6,raw_pc_scores,qwen_canonical_role_family_holdout,,True,364.42708575,892.660408537,0.781697611624,0.930057333614,0.339571884787,0.986481018119,0.966027870777,0.896001850179,0.792620562203,0.772611743994,0.276442624473
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,6,raw_pc_scores,repeated_5fold,7100,True,322.612417286,790.235807036,0.90538238212,0.932221574414,0.361817749439,0.959558423157,0.955791129628,0.9425877666,0.958133394136,0.868360830407,0.747862748792
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,6,raw_pc_scores,repeated_5fold,7101,True,323.030487867,791.259866636,0.910783068104,0.932758628523,0.357876391988,0.959733343264,0.958876290259,0.941033874831,0.956571960252,0.873251949463,0.775230990553
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,6,raw_pc_scores,repeated_5fold,7102,True,321.759666582,788.147002933,0.91017953951,0.933274837708,0.358203615504,0.960157292974,0.958039114585,0.941654059235,0.956728165514,0.874403419686,0.770095185067
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,6,raw_pc_scores,repeated_5fold,7103,True,322.458187164,789.858021934,0.904025381581,0.933443170564,0.364690377328,0.958484093883,0.95758397042,0.944457700387,0.958017262656,0.860803835318,0.744805426823
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,6,raw_pc_scores,repeated_5fold,7104,True,321.981873456,788.691296393,0.90968514419,0.932881111418,0.364685956693,0.959612466477,0.958376233782,0.942205783332,0.958389048144,0.869065583366,0.770461750041
gemma_to_llama,Gemma-2-27B,Llama-3.3-70B,6,raw_pc_scores,repeated_5fold,7105,True,322.496232789,789.951214302,0.908250219374,0.932890928059,0.363928410146,0.959726887039,0.95648180928,0.939218940641,0.957302660307,0.866426826421,0.770344192555
