model,model_key,role,trait,raw_cosine,within_model_z_score,within_model_percentile
Qwen/Qwen3-32B,qwen,infant,adventurous,-0.026708954026,0.497280970158,64.9635036496
Qwen/Qwen3-32B,qwen,influencer,adventurous,0.0209762271036,1.26073274321,89.4160583942
Qwen/Qwen3-32B,qwen,instructor,adventurous,-0.120364808291,-1.00217287067,18.9781021898
Qwen/Qwen3-32B,qwen,interpreter,adventurous,-0.102116602053,-0.710014487765,31.0218978102
Qwen/Qwen3-32B,qwen,interviewer,adventurous,-0.116030463028,-0.932778910164,21.5328467153
Qwen/Qwen3-32B,qwen,jester,adventurous,0.0472679721762,1.68167021093,96.7153284672
Qwen/Qwen3-32B,qwen,journalist,adventurous,-0.123901903311,-1.05880265378,17.8832116788
Qwen/Qwen3-32B,qwen,judge,adventurous,-0.167547092039,-1.75757312985,1.09489051095
Qwen/Qwen3-32B,qwen,lawyer,adventurous,-0.161618357591,-1.66265259648,2.9197080292
Qwen/Qwen3-32B,qwen,leviathan,adventurous,0.00930664371651,1.07389977086,85.401459854
Qwen/Qwen3-32B,qwen,librarian,adventurous,-0.134812934457,-1.2334910135,10.5839416058
Qwen/Qwen3-32B,qwen,linguist,adventurous,-0.119193121449,-0.98341386891,19.3430656934
Qwen/Qwen3-32B,qwen,loner,adventurous,-0.0431090253514,0.234711693184,56.9343065693
Qwen/Qwen3-32B,qwen,luddite,adventurous,-0.0162653208343,0.664486170776,68.6131386861
Qwen/Qwen3-32B,qwen,marketer,adventurous,-0.0786328465398,-0.334033640892,40.8759124088
Qwen/Qwen3-32B,qwen,martyr,adventurous,-0.0341734021194,0.377773274123,60.5839416058
Qwen/Qwen3-32B,qwen,mathematician,adventurous,-0.103262830308,-0.728365891144,29.9270072993
Qwen/Qwen3-32B,qwen,maverick,adventurous,0.0663005441862,1.98638648762,98.1751824818
Qwen/Qwen3-32B,qwen,mechanic,adventurous,-0.0650728904354,-0.116935324701,46.3503649635
Qwen/Qwen3-32B,qwen,mediator,adventurous,-0.132931236371,-1.2033645527,12.4087591241
Qwen/Qwen3-32B,qwen,mentor,adventurous,-0.0912171694709,-0.535511823984,36.1313868613
Qwen/Qwen3-32B,qwen,merchant,adventurous,-0.0800413476889,-0.356584099423,40.1459854015
Qwen/Qwen3-32B,qwen,minimalist,adventurous,-0.0618821447723,-0.0658506821328,47.8102189781
Qwen/Qwen3-32B,qwen,moderator,adventurous,-0.13515325828,-1.2389396837,9.48905109489
Qwen/Qwen3-32B,qwen,musician,adventurous,-0.0118239146853,0.735594203063,70.4379562044
Qwen/Qwen3-32B,qwen,mycorrhizal,adventurous,-0.032427194927,0.405730491557,61.6788321168
Qwen/Qwen3-32B,qwen,mystic,adventurous,-0.0016828375431,0.897955405044,78.102189781
Qwen/Qwen3-32B,qwen,narcissist,adventurous,0.0187781129962,1.22554038213,88.3211678832
Qwen/Qwen3-32B,qwen,narrator,adventurous,-0.00174098050971,0.897024521489,77.7372262774
Qwen/Qwen3-32B,qwen,naturalist,adventurous,-0.0912238505064,-0.535618789047,35.7664233577
Qwen/Qwen3-32B,qwen,navigator,adventurous,-0.0844278814866,-0.426813611529,38.3211678832
Qwen/Qwen3-32B,qwen,negotiator,adventurous,-0.116218987874,-0.935797240484,21.1678832117
Qwen/Qwen3-32B,qwen,networker,adventurous,-0.0782170355652,-0.327376402347,41.9708029197
Qwen/Qwen3-32B,qwen,newlywed,adventurous,-0.0518275002233,0.09512671224,54.0145985401
