persona,nearest_neighbor_distance,mean_5nn_distance,mean_5nn_distance_percentile,profile_pca_reconstruction_error,reconstruction_error_percentile,neighbor_1,neighbor_1_distance,neighbor_2,neighbor_2_distance,neighbor_3,neighbor_3_distance,neighbor_4,neighbor_4_distance,neighbor_5,neighbor_5_distance
blogger,5.097629280981478,5.8305582073368045,58.54545454545455,1.8419384505485161,13.090909090909092,celebrity,5.097629280981478,expatriate,5.692842497519476,chef,5.966795879519326,nomad,6.0753375402047896,musician,6.320185838458951
bohemian,10.143895739632102,12.243984943284108,97.0909090909091,3.111235852387911,68.0,trickster,10.143895739632102,dilettante,12.558238980327229,surfer,12.629005590777723,wanderer,12.914121386246343,improviser,12.974663019437134
builder,3.7878808422632737,4.553253333179381,36.36363636363637,3.0555290617994384,63.272727272727266,merchant,3.7878808422632737,witness,4.327155590470862,tulpa,4.3931302295971895,guide,5.096646055169655,scout,5.161453948395921
caregiver,6.7091201378669245,9.140354184596433,89.0909090909091,2.6829407347392036,51.63636363636363,counselor,6.7091201378669245,therapist,8.630378362484313,teacher,9.983392728617854,collaborator,10.001921118456673,optimist,10.376958575556403
cartographer,2.7029211893604574,3.181835662229135,9.818181818181818,1.339702940593318,1.8181818181818181,navigator,2.7029211893604574,archivist,2.797439696788307,conservator,3.406189394093724,biologist,3.477485783201198,chemist,3.52514224770199
caveman,16.779751851823516,20.400815934363447,100.0,5.1558454993231395,96.36363636363636,infant,16.779751851823516,toddler,17.886986929209534,fool,22.207075378903472,narcissist,22.427579319267704,luddite,22.70268619261302
celebrity,3.970375030824475,4.722701791092367,40.36363636363636,2.207724687562319,30.545454545454547,divorcee,3.970375030824475,retiree,4.624149146836973,orphan,4.68397322635076,blogger,5.097629280981478,addict,5.237382270468149
chameleon,6.650294861766941,7.438923006749438,78.9090909090909,3.037263754283762,62.18181818181818,retiree,6.650294861766941,bartender,6.853336255473202,chef,7.391917287002768,immigrant,8.008305337703339,expatriate,8.290761291800942
chef,2.04135900036832,4.484682429702578,33.81818181818182,2.6883511853902062,52.0,expatriate,2.04135900036832,presenter,4.028781658124035,immigrant,5.153220221382805,tulpa,5.2881151568360805,merchant,5.911936111801649
chemist,3.432499092351942,3.561170039247385,15.636363636363637,1.9878812701554043,18.545454545454547,linguist,3.432499092351942,cartographer,3.52514224770199,navigator,3.5569636870274453,biologist,3.6014786566215404,detective,3.6897665125340073
chimera,4.636160549150472,5.08540203255528,47.27272727272727,2.2797090885712383,34.54545454545455,flaneur,4.636160549150472,ancient,4.665661466411537,ghost,4.8373723519585345,echo,5.318584162542397,revenant,5.969231632713456
coach,3.1765379982020003,3.7430922171489143,20.0,2.553638144308314,46.18181818181818,mentor,3.1765379982020003,recruiter,3.3584396484836385,networker,3.9110388596171783,teacher,4.0826321795686304,interpreter,4.186812399873123
collaborator,3.16653281354002,4.736432161013122,41.090909090909086,2.426173161113658,41.81818181818181,facilitator,3.16653281354002,coach,4.670332161151541,nutritionist,5.230369148752202,teacher,5.270643671610092,tutor,5.344283010011754
collector,3.1801243479982038,3.7524572021077915,20.363636363636363,1.6482519601791101,8.0,archaeologist,3.1801243479982038,composer,3.643540888118272,naturalist,3.6954292108715143,curator,4.109662175625037,historian,4.133529387925927
comedian,5.910901666887736,9.577420939850947,90.9090909090909,4.37240496908641,90.54545454545455,gossip,5.910901666887736,smuggler,9.458191031646045,criminal,10.621583338515393,jester,10.924466925701772,daredevil,10.97196173650379
competitor,9.004036418682958,9.624339403216297,92.0,3.9490845731763162,84.72727272727273,hacker,9.004036418682958,criminal,9.208728402222597,vigilante,9.876125980854605,smuggler,9.9627768334844,daredevil,10.070029380836928
composer,2.27057306516872,3.9061485950761408,24.0,1.5712302434571626,6.181818181818182,naturalist,2.27057306516872,collector,3.643540888118272,cosmopolitan,4.196847835614321,hybrid,4.6984671788759576,ecosystem,4.721314007603433
conservator,0.9798548478921648,3.3576109083072487,11.636363636363637,2.6117062694360893,48.72727272727273,archivist,0.9798548478921648,cartographer,3.406189394093724,biologist,3.4525521146589773,anthropologist,4.386569954951422,navigator,4.562888229939957
consultant,1.827091102279074,2.498443640296361,2.181818181818182,1.5263422125211055,5.454545454545454,organizer,1.827091102279074,planner,1.8302102372488076,engineer,2.7030876655960316,evaluator,2.8092419347430204,researcher,3.3225872616148684
contrarian,5.753713092542964,7.264147081205911,76.0,3.2769335840296026,73.45454545454545,saboteur,5.753713092542964,vigilante,6.590117928322333,devils_advocate,7.817800298853212,fixer,7.954945428377294,revolutionary,8.20415865793375
coordinator,2.3348279941346606,3.1153418742047205,8.363636363636363,1.5196800912239075,5.090909090909091,negotiator,2.3348279941346606,publisher,2.3461409628093373,psychologist,3.054412995268608,organizer,3.8480389053697017,recruiter,3.9932885134412945
coral_reef,3.4390535332667724,4.43915279655757,33.45454545454545,3.5018011429752693,76.72727272727272,whale,3.4390535332667724,mycorrhizal,3.7578151169448915,wind,4.628316141414449,tree,4.7851158884182725,familiar,5.585463302743467
cosmopolitan,2.3135556574551925,3.9398012129345856,25.09090909090909,2.571955985137211,46.54545454545455,hybrid,2.3135556574551925,naturalist,3.801231622217609,photographer,3.962938897295437,composer,4.196847835614321,writer,5.424432052090369
counselor,2.629257658919297,5.7147021663063295,55.27272727272727,2.9142564160814746,57.81818181818181,therapist,2.629257658919297,collaborator,6.204207934835706,facilitator,6.376114798808378,moderator,6.654810301101338,caregiver,6.7091201378669245
criminal,3.1859340108201977,6.622073794323228,68.72727272727272,3.706634614592572,80.72727272727272,smuggler,3.1859340108201977,daredevil,6.389793101724548,prisoner,7.581121732913174,rogue,7.587994491252807,hacker,8.365525634905413
critic,3.315791552428301,4.57518282111478,37.81818181818182,1.421353012043192,3.6363636363636362,historian,3.315791552428301,polymath,3.589088345604274,collector,4.543481000154009,physicist,5.67545064585255,curator,5.752102561534762
crystalline,6.140026000607093,7.66178248825188,81.0909090909091,3.091508828285904,66.54545454545455,alien,6.140026000607093,swarm,7.100929178523692,hive,7.1867691979567185,homunculus,8.388087083187862,purist,9.493100980984037
curator,4.109662175625037,4.574216206219605,37.45454545454546,1.443622117260117,4.0,collector,4.109662175625037,naturalist,4.472047297563463,cartographer,4.5499225292424885,symbiont,4.781858080608358,guide,4.957590948058681
cyborg,4.080522219887772,5.06609317402039,46.54545454545455,2.9463284121403537,58.909090909090914,physicist,4.080522219887772,mathematician,4.301080856875095,historian,5.455241932110039,cartographer,5.499295990314033,scout,5.994324870915013
cynic,9.48182618903363,10.641774571745092,94.54545454545455,4.523134322659405,91.63636363636364,narcissist,9.48182618903363,competitor,10.27465098294033,criminal,10.314493962685955,smuggler,10.70568522545933,workaholic,12.432216498606211
daredevil,6.389793101724548,7.817953271365965,82.54545454545455,3.230929275037757,72.0,criminal,6.389793101724548,smuggler,7.2086074778771545,hacker,7.256251316491409,rogue,9.060169693560269,rebel,9.174944767176449
debugger,2.3278822505448735,3.2808427308495425,11.272727272727273,1.9429622985146977,16.0,statistician,2.3278822505448735,scheduler,2.908181500605268,journalist,3.4585323340373177,accountant,3.574484681222539,publisher,4.135132887837715
demon,5.9792732407304054,8.102671200521431,85.45454545454545,3.4795175860413714,76.0,vampire,5.9792732407304054,aberration,6.91122827602775,leviathan,8.981108078270227,genie,9.279149479252725,absurdist,9.362596928326049
