family,target,baseline_r2,candidate_r2,delta_r2
HEXACO:H:E:A,IPIPneo:A6:SY,0.1975583461306819,0.19770368096848678,0.000145334837804878
HEXACO:H:E:A,IPIPneo:C1:SE,0.337707668705878,0.3383166973815248,0.0006090286756468277
HEXACO:H:E:A,IPIPneo:C2:OR,0.13090407794205494,0.1287928367426857,-0.0021112411993692293
HEXACO:H:E:A,IPIPneo:C3:DU,0.2028142669598778,0.20202902495259645,-0.0007852420072813615
HEXACO:H:E:A,IPIPneo:C4:AS,0.2621363107567529,0.2617206521670178,-0.00041565858973513503
HEXACO:H:E:A,IPIPneo:C5:SD,0.31627141056904995,0.3171744236720929,0.0009030131030429711
HEXACO:H:E:A,IPIPneo:C6:CA,0.17177162190947504,0.17101595691015348,-0.0007556649993215592
HEXACO:H:E:A,IPIPneo:E1:FR,0.464533567387563,0.46437342620436683,-0.00016014118319618298
HEXACO:H:E:A,IPIPneo:E2:GR,0.27902320707885664,0.2791515197101988,0.00012831263134216453
HEXACO:H:E:A,IPIPneo:E3:AS,0.2324453152548268,0.23294262623331907,0.0004973109784922602
HEXACO:H:E:A,IPIPneo:E4:AL,0.11308097436790532,0.11298874699092365,-9.222737698166839e-05
HEXACO:H:E:A,IPIPneo:E5:ES,0.10186158083732977,0.10133223562987492,-0.0005293452074548455
HEXACO:H:E:A,IPIPneo:N1:ANX,0.2110155820203814,0.21182019567516575,0.0008046136547843474
HEXACO:H:E:A,IPIPneo:N4:SC,0.30871437898817244,0.3094988662857391,0.0007844872975666384
HEXACO:H:E:A,IPIPneo:N5:IM,0.11457224386382547,0.11440097178163344,-0.00017127208219203105
HEXACO:H:E:A,IPIPneo:O1:IM,0.12264888992016276,0.12068506730268869,-0.001963822617474076
HEXACO:H:E:A,IPIPneo:O2:AI,0.10853650686961636,0.1076690978050211,-0.0008674090645952592
HEXACO:H:E:A,IPIPneo:O3:EM,0.1857573816411251,0.18643425109419987,0.0006768694530747688
HEXACO:H:E:A,IPIPneo:O4:AD,0.1278684482165473,0.12817470743249648,0.0003062592159491784
HEXACO:H:E:A,IPIPneo:O5:IN,0.23894149575369705,0.23891267957483853,-2.8816178858526165e-05
HEXACO:H:E:A,IPIPneo:O6:LI,0.07717833234222127,0.07726060133073953,8.22689885182637e-05
HEXACO:H:E:A,MPQ:MPQ:AB,0.12567722958925842,0.1255317004451778,-0.0001455291440806139
HEXACO:H:E:A,MPQ:MPQ:AC,0.26863776291342845,0.2677217307039965,-0.0009160322094319273
HEXACO:H:E:A,MPQ:MPQ:AG,0.12090376736613428,0.12071047959108727,-0.000193287775047013
HEXACO:H:E:A,MPQ:MPQ:AL,0.3009458474425877,0.30095564246664586,9.795024058179003e-06
HEXACO:H:E:A,MPQ:MPQ:CO,0.2068767794494386,0.20655148303267523,-0.0003252964167633765
HEXACO:H:E:A,MPQ:MPQ:HA,0.1133822344468427,0.11337209210938903,-1.0142337453666883e-05
HEXACO:H:E:A,MPQ:MPQ:SC,0.35928056623115456,0.35953784912937414,0.0002572828982195796
HEXACO:H:E:A,MPQ:MPQ:SP,0.318387336141137,0.3178644892486625,-0.0005228468924745044
HEXACO:H:E:A,MPQ:MPQ:TR,0.0912678673106333,0.09057413818590754,-0.0006937291247257615
HEXACO:H:E:A,MPQ:MPQ:UV,0.12192667155283854,0.12252453888759485,0.0005978673347563079
HEXACO:H:E:A,PS:PS:P,0.29617585159574444,0.29650767854890614,0.00033182695316169575
HEXACO:H:E:A,QB6:QB6:A,0.1547511416134263,0.15342857985568936,-0.0013225617577369286
HEXACO:H:E:A,QB6:QB6:C,0.2880013064446012,0.28665380604980706,-0.0013475003947941433
HEXACO:H:E:A,QB6:QB6:H,0.08561940155417092,0.08531489200387177,-0.00030450955029914795
HEXACO:H:E:A,QB6:QB6:O,0.15143966040127266,0.1508712032012821,-0.0005684571999905463
HEXACO:H:E:A,QB6:QB6:X,0.2235785378398859,0.22300795642717064,-0.0005705814127152653
HEXACO:H:X:L,BFAS:BFAS:A:C,0.2752415204521521,0.2736524484965219,-0.0015890719556301836
HEXACO:H:X:L,BFAS:BFAS:A:P,0.13728131607445693,0.1358143594255502,-0.0014669566489067254
HEXACO:H:X:L,BFAS:BFAS:C:I,0.27240724578999154,0.2753260814470011,0.0029188356570095664
HEXACO:H:X:L,BFAS:BFAS:C:O,0.1802797798388266,0.18027709494860467,-2.68489022192675e-06
HEXACO:H:X:L,BFAS:BFAS:E:A,0.29742663863956864,0.2996622985439341,0.0022356599043654724
HEXACO:H:X:L,BFAS:BFAS:N:V,0.2220636365578451,0.22841105317408128,0.006347416616236168
HEXACO:H:X:L,BFAS:BFAS:O:I,0.22619625289866152,0.22717414669602864,0.0009778937973671242
HEXACO:H:X:L,BFAS:BFAS:O:O,0.10948438645703873,0.10883819569057063,-0.0006461907664681021
HEXACO:H:X:L,EPQr:EPQ:E,0.27248820570127386,0.282644070509509,0.01015586480823516
HEXACO:H:X:L,EPQr:EPQ:P,0.10918889288382172,0.10895021935200722,-0.0002386735318145039
HEXACO:H:X:L,HEXACO:H:A:FL,0.1375707921994529,0.13666081822782583,-0.000909973971627065
HEXACO:H:X:L,HEXACO:H:A:FO,0.13812147068819935,0.1367089744308413,-0.0014124962573580646
HEXACO:H:X:L,HEXACO:H:A:G,0.17446791762969982,0.17413414856559584,-0.00033376906410398366
HEXACO:H:X:L,HEXACO:H:A:P,0.27481013792268094,0.27559945187636226,0.0007893139536813143
HEXACO:H:X:L,HEXACO:H:C:D,0.2785292149075048,0.28745252256185794,0.008923307654353119
HEXACO:H:X:L,HEXACO:H:C:O,0.22200936290656825,0.22243592718544558,0.0004265642788773283
HEXACO:H:X:L,HEXACO:H:C:PE,0.12335784611714795,0.12260827961845155,-0.0007495664986963968
HEXACO:H:X:L,HEXACO:H:C:PR,0.18559993815070053,0.1856352798687585,3.5341718057968485e-05
HEXACO:H:X:L,HEXACO:H:E:D,0.13759616213087955,0.13873742246860377,0.0011412603377242148
HEXACO:H:X:L,HEXACO:H:E:F,0.10693958776230739,0.11244557798321808,0.005505990220910695
