persona,activation_cluster,bigfive_residual,svd0,svd1,svd2,svd3,svd4,svd5,svd6,svd7,svd8,svd9,svd10,svd11,svd12,svd13,svd14
musician,grounded_social,32.38,0.22564,-0.06545,0.05646,0.05692,-0.08433,0.01525,0.03405,-0.02345,0.07457,-0.06128,-0.07016,0.03473,-0.20004,0.09388,-0.07151
mycorrhizal,mythic_spiritual,16.11,0.23537,-0.15441,0.23695,-0.0701,-0.09987,-0.05355,0.07283,-0.00918,-0.14928,-0.02024,-0.04915,-0.06729,0.08785,-0.05884,-0.063
mystic,mythic_spiritual,29.49,0.21777,-0.01893,0.04378,-7e-05,0.17402,0.20802,0.07615,0.11663,0.07574,0.05176,-0.06952,-0.01269,-0.00354,0.01397,0.1451
narcissist,grounded_social,19.54,0.19287,-0.09787,-0.17173,0.13545,0.03832,0.02953,0.02453,0.05023,-0.00758,0.02461,0.04091,-0.04151,0.11599,0.1123,-0.07204
narrator,mythic_spiritual,15.31,0.14695,0.09117,-0.03268,0.03063,-0.1485,0.16503,-0.07939,-0.09367,0.10471,0.05849,-0.24173,0.07905,0.07545,0.06639,-0.02548
naturalist,procedural_professional,30.08,0.19149,0.02226,0.01101,-0.16798,0.16294,0.09831,0.0854,-0.0235,0.07076,0.05221,-0.02299,0.04866,0.03393,-0.10538,-0.00553
navigator,procedural_professional,14.35,0.25714,0.2277,0.00756,-0.10639,-0.01139,-0.04918,0.01539,0.15068,0.07209,0.01976,-0.03512,-0.07373,-0.0166,-0.07615,0.06913
negotiator,procedural_professional,9.79,0.25281,0.08587,-0.0033,0.09386,-0.25272,-0.12614,0.07946,0.0525,0.02815,0.14428,0.23343,-0.11245,0.01775,-0.06486,-0.06074
networker,procedural_professional,11.74,0.21487,0.1804,-0.04722,-0.05703,-0.13611,0.01091,0.16857,-0.01539,0.03285,0.12576,0.13934,0.00928,0.06378,-0.04482,-0.09245
newlywed,grounded_social,34.2,0.22072,-0.13536,-0.23652,-0.13495,-0.03042,0.15752,-0.01462,-0.04227,-0.23226,-0.06841,-0.03161,-0.14248,0.13775,0.08303,-0.14987
nomad,grounded_social,28.79,0.18317,-0.06343,-0.07484,-0.05613,-0.05489,-0.00038,-0.00059,0.00628,0.09651,0.0392,0.11434,0.12804,-0.00328,-0.0599,-0.04931
novelist,grounded_social,8.74,0.24032,0.21729,0.02588,-0.10532,-0.09227,0.14812,0.11141,-0.10768,0.10485,-0.05824,-0.15814,0.09483,-0.04693,0.09286,-0.01249
nutritionist,editorial,0.0,0.22503,0.1693,-0.02693,-0.07244,0.1104,-0.0236,0.15887,0.25724,0.01463,-0.05201,0.06914,-0.12763,-0.04007,-0.03914,-0.03672
observer,procedural_professional,10.96,0.13811,0.03455,-0.05593,0.0559,0.02098,-0.12039,-0.21154,-0.01505,0.06399,0.04556,-0.05718,0.123,0.13145,-0.00607,-0.06887
optimist,grounded_social,37.34,0.18081,-0.0237,-0.045,0.26416,-0.03137,0.04202,0.043,0.02266,0.04519,-0.06196,0.05812,-0.02512,0.00428,-0.19609,-0.10535
oracle,mythic_spiritual,0.0,0.17458,-0.03795,0.00226,0.05669,0.03952,0.01369,-0.05934,0.00774,0.04603,0.04594,-0.11153,-0.10089,0.11755,-0.01094,0.06107
organizer,procedural_professional,14.7,0.19838,0.23789,0.04359,0.01808,-0.13179,0.04199,0.00704,-0.08872,-0.04633,-0.18676,0.05645,0.00166,-0.02693,0.00342,0.02458
orphan,grounded_social,0.0,0.26578,-0.17395,-0.20471,-0.08748,-0.04678,0.0247,-0.07538,0.00011,0.10465,-0.02627,0.14935,-0.00527,-0.00931,0.1075,0.05074
pacifist,procedural_professional,0.0,0.23631,-0.09565,-0.05073,0.22257,0.08623,-0.16365,0.16556,-0.07717,-0.05797,-0.05965,0.03275,0.06379,-0.0434,0.07674,-0.06176
paramedic,procedural_professional,12.05,0.19665,0.11151,-0.12603,-0.07519,0.00815,-0.14107,-0.07954,0.11231,-0.03694,0.00229,-0.10378,-0.144,-0.01593,-0.00599,0.01222
parasite,mythic_spiritual,36.49,0.18822,-0.137,-0.00729,-0.01746,-0.08461,-0.01453,-0.0042,0.04084,-0.05216,-0.05741,0.05486,0.11051,0.07317,-0.02496,-0.04308
parent,grounded_social,31.07,0.20679,-0.13293,-0.29096,-0.22866,-0.01988,0.07109,-0.01319,-0.02619,-0.02858,-0.02661,-0.00893,-0.03975,0.07396,0.01076,-0.07847
patient,grounded_social,19.96,0.25102,-0.17763,-0.282,-0.20387,-0.00372,-0.07999,-0.03241,-0.01676,-0.08142,-0.02591,-0.06456,-0.15065,-0.05348,0.0789,0.05114
peacekeeper,procedural_professional,0.0,0.21969,0.06861,-0.00554,0.16812,-0.14538,-0.09196,0.16686,-0.0124,-0.08022,0.12969,0.18322,0.0137,-0.00404,0.09493,-0.04063
perfectionist,procedural_professional,0.0,0.20106,-0.06948,-0.07597,0.10309,0.06494,-0.19753,-0.09193,0.01411,-0.04582,0.0006,-0.08126,0.19979,0.00539,0.00193,-0.17256
pharmacist,editorial,17.17,0.23522,0.23162,0.02057,-0.0943,0.18084,-0.05235,0.09253,0.12752,0.02779,-0.07553,-0.01932,0.02146,-0.01654,0.10279,0.04531
philosopher,procedural_professional,10.21,0.2013,-0.02906,0.12712,0.02833,0.17983,0.11319,0.00573,-0.00058,0.05717,0.04839,-0.00974,-0.02183,0.10568,-0.03702,0.00253
photographer,grounded_social,18.5,0.24013,-0.06612,-0.00954,0.05404,-0.04173,0.10604,-0.06738,-0.05856,0.12463,0.05569,-0.16104,0.00279,-0.05033,-0.03084,-0.14274
physicist,procedural_professional,10.32,0.24964,0.14531,0.11596,0.00203,0.18882,0.12419,0.0553,-0.11611,0.04768,-0.04329,0.10022,-0.05469,-0.0389,0.03553,-0.02851
pilgrim,mythic_spiritual,22.28,0.21529,-0.13644,-0.06856,0.06217,0.08085,0.17219,-0.02347,0.04808,0.02418,0.06826,-0.05095,-0.00447,-0.04615,-0.0784,0.01529
pilot,procedural_professional,8.18,0.26073,0.16783,-0.03654,-0.19108,0.09004,-0.07996,-0.00878,0.08655,0.02845,-0.0123,-0.04541,-0.01456,-0.04138,-0.07095,0.05649
pirate,trickster_chaos,40.13,0.25828,-0.20071,-0.02612,0.06818,-0.00891,-0.07514,-0.03422,-0.03822,0.1869,-0.11683,0.10001,0.01134,-0.02072,-0.03911,-0.1055
planner,procedural_professional,5.73,0.18011,0.23692,-0.04395,0.08881,-0.17165,0.08721,-0.00543,-0.02982,-0.10506,-0.28224,0.06965,0.07243,0.02533,-0.00585,0.10483
playwright,grounded_social,12.42,0.22462,0.19263,-0.00394,-0.04969,-0.14132,0.16862,0.08401,-0.10529,0.05904,-0.06264,-0.08293,0.12324,0.06006,0.10187,-0.03703
podcaster,grounded_social,16.89,0.18869,0.19878,0.00197,0.0616,-0.19623,0.20303,-0.02253,-0.10584,-0.02319,0.0395,-0.13795,0.10163,0.06179,0.00502,0.02338
poet,mythic_spiritual,0.0,0.18753,-0.01126,0.03635,0.05406,0.0924,0.21355,-0.02209,-0.05791,0.1309,0.00405,-0.12311,0.02946,-0.07439,-0.10208,-0.15844
polymath,procedural_professional,0.0,0.19372,0.06874,0.0936,-0.06114,0.13455,0.0854,-0.12157,-0.06121,-0.12497,0.13892,0.13494,0.09051,-0.07997,-0.05688,0.03671
pragmatist,procedural_professional,15.48,0.13157,0.04921,-0.02856,0.17819,0.06635,-0.02548,-0.0073,-0.00759,-0.03888,-0.21004,0.15628,-0.03221,-0.02472,-0.1714,-0.10364
predator,mythic_spiritual,24.92,0.1535,-0.0274,-0.03676,0.06765,0.03079,-0.0177,-0.05559,0.02071,0.04723,0.01534,-0.04341,0.02368,-0.0282,-0.02686,-0.05687
presenter,procedural_professional,26.32,0.15741,0.16171,0.01059,0.04967,-0.1668,0.11195,-0.01348,-0.11865,-0.02477,0.15729,-0.04871,0.07766,-0.07854,0.10042,0.01351
prey,grounded_social,26.43,0.2385,-0.17947,0.06114,0.09377,-0.01985,-0.09286,-0.00824,0.00676,0.15387,-0.13024,0.06272,-0.01058,-0.07663,0.0724,-0.146
prisoner,grounded_social,17.41,0.28509,-0.22758,-0.1866,-0.21023,-0.0344,-0.02063,-0.03207,-0.07704,0.07585,-0.04439,0.03681,0.02485,-0.06279,-0.00486,0.0904
procrastinator,other,68.0,0.23398,-0.17657,-0.02953,0.06,-0.04372,-0.19133,-0.07256,-0.0391,0.16845,-0.09893,0.11222,0.08672,-0.03671,0.05773,-0.05813
prodigy,procedural_professional,24.87,0.20006,-0.03463,0.06399,-0.01504,0.05283,0.06142,-0.10418,-0.03664,-0.11763,0.12085,-0.0381,0.00269,-0.15747,-0.05164,0.03751
producer,procedural_professional,14.47,0.23624,0.18045,-0.05539,-0.03453,-0.18672,-0.10817,-0.07366,0.1314,-0.01718,-0.04207,-0.15102,0.10195,0.05988,-0.14092,0.08423
programmer,procedural_professional,9.85,0.23033,0.09556,-0.06137,-0.02607,0.03046,0.01663,0.03796,-0.10095,-0.00906,0.00384,-0.04326,-0.20305,-0.03416,0.03191,0.03923
proofreader,editorial,23.45,0.16465,0.13395,-0.02519,0.04349,-0.02694,-0.11964,-0.18173,0.03886,0.00903,0.00984,-0.11915,0.1323,0.06182,0.09612,-0.08275
prophet,mythic_spiritual,0.0,0.21171,-0.11847,-0.04742,0.0834,0.04133,0.02224,-0.07827,0.04946,0.0847,0.05631,-0.06416,-0.08215,0.16372,0.02437,0.13055
provincial,grounded_social,14.12,0.27142,-0.2108,-0.0211,-0.03597,0.02597,-0.1104,0.04226,-0.10326,-0.11623,0.13404,0.03359,0.0381,-0.08027,-0.11573,0.14813
provocateur,combative_iconoclast,14.01,0.203,-0.07138,-0.04302,0.21224,0.00171,-0.09091,0.02997,-0.0536,0.11315,-0.01888,-0.01553,-0.04245,0.0403,-0.09241,0.15133
psychologist,procedural_professional,18.09,0.21004,0.14564,0.09977,-0.04627,0.13445,-0.02655,-0.02823,0.0062,-0.01796,0.09542,0.04279,-0.03039,0.11066,-0.0622,-0.02537
publisher,procedural_professional,20.66,0.20106,0.09682,-0.04248,-0.0491,-0.15627,-0.12183,-0.04995,0.11655,-0.02582,-0.00529,-0.14335,0.07731,0.03644,-0.06863,0.10444
purist,procedural_professional,30.46,0.19317,-0.07532,-0.00532,0.14087,0.16925,-0.1398,0.20751,-0.05182,-0.1074,-0.00053,-0.12572,0.20545,-0.01448,0.06842,0.01109
realist,procedural_professional,20.75,0.1599,-0.04549,-0.03587,0.24956,-0.01023,0.03965,-0.03235,0.06079,0.00952,0.03992,0.03702,-0.09538,-0.02319,-0.12401,0.04148
rebel,combative_iconoclast,0.0,0.20932,-0.14211,-0.00143,0.21494,-0.00443,-0.12777,0.1006,-0.11186,0.04484,-0.02858,-0.07105,-0.04755,-0.01906,-0.09872,0.16098
recruiter,procedural_professional,8.78,0.23223,0.20303,-0.09619,-0.02438,-0.11223,-0.08155,-0.11098,0.05195,0.05614,0.06379,-0.01555,-0.03464,0.10594,-0.08934,-0.03771
refugee,grounded_social,19.31,0.25188,-0.21274,-0.26424,-0.1884,-0.06229,-0.02613,-0.05741,-0.14639,-0.13414,-0.07265,0.09908,-0.02276,0.00479,0.04566,0.09045
reporter,procedural_professional,0.0,0.24984,0.09384,-0.08241,0.0067,-0.08085,-0.10915,-0.12886,-0.08222,0.10891,0.03691,-0.21074,-0.10243,0.10989,0.14199,-0.05894
researcher,procedural_professional,11.58,0.23141,0.22975,0.0777,-0.05853,0.19848,-0.1113,-0.22246,-0.05811,-0.10764,0.04624,0.07835,-0.08354,-0.06316,-0.11146,-0.08207
retiree,grounded_social,21.76,0.1652,-0.12497,-0.20176,-0.0769,-0.04317,0.10227,-0.07765,-0.03894,-0.08889,-0.04961,0.08449,0.00014,0.14184,0.03282,-0.0017
revenant,mythic_spiritual,0.0,0.2466,-0.21555,0.0424,-0.04205,-0.05026,-0.02827,-0.05372,0.02466,-0.00717,0.01436,0.06841,0.11936,0.05418,0.029,0.01853
reviewer,procedural_professional,15.4,0.19472,0.15988,-0.02832,0.05092,0.04914,-0.1605,-0.22593,0.21702,-0.06702,0.0279,0.00529,0.10094,0.03179,0.06439,-0.0435
revolutionary,combative_iconoclast,30.1,0.21623,-0.06971,0.00139,0.20747,0.05743,-0.09926,0.25621,-0.08512,-0.11939,-0.11923,-0.10578,0.06888,0.01549,0.0751,0.11551
robot,procedural_professional,44.35,0.13955,0.03023,0.04893,-0.00853,0.08848,-0.0058,-0.01625,-0.04388,-0.07296,-0.05803,-0.06236,-0.08898,-0.03361,-0.03006,-0.00734
rogue,trickster_chaos,24.06,0.2228,-0.00894,0.05751,0.10989,-0.08091,-0.05888,0.03854,-0.12026,0.05851,-0.0879,0.01103,-0.17139,-0.06221,-0.03831,0.09334
romantic,grounded_social,29.27,0.25261,-0.14736,0.01519,0.0904,0.04529,0.04917,0.09163,-0.08203,0.0502,0.083,-0.0851,0.03836,0.017,-0.12162,-0.13121
saboteur,combative_iconoclast,0.0,0.25953,0.11178,0.02544,-0.05971,-0.08799,-0.09821,0.03989,0.01582,0.04619,-0.07232,-0.09392,-0.02271,-0.07524,0.01928,0.01757
sage,mythic_spiritual,37.42,0.19315,-0.01961,0.01432,0.05932,0.09801,0.19694,-0.09314,0.15141,0.08186,0.09668,0.03823,0.04082,0.0792,-0.12255,0.10095
scheduler,procedural_professional,28.48,0.15536,0.19903,-0.05246,-0.02644,-0.16313,-0.12583,-0.04798,0.08103,-0.06066,-0.06057,-0.07358,0.06971,0.08989,-0.09933,0.07031
scholar,procedural_professional,0.0,0.2293,0.08378,0.02178,0.04663,0.31045,0.08932,-0.04265,-0.1214,-0.06763,-0.0418,0.01299,0.01565,-0.04098,0.01053,-0.01793
scientist,procedural_professional,13.57,0.19579,0.12679,0.08278,0.04208,0.35474,0.00058,-0.11571,-0.12177,-0.08802,-0.03502,0.07835,-0.05224,-0.06545,-0.10233,-0.03757
scout,procedural_professional,15.37,0.2048,0.06401,-0.01891,0.04541,-0.09621,-0.02969,-0.02826,-0.0096,0.02225,-0.0368,-0.03999,-0.07011,0.00715,-0.00161,0.01389
screener,editorial,10.53,0.12403,0.06436,-0.03735,0.10863,0.06885,-0.21935,-0.16958,0.10908,-0.0773,-0.01118,-0.09293,0.10298,0.02933,-0.03706,-0.02041
secretary,editorial,17.66,0.13781,0.09533,-0.06328,0.03702,-0.06833,-0.11961,-0.00278,0.04421,-0.10164,0.00827,-0.02545,0.10129,0.09091,-0.02939,-0.04997
shaman,mythic_spiritual,16.02,0.20607,-0.00735,0.03747,-0.01594,0.17896,0.15339,0.13343,0.15799,0.05998,0.03905,-0.09287,-0.03952,-0.02808,0.04518,0.12197
shapeshifter,grounded_social,16.38,0.20437,-0.02072,0.05166,-0.00392,-0.07733,0.07564,0.02135,0.04467,0.03324,0.16328,0.00859,0.03411,-0.21998,0.02268,-0.08294
simulacrum,mythic_spiritual,16.39,0.1742,-0.08744,0.05272,0.1169,0.04357,-0.06382,0.04715,-0.02936,0.02381,0.05436,-0.00424,0.12191,0.08227,-0.03796,-0.10845
skeptic,procedural_professional,22.98,0.12461,0.04751,0.00463,0.08435,0.13034,-0.03491,-0.15184,-0.02267,0.03561,0.04767,-0.03584,-0.01301,0.00423,-0.1446,-0.02961
smuggler,grounded_social,50.96,0.21981,0.10437,0.00781,-0.17807,0.0492,-0.06519,0.15548,0.16349,0.10092,-0.04508,-0.15241,-0.09373,-0.03964,-0.16473,0.01143
sociologist,procedural_professional,0.0,0.17616,0.0646,0.05688,-0.09422,0.13721,-0.01906,0.15622,-0.08353,-0.01167,0.09608,-0.01146,0.10456,0.20811,-0.12638,0.05835
soldier,grounded_social,0.0,0.23078,-0.04968,-0.10038,-0.18118,0.03959,-0.06386,-0.03028,0.00906,0.14109,-0.03647,0.09756,0.1632,-0.17263,-0.00823,0.12887
sommelier,procedural_professional,17.04,0.25951,0.11104,-0.05284,-0.06429,0.05857,0.02908,0.15903,0.19515,0.12936,0.02602,-0.09632,0.02719,-0.15666,0.04871,-0.00647
specialist,procedural_professional,27.02,0.22131,-0.00054,0.00329,-0.0832,0.12467,0.16927,-0.09984,-0.00936,-0.03237,0.02507,0.05952,0.08974,-0.09183,-0.03368,-0.09081
spirit,mythic_spiritual,0.0,0.2714,-0.27936,0.19339,-0.02455,-0.04719,0.00909,-0.10825,0.13499,0.00812,-0.04927,0.08492,-0.04306,0.0227,0.07576,0.13719
spy,procedural_professional,24.2,0.25067,-0.02451,0.07975,-0.0143,-0.0844,-0.144,-0.07194,-0.093,0.08533,-0.09845,-0.04909,-0.2256,-0.07869,0.0736,-0.0224
statistician,procedural_professional,10.69,0.22034,0.26267,0.12821,-0.02918,0.09987,0.04977,-0.07915,-0.22137,0.00823,-0.00492,0.07029,-0.11066,0.07687,0.04237,-0.01393
stoic,mythic_spiritual,29.66,0.20975,-0.13849,-0.07901,0.09202,0.0354,-0.09851,-0.01807,-0.03012,0.04185,-0.02392,0.14064,0.05667,-0.02312,-0.08768,-0.06486
strategist,procedural_professional,0.0,0.22703,0.24285,0.0023,0.09779,-0.11186,0.09625,0.0181,-0.08753,-0.05545,-0.26756,0.14335,0.01627,0.03352,-0.0146,0.06273
student,editorial,40.74,0.20778,-0.02489,-0.08707,0.04696,0.15313,0.10426,-0.02468,-0.03579,-0.19461,0.05526,-0.07913,-0.02598,-0.10557,-0.04311,-0.11492
summarizer,editorial,25.27,0.20773,0.18412,0.05756,0.07137,-0.126,0.07691,-0.10783,-0.12756,-0.01591,-0.07392,0.00128,0.00433,-0.03667,0.06684,0.00022
supervisor,editorial,14.06,0.15669,0.07723,-0.06153,-0.02603,-0.05216,-0.1753,-0.06837,0.11472,-0.09527,-0.06586,-0.12473,0.1308,-0.02781,-0.07911,0.1305
surfer,grounded_social,19.46,0.17256,-0.11634,0.0308,-0.03841,0.01618,0.08017,0.05714,-0.00464,0.13104,-0.01875,0.00959,0.07261,-0.03202,-0.05633,-0.04578
survivor,grounded_social,14.36,0.21358,-0.14915,-0.09258,0.04444,0.01642,0.08005,-0.12235,0.05558,0.16776,-0.04526,0.19854,0.04846,0.0562,0.03243,0.06606
swarm,procedural_professional,39.46,0.19191,-0.15053,0.25469,-0.04335,-0.12905,-0.05169,-0.00547,-0.00983,-0.29086,-0.03231,-0.09065,-0.10101,0.04777,-0.04292,0.01957
symbiont,procedural_professional,12.97,0.16967,-0.05277,0.02831,0.06825,-0.07961,-0.01124,0.13808,0.07909,-0.03529,-0.01058,0.05621,-0.03131,0.10847,-0.11607,-0.20876
synthesizer,procedural_professional,15.03,0.2111,0.17354,0.08426,0.03135,-0.17407,0.06932,-0.03274,-0.11939,-0.01018,0.0813,0.03423,-0.13926,-0.05564,0.14374,-0.01644
teacher,procedural_professional,15.3,0.13515,0.12516,-0.02228,0.14182,-0.01607,0.25843,-0.13611,-0.01491,-0.22614,-0.1097,-0.03165,0.15333,-0.19432,-0.07113,0.04344
technologist,procedural_professional,20.91,0.1917,0.05366,-0.07263,0.12375,0.07817,0.03303,0.07772,-0.12776,0.01105,-0.02092,0.04785,-0.09258,0.13395,0.01505,0.03458
teenager,other,53.06,0.21567,-0.16247,-0.27293,-0.19781,0.0253,-0.02718,0.01258,-0.11728,-0.15519,0.06203,-0.1509,-0.20511,0.06987,-0.07778,-0.07607
theorist,procedural_professional,16.97,0.19471,0.21855,0.11542,-0.00188,-0.07678,0.10986,-0.01645,-0.12938,-0.01252,-0.03453,0.06322,-0.03161,-0.00834,0.06008,0.0303
therapist,procedural_professional,14.63,0.19481,0.0965,-0.07156,0.13972,0.01967,0.12987,0.00275,0.24557,-0.121,0.04342,0.04745,-0.15382,0.06738,0.01925,-0.03511
toddler,other,59.77,0.15042,-0.07747,-0.05246,0.083,0.03366,0.08488,-0.03578,-0.07197,0.0302,0.00123,-0.09959,-0.05512,-0.02211,-0.07887,-0.12848
traditionalist,procedural_professional,31.09,0.2055,-0.09983,-0.05315,0.06569,0.17906,-0.1245,0.13746,-0.13447,-0.06057,-0.01863,-0.06721,0.14573,0.0304,-0.06009,0.14295
trainer,procedural_professional,11.78,0.13914,0.12997,-0.04277,0.09216,-0.03788,0.19559,-0.08401,0.06439,-0.13527,-0.30813,0.0406,0.10946,-0.10818,-0.07139,0.02187
translator,editorial,16.71,0.27812,0.14416,0.04226,-0.12445,-0.02918,-0.05485,0.11152,-0.10244,-0.00165,0.22201,0.04419,0.03256,-0.10159,0.12717,-0.0076
tree,mythic_spiritual,24.39,0.22781,-0.1466,0.16595,-0.07884,-0.06976,0.0272,0.00438,0.00669,-0.03553,-0.1092,-0.07254,-0.07072,0.04544,-0.07552,-0.0338
trickster,trickster_chaos,28.49,0.16632,-0.01212,-0.01279,0.19095,-0.02561,0.09404,-0.07301,0.02336,0.08995,0.10897,-0.10826,-0.1257,0.03091,-0.02915,0.14698
tulpa,grounded_social,0.0,0.18281,-0.14385,0.05994,-0.05987,-0.06996,0.11632,-0.04447,0.14009,-0.12454,-0.00682,-0.00292,-0.04599,0.01094,0.09618,-0.02984
tutor,procedural_professional,0.0,0.20774,0.15062,-0.02837,0.15093,0.00902,0.24353,-0.11376,0.02605,-0.18319,-0.14123,-0.00079,0.07141,-0.12145,-0.04737,0.10556
validator,procedural_professional,6.87,0.21417,0.18672,0.05005,0.00726,0.12263,-0.12647,-0.12739,0.01379,-0.00042,-0.00996,-0.01605,0.03356,0.04545,0.11326,-0.10105
vampire,mythic_spiritual,32.23,0.21875,-0.16488,0.02094,-0.04184,-0.03102,0.06314,-0.05382,0.02827,0.07232,-0.01327,0.02812,0.07862,0.14501,0.05513,-0.02659
vegan,procedural_professional,0.0,0.18444,-0.06104,-0.12428,0.04151,0.19098,-0.07038,0.09895,-0.02118,-0.07254,-0.03317,-0.10444,-0.08573,0.06363,0.00522,-0.08351
veteran,grounded_social,27.85,0.25797,-0.11873,-0.15213,-0.17327,0.02628,-0.0171,-0.09423,0.02795,0.1461,0.00097,0.15446,0.11908,-0.12831,-0.03568,0.19705
veterinarian,procedural_professional,12.94,0.25155,0.05227,-0.1723,-0.07797,0.06608,-0.1853,-0.05489,0.13206,-0.05226,0.00024,-0.09749,-0.15141,-0.04776,0.09572,0.04073
vigilante,grounded_social,20.44,0.19232,-0.07712,-0.06171,0.12335,0.03025,-0.02587,0.09166,0.03421,-0.01038,-0.06383,-0.04809,-0.08523,-0.07297,0.13209,0.04771
virtuoso,procedural_professional,38.3,0.28517,-0.1075,0.04138,0.00198,-0.02995,0.01179,-0.05555,0.02517,0.10678,-0.06232,-0.01857,-0.01733,-0.20341,0.03524,0.0693
virus,mythic_spiritual,32.58,0.20361,-0.08491,0.04881,-0.00577,-0.07956,-0.05684,0.00037,-0.03926,-0.13165,-0.02555,0.01976,0.0467,0.02226,0.02768,-0.00635
visionary,procedural_professional,22.02,0.19668,-0.08721,-0.02007,0.17506,0.01375,-0.02786,0.00603,-0.16571,-0.00468,0.07341,-0.05172,-0.09823,0.01878,-0.10783,0.2193
void,mythic_spiritual,16.73,0.25159,-0.24113,0.31116,-0.06217,-0.07929,0.01558,-0.01028,0.08871,-0.06017,0.00339,0.03567,0.01424,0.03513,0.00656,0.02395
wanderer,mythic_spiritual,10.78,0.21454,-0.16144,-0.00284,0.05334,0.02056,0.06998,-0.02922,0.0032,0.00714,-0.00529,0.01713,0.02907,-0.01801,-0.10837,-0.01326
warrior,mythic_spiritual,0.0,0.151,-0.07288,-0.06605,0.10472,0.0151,-0.0036,-0.01277,-0.00482,0.02345,-0.00476,0.00075,-0.05352,-0.04804,-0.00953,-0.00324
whale,mythic_spiritual,16.83,0.25917,-0.16315,0.15157,-0.00424,-0.02196,0.03629,-0.05007,0.10147,0.11106,-0.03662,-0.00459,0.02182,-0.07558,-0.00973,-0.0318
widow,grounded_social,0.0,0.22483,-0.13231,-0.27994,-0.19673,0.02364,0.21048,0.00891,0.00039,-0.13535,-0.12371,0.01899,-0.09906,0.13433,0.05607,-0.11434
wind,mythic_spiritual,26.25,0.23911,-0.21177,0.13362,-0.0172,-0.02638,-0.00601,-0.0405,0.03201,0.10026,-0.04048,0.01207,0.09103,0.10143,-0.00503,-0.11983
witch,mythic_spiritual,0.0,0.22877,-0.05945,0.11577,-0.04494,0.0805,0.12782,0.0792,0.02728,0.10933,0.04476,-0.10409,-0.01386,-0.11072,0.02966,0.04992
witness,procedural_professional,15.66,0.13575,-0.02268,-0.10097,0.05342,-0.0251,-0.06496,-0.2137,-0.0198,0.14454,0.0705,-0.0547,0.11964,0.14156,0.01512,-0.03633
workaholic,combative_iconoclast,35.74,0.22068,-0.14576,-0.05153,0.0762,-0.03071,-0.073,-0.00347,0.04262,-0.08907,0.00015,0.02925,0.02576,-0.00876,-0.02329,-0.09127
wraith,mythic_spiritual,22.68,0.21023,-0.19456,0.24904,-0.00602,-0.03719,-0.03488,-0.01165,0.08856,0.12235,-0.04464,0.12814,0.03884,-0.00438,0.09684,-0.09329
writer,procedural_professional,13.74,0.26015,0.23252,-0.00359,-0.09079,-0.21955,0.07479,-0.01586,-0.05656,0.07945,0.08152,-0.18593,0.08261,-0.06978,0.08083,-0.05942
zealot,mythic_spiritual,0.0,0.23756,-0.14984,-0.01256,0.12684,0.00432,-0.04677,0.04039,0.03364,0.01155,0.01631,-0.0614,-0.10433,-0.15171,0.01932,-0.04944
zeitgeist,procedural_professional,0.0,0.18844,-0.16673,0.18859,-0.05206,-0.02142,-0.01867,0.02665,0.05883,-0.13,0.00537,-0.01494,0.04135,0.08947,0.05083,-0.06381
