model,model_label,human_fit,construction,persona,hifwb_associated_score_sd,within_model_percentile
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,proofreader,-0.03853078046620635,40.72727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,prophet,-0.17947581756599879,29.09090909090909
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,provincial,-0.2923267433947282,22.90909090909091
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,provocateur,-0.8091498059507195,6.181818181818182
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,psychologist,0.4448462296519674,89.81818181818181
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,publisher,0.4449486224194663,90.18181818181819
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,purist,-0.27308920623338795,24.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,realist,-0.13897089912896193,31.272727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,rebel,-0.6302971919411837,11.636363636363637
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,recruiter,0.46058428214836517,91.63636363636364
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,refugee,-0.14363918238937173,30.545454545454547
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,reporter,0.3052273975520837,67.27272727272727
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,researcher,0.3815722051013525,81.0909090909091
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,retiree,-0.003320904876195479,43.63636363636363
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,revenant,-0.638417780422873,10.909090909090908
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,reviewer,0.34545729670866454,73.45454545454545
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,revolutionary,-0.15585535574184486,29.818181818181817
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,robot,-0.10147856376943266,35.27272727272727
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,rogue,-0.611487730555832,12.727272727272727
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,romantic,0.26111373370363,61.45454545454545
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,saboteur,-0.40065116531838063,18.181818181818183
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,sage,0.22274927890668955,57.81818181818181
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,scheduler,0.3347930350550592,71.63636363636363
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,scholar,0.3588184301694566,75.27272727272727
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,scientist,0.3484468260893526,73.81818181818181
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,scout,0.11552408315955424,49.81818181818182
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,screener,0.19075270326792879,56.36363636363636
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,secretary,0.29317508936985104,64.72727272727272
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,shaman,0.18184391187245358,55.27272727272727
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,shapeshifter,-0.12394767131912182,32.72727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,simulacrum,-0.37779266361723013,20.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,skeptic,-0.050644241493154926,39.63636363636363
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,smuggler,-0.8272938828914016,5.454545454545454
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,sociologist,0.3887390161754308,82.18181818181817
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,soldier,-0.3989803549783731,18.545454545454547
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,sommelier,0.24747826771028053,60.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,specialist,0.3453459299595351,73.0909090909091
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,spirit,0.09318067423779185,48.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,spy,-0.4143312302705752,17.81818181818182
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,statistician,0.2547198447155852,61.09090909090909
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,stoic,-0.13909547352724674,30.909090909090907
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,strategist,0.47557643380966763,93.45454545454545
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,student,-0.11603862141561493,34.18181818181818
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,summarizer,0.3925376916970823,82.9090909090909
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,supervisor,0.4557165660354343,90.9090909090909
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,surfer,-0.020810085873494272,42.54545454545455
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,survivor,-0.056828501886212066,39.27272727272727
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,swarm,-0.01949025703995665,42.90909090909091
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,symbiont,0.379216522566393,80.72727272727272
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,synthesizer,0.43921574706515054,89.45454545454545
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,teacher,0.35411015443078986,74.54545454545455
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,technologist,0.40202051257139787,84.36363636363636
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,teenager,-0.7947453826610382,6.545454545454546
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,theorist,0.37043550710596773,78.18181818181819
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,therapist,0.39331112729097384,83.27272727272728
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,toddler,-1.0812720635054411,2.909090909090909
