model,K,resample,sample_seed,valid_starts,best_seed,ari_to_full,nmi_to_full
qwen,5,46,3026637,20,4080693,0.7349328134483725,0.75614840034405
qwen,5,47,3026638,20,4080792,0.7162803683594298,0.7490506360803596
qwen,5,48,3026639,20,4080910,0.6752344200906581,0.6953856167991944
qwen,5,49,3026640,20,4081006,0.6635614821230353,0.6922506583036304
qwen,5,50,3026641,20,4081105,0.665668923443504,0.7134600274423025
qwen,6,1,3026692,20,4086211,0.8516206464145231,0.8311122274460511
qwen,6,2,3026693,20,4086311,0.7081544441792428,0.7325647261396374
qwen,6,3,3026694,20,4086409,0.9112814450731622,0.8676213502061247
qwen,6,4,3026695,20,4086507,0.825361684360027,0.7989847437603068
qwen,6,5,3026696,20,4086605,0.9359660410378577,0.9051429102575842
qwen,6,6,3026697,20,4086695,0.7943908493641738,0.8170497684934536
qwen,6,7,3026698,20,4086796,0.8894621200558329,0.8383247757262421
qwen,6,8,3026699,20,4086901,0.9573986920837786,0.9299515718538144
qwen,6,9,3026700,20,4086992,0.9467254014055091,0.9235947499786422
qwen,6,10,3026701,20,4087111,0.9689276193910572,0.9428746976787843
qwen,6,11,3026702,20,4087205,0.832337234165739,0.8212973861830376
qwen,6,12,3026703,20,4087304,0.9842742943890253,0.9698673297994614
qwen,6,13,3026704,20,4087392,0.9530946664391153,0.9178655217798708
qwen,6,14,3026705,20,4087492,0.9366209676527928,0.8994544757680188
qwen,6,15,3026706,20,4087595,0.8511792810914162,0.838946078193289
qwen,6,16,3026707,20,4087694,0.8566191788238733,0.8341513408693487
qwen,6,17,3026708,20,4087804,0.9351898975202982,0.9046755295842179
qwen,6,18,3026709,20,4087897,0.6655483371343979,0.7097125131745755
qwen,6,19,3026710,20,4087996,0.97216776500971,0.9513834007253088
qwen,6,20,3026711,20,4088111,0.9758423714793791,0.9538851334659066
qwen,6,21,3026712,20,4088193,0.7961621458452147,0.7644596776136682
qwen,6,22,3026713,20,4088305,0.7092917731869138,0.7784517071395979
qwen,6,23,3026714,20,4088405,0.7892547781480226,0.7928512313252774
qwen,6,24,3026715,20,4088510,0.9715346057267618,0.9541822270194641
qwen,6,25,3026716,20,4088596,0.8679013617223911,0.8507442472767175
qwen,6,26,3026717,20,4088694,0.7950778322800501,0.7674988737097109
qwen,6,27,3026718,20,4088793,0.8809870300139406,0.8288792518969973
qwen,6,28,3026719,20,4088895,0.6321204613722122,0.7092466894167719
qwen,6,29,3026720,20,4088992,0.8455204468146281,0.8360207104011436
qwen,6,30,3026721,20,4089107,0.9591275759631267,0.9320103353708753
qwen,6,31,3026722,20,4089193,0.8902941041925605,0.8506157928169152
qwen,6,32,3026723,20,4089296,0.9151379043396798,0.8863608065130782
qwen,6,33,3026724,20,4089392,0.9603191815503134,0.9411418734968321
qwen,6,34,3026725,20,4089508,0.7323367362666144,0.7375314347321804
qwen,6,35,3026726,20,4089611,0.7793638462541728,0.7688290304399
qwen,6,36,3026727,20,4089698,0.8609115820938045,0.8410734374455281
qwen,6,37,3026728,20,4089806,0.6679375366675073,0.725412771021993
qwen,6,38,3026729,20,4089898,0.9180611444879535,0.8888018494864067
qwen,6,39,3026730,20,4090003,0.9655774126628814,0.9358954485198885
qwen,6,40,3026731,20,4090101,0.9438733566787909,0.9131541112891094
qwen,6,41,3026732,20,4090200,0.9035804409203121,0.8587651179624625
qwen,6,42,3026733,20,4090305,0.9420089087043858,0.9151470731645586
qwen,6,43,3026734,20,4090406,0.9087100441337758,0.8748289420879387
qwen,6,44,3026735,20,4090500,0.9246042411511345,0.8864802858364151
qwen,6,45,3026736,20,4090602,0.8709411436042493,0.8370158963221646
qwen,6,46,3026737,20,4090711,0.8625969398493329,0.825879949710721
qwen,6,47,3026738,20,4090796,0.762286475361412,0.7713051637368369
qwen,6,48,3026739,20,4090910,0.7931082061109964,0.7989426969956114
qwen,6,49,3026740,20,4091000,0.8037697836717851,0.782140290045741
qwen,6,50,3026741,20,4091103,0.7907414433801533,0.7835092323878524
qwen,7,1,3026792,20,4096202,0.8165680759056441,0.8102581931044706
qwen,7,2,3026793,20,4096298,0.8543101654069252,0.8425669811959128
qwen,7,3,3026794,20,4096395,0.6914761131561947,0.6798061950050742
qwen,7,4,3026795,20,4096497,0.8873850588491107,0.8750714727172871
qwen,7,5,3026796,20,4096607,0.6518603057167908,0.7300125646691752
qwen,7,6,3026797,20,4096700,0.7540809871198613,0.802690813359669
qwen,7,7,3026798,20,4096796,0.7756060719749496,0.7719045971370231
qwen,7,8,3026799,20,4096908,0.7670684607953958,0.7772255952080407
qwen,7,9,3026800,20,4096992,0.6165717232859813,0.6951317043852507
qwen,7,10,3026801,20,4097099,0.7963318729208655,0.7535078181278578
qwen,7,11,3026802,20,4097204,0.8443015571451435,0.8524980277410674
qwen,7,12,3026803,20,4097299,0.8451362629861384,0.8235493068383719
qwen,7,13,3026804,20,4097392,0.7844769872271607,0.7561440288020794
