persona,pearson_qwen_llama,pearson_qwen_gemma,pearson_llama_gemma,pearson_mean,pearson_min,pearson_max,raw_profile_pearson_mean,standardized_rmse_mean,category,mean_trait_score_influence,max_trait_score_influence
cynic,0.8771024312401556,0.9513014807652108,0.9519812942837801,0.9267950687630488,0.8771024312401556,0.9519812942837801,0.6130339097098115,0.8115068686320335,all_three_strong,0.0026653144730181323,0.021845838877504575
daredevil,0.8961173427241834,0.9602636798063585,0.9343304104180183,0.9302371443161869,0.8961173427241834,0.9602636798063585,0.6936668085207428,0.6068240075971598,all_three_strong,0.0018362855698630521,0.012496863042710193
debugger,0.8318359999232484,0.857258584630018,0.8907101591356447,0.8599349145629703,0.8318359999232484,0.8907101591356447,0.8022781852173763,0.4590030072034264,all_three_strong,0.0006529141258293525,0.004037329005834006
demon,0.8944859725244875,0.9559811836800147,0.932158135687748,0.9275417639640834,0.8944859725244875,0.9559811836800147,0.6924624638564524,0.509059232219213,all_three_strong,0.0015386682064576977,0.008281914267213364
designer,0.9136226744447219,0.9469276331690779,0.9495708257389079,0.9367070444509026,0.9136226744447219,0.9495708257389079,0.8161879975260956,0.2564120714967864,all_three_strong,0.00031913729570429465,0.0018903626917111394
destroyer,0.7845422604085739,0.8111171055167485,0.8024572398853065,0.7993722019368764,0.7845422604085739,0.8111171055167485,0.7506975754217393,0.5466892304954364,all_three_strong,0.0008514701665994155,0.0059423820940433525
detective,0.8144872160392891,0.7699357444808276,0.7864394522233021,0.7902874709144729,0.7699357444808276,0.8144872160392891,0.7903966621884804,0.3635667097209123,all_three_strong,0.0003441835163662627,0.0021725180027521995
devils_advocate,0.6711881254101114,0.8596462408283301,0.7790599179936358,0.7699647614106925,0.6711881254101114,0.8596462408283301,0.7531542656877074,0.5605351959287039,all_three_strong,0.0008044727245981563,0.008123538409489428
dilettante,0.7832191614675463,0.6126167249784913,0.7954286123132627,0.7304214995864334,0.6126167249784913,0.7954286123132627,0.7747475637633524,0.6467465349715621,all_three_strong,0.0009175964664082831,0.005909583674652552
dispatcher,0.8671103809407,0.7823789707514098,0.7988179795132268,0.8161024437351122,0.7823789707514098,0.8671103809407,0.8015148135585975,0.4925734314210011,all_three_strong,0.0006114063489963906,0.003494714434639834
divorcee,0.834089746042245,0.8728718156549816,0.8795759507569392,0.8621791708180554,0.834089746042245,0.8795759507569392,0.7926815147837135,0.5009828895830886,all_three_strong,0.0008258022312976708,0.008440403978008104
doctor,0.8333688396927383,0.911234391849299,0.8769518194759859,0.8738516836726743,0.8333688396927383,0.911234391849299,0.8149382962657009,0.4809451995265351,all_three_strong,0.0006623250304547084,0.00429114530425434
dreamer,0.8341514833709163,0.8774338199200605,0.9150498208260845,0.8755450413723538,0.8341514833709163,0.9150498208260845,0.7696137804357691,0.45164132035814575,all_three_strong,0.0008101975683686602,0.00513622415302295
echo,0.8434454725405786,0.9284724733676762,0.8629160749340817,0.8782780069474455,0.8434454725405786,0.9284724733676762,0.7592131322491286,0.47784511447745154,all_three_strong,0.0009159371460881122,0.003929726145547097
economist,0.8632685095501959,0.8933542078936285,0.9355063073338092,0.8973763415925445,0.8632685095501959,0.9355063073338092,0.7919286369374071,0.45151369605113273,all_three_strong,0.0007150869495664009,0.00386327818438581
ecosystem,0.8618053807653749,0.8423710866221558,0.8653984448896413,0.8565249707590574,0.8423710866221558,0.8653984448896413,0.816972723337305,0.3825613202004214,all_three_strong,0.0004869989618077057,0.005637157215025057
editor,0.7333917483331791,0.7241933313750525,0.7046179346307383,0.7207343381129899,0.7046179346307383,0.7333917483331791,0.8052794833071686,0.7323695208192085,all_three_strong,0.0008880921523129907,0.012576848502057647
egregore,0.7054633208476422,0.8111075276998848,0.8189417786590626,0.7785042090688633,0.7054633208476422,0.8189417786590626,0.7716986929911288,0.5035658070207385,all_three_strong,0.0008593253167367751,0.004226441036582873
elder,0.8176387862811013,0.8972264191710537,0.8633490622802671,0.8594047559108073,0.8176387862811013,0.8972264191710537,0.7855597813967438,0.3941746977564171,all_three_strong,0.0004585938757851557,0.00309403244774642
eldritch,0.8616011443851253,0.9329699216421871,0.9094883825821971,0.9013531495365031,0.8616011443851253,0.9329699216421871,0.7240061026632376,0.6514122164469267,all_three_strong,0.0015318948332474912,0.009682424976531046
emissary,0.8709247720682883,0.944221609612755,0.913190026006614,0.9094454692292192,0.8709247720682883,0.944221609612755,0.8172865133997096,0.3568915628927442,all_three_strong,0.0004317029921185003,0.003133941816787056
empath,0.8608526122320916,0.8917411375354171,0.9091246740616568,0.8872394746097217,0.8608526122320916,0.9091246740616568,0.8110161584512688,0.4728421938271934,all_three_strong,0.0009071308550306923,0.008339962132364986
engineer,0.8680159967725654,0.908437023382785,0.9419481406332504,0.9061337202628669,0.8680159967725654,0.9419481406332504,0.8026410612603915,0.39478295493475385,all_three_strong,0.0006869414279163532,0.00420863928945614
entrepreneur,0.7419012501422054,0.8871653913951543,0.8402903608131146,0.8231190007834913,0.7419012501422054,0.8871653913951543,0.7967067316587285,0.37085346001668124,all_three_strong,0.00048463099134300974,0.0025535998490859857
evaluator,0.8483350015450073,0.9362995184662793,0.9312340172508935,0.9052895124207266,0.8483350015450073,0.9362995184662793,0.8054416710096955,0.46187056412673827,all_three_strong,0.0008924759837120414,0.0034741154034388377
evangelist,0.837212993424634,0.8586600378580995,0.8246757187150676,0.8401829166659337,0.8246757187150676,0.8586600378580995,0.7690184979107805,0.525361892316909,all_three_strong,0.0009293671845109001,0.00794272515997646
examiner,0.8627675475644355,0.8269857173323346,0.8447125160155656,0.8448219269707785,0.8269857173323346,0.8627675475644355,0.7964577608848925,0.6388367287107632,all_three_strong,0.001178523764614695,0.00906488189988175
exile,0.8417078350330413,0.8727099329067307,0.8508968727969524,0.8551048802455746,0.8417078350330413,0.8727099329067307,0.7599634064662762,0.46536265967105367,all_three_strong,0.0005373510541333903,0.0033256982984714856
expatriate,0.8957329499163855,0.8243638835797982,0.8401514295572587,0.8534160876844809,0.8243638835797982,0.8957329499163855,0.8049272261613479,0.29408597472030157,all_three_strong,0.00025154953964569206,0.003926901114011616
