model,K,profile_id,opaque_role_id,similarity_to_centroid,within_profile_centroid_rank
llama,5,L05_B,R116,0.9714080603442579,18
llama,5,L05_B,R268,0.9711057506114706,19
llama,5,L05_B,R238,0.9708054786918368,20
llama,5,L05_B,R147,0.9702476199413086,21
llama,5,L05_B,R112,0.9699647087150503,22
llama,5,L05_B,R101,0.9695503102437244,23
llama,5,L05_B,R009,0.9694710650158029,24
llama,5,L05_B,R028,0.9684101974875821,25
llama,5,L05_B,R269,0.9669015093917628,26
llama,5,L05_B,R174,0.9667786418068378,27
llama,5,L05_B,R001,0.9656835751552777,28
llama,5,L05_B,R098,0.9652829898407146,29
llama,5,L05_B,R266,0.9641126596254102,30
llama,5,L05_B,R231,0.9557448331135712,31
llama,5,L05_B,R180,0.9529063607347883,32
llama,5,L05_B,R219,0.9519438681706933,33
llama,5,L05_B,R250,0.9514140111741636,34
llama,5,L05_B,R130,0.9505741871995558,35
llama,5,L05_B,R265,0.9495970094719552,36
llama,5,L05_B,R023,0.9493453374437593,37
llama,5,L05_B,R255,0.94888188989133,38
llama,5,L05_B,R079,0.9450742846182821,39
llama,5,L05_B,R052,0.9446708928997847,40
llama,5,L05_B,R063,0.9438307397208681,41
llama,5,L05_B,R146,0.9428238117405222,42
llama,5,L05_B,R263,0.941885023337051,43
llama,5,L05_B,R183,0.9352705651377468,44
llama,5,L05_B,R057,0.9327849629383549,45
llama,5,L05_B,R002,0.9166522486989523,46
llama,5,L05_B,R274,0.9044243144760035,47
llama,5,L05_C,R104,0.9793153947972567,1
llama,5,L05_C,R162,0.9785123483438118,2
llama,5,L05_C,R011,0.9780000577485005,3
llama,5,L05_C,R204,0.9777055378786346,4
llama,5,L05_C,R120,0.9743230745590753,5
llama,5,L05_C,R166,0.9738025042700634,6
llama,5,L05_C,R037,0.9731669312279543,7
llama,5,L05_C,R167,0.9725443825320387,8
llama,5,L05_C,R070,0.972049158017511,9
llama,5,L05_C,R201,0.9678783955585449,10
llama,5,L05_C,R267,0.9655265478930913,11
llama,5,L05_C,R259,0.963139733992586,12
llama,5,L05_C,R139,0.9623321181997173,13
llama,5,L05_C,R133,0.9621680998022204,14
llama,5,L05_C,R257,0.9612111923474334,15
llama,5,L05_C,R006,0.9607005301253849,16
llama,5,L05_C,R105,0.9606809339874567,17
llama,5,L05_C,R029,0.9587935783290054,18
llama,5,L05_C,R154,0.9576150833041313,19
llama,5,L05_C,R046,0.9519857863738984,20
llama,5,L05_C,R209,0.9459909987224654,21
llama,5,L05_C,R186,0.9441598309991133,22
llama,5,L05_C,R225,0.9410839637792588,23
llama,5,L05_C,R061,0.939777658935399,24
llama,5,L05_C,R223,0.9372985737238269,25
llama,5,L05_C,R055,0.9364563160152882,26
llama,5,L05_C,R007,0.9349820141646892,27
llama,5,L05_C,R045,0.9339990819875486,28
llama,5,L05_C,R013,0.9339906889966003,29
llama,5,L05_C,R243,0.9337998711983889,30
llama,5,L05_C,R102,0.9328656088173132,31
llama,5,L05_C,R271,0.9297052698241239,32
llama,5,L05_C,R060,0.9241559039140497,33
llama,5,L05_C,R185,0.9226638435979271,34
llama,5,L05_C,R134,0.9215218824982572,35
llama,5,L05_C,R193,0.9205507975933532,36
llama,5,L05_C,R115,0.9067130375271388,37
llama,5,L05_C,R148,0.9038784447976581,38
llama,5,L05_C,R093,0.9007572292815633,39
llama,5,L05_C,R187,0.8943647184330565,40
llama,5,L05_C,R236,0.8939872519899625,41
llama,5,L05_C,R176,0.8397129288387377,42
llama,5,L05_D,R273,0.9911719765275704,1
llama,5,L05_D,R031,0.9902160087862382,2
llama,5,L05_D,R156,0.9869318121180393,3
llama,5,L05_D,R260,0.9857422819964817,4
llama,5,L05_D,R275,0.985533305983075,5
llama,5,L05_D,R262,0.9851801830519575,6
llama,5,L05_D,R053,0.9850643895160835,7
llama,5,L05_D,R118,0.9847400500862236,8
