model,K,seed,objective,iterations,ari_to_retained,nmi_to_retained,retained_start
llama,6,2036775,267.19552682362774,9,0.6278253982081189,0.6343994332734654,False
llama,6,2036776,266.913873619705,7,0.5640158671964396,0.6041714611003363,False
llama,6,2036777,267.16587208426665,6,0.6200611906835446,0.6387500904159576,False
llama,6,2036778,266.89027350527056,8,0.5852526306947513,0.6073501340753139,False
llama,6,2036779,267.1465783176041,5,0.608891405699642,0.6252991999354912,False
llama,6,2036780,266.92970212310877,7,0.6257916973474397,0.6285358098225707,False
llama,6,2036781,267.1628967719045,4,0.5954882748640216,0.63025380735617,False
llama,6,2036782,267.1006238015339,12,0.6178936186146807,0.5636029182539766,False
llama,6,2036783,267.24028686716184,13,0.7432671099705593,0.7411571906686125,False
llama,6,2036784,267.2629275349189,6,0.669553560354343,0.6305491851939308,False
llama,6,2036785,267.14069376693425,6,0.5846332914992012,0.6081583053929969,False
llama,6,2036786,266.9534508969421,12,0.6260218999460173,0.5723735348682477,False
llama,6,2036787,266.9246625200653,7,0.6374493773776964,0.5987331751298525,False
llama,6,2036788,267.13960430151224,6,0.5836893379085727,0.6185080282033663,False
llama,6,2036789,267.0439747404304,11,0.532544567439596,0.5447595314401268,False
llama,6,2036790,266.91217458262986,6,0.636910319867503,0.5969006985731088,False
llama,6,2036791,267.11710252639193,22,0.8023166525799721,0.7358514930623402,False
llama,7,2036792,267.0196067976271,11,0.5319681364077056,0.53326001748218,False
llama,7,2036793,267.3778557693919,11,0.6433486666044816,0.6232803751165069,False
llama,7,2036794,267.1492084339541,14,0.6346099687348833,0.6096849658826456,False
llama,7,2036795,267.0386262563223,5,0.6218138303689531,0.5942899306127275,False
llama,7,2036796,267.063684834752,9,0.5501916032372061,0.5464555236571298,False
llama,7,2036797,267.3005667441969,9,0.5891043234311657,0.5569583619158118,False
llama,7,2036798,267.1798250431764,8,0.7192576431135208,0.6364136049931608,False
llama,7,2036799,267.3468289793766,8,0.6488071905856462,0.6643414982095657,False
llama,7,2036800,267.5057682811441,7,0.6739547918754537,0.6554478180303928,False
llama,7,2036801,267.3951203968894,7,0.5749414287873407,0.605851119234688,False
llama,7,2036802,267.264034180302,7,0.7878240443754038,0.7319584766480801,False
llama,7,2036803,267.2794777485217,10,0.5891175992787023,0.6066050673461993,False
llama,7,2036804,267.26968597592577,6,0.5582864231832696,0.5861200204196694,False
llama,7,2036805,267.29151536612244,7,0.6111777529825134,0.5776658912843489,False
llama,7,2036806,267.2534319090705,8,0.5693753315612335,0.5730717954998206,False
llama,7,2036807,267.3223639505823,11,0.7891641501976042,0.7088687140260784,False
llama,7,2036808,267.3600535482017,10,0.556013825551097,0.5702943485481583,False
llama,7,2036809,266.3981803981817,2,0.28393363510763825,0.40178072500945805,False
llama,7,2036810,267.5731361385423,12,1.0,1.0,True
llama,7,2036811,267.4837310566294,17,0.7247105871182181,0.681975002725145,False
llama,7,2036812,267.33067816557104,17,0.6837274891301192,0.639788719802765,False
llama,7,2036813,267.54534985232567,9,0.8225445584502062,0.781627845564049,False
llama,7,2036814,267.3964676946832,12,0.7171722674411009,0.6764701522889427,False
llama,7,2036815,267.43305644514504,21,0.741438067816573,0.6839707162961073,False
llama,7,2036816,267.01391338149125,7,0.6109459101062564,0.6085085685342531,False
llama,7,2036817,267.3589870671302,9,0.5629607223635386,0.5878934638683845,False
llama,7,2036818,267.2453347324192,8,0.619251328392425,0.614363271143476,False
llama,7,2036819,267.2320901918802,6,0.6408571613289252,0.6334297615606683,False
llama,7,2036820,266.9077556327883,9,0.7099761773300461,0.6229512830875896,False
llama,7,2036821,267.2236851938419,4,0.7467839263130179,0.6957653473380242,False
llama,7,2036822,267.38628244909137,8,0.740915514592207,0.6825913246526979,False
llama,7,2036823,267.48870999336805,4,0.6989788434510508,0.6484667787145604,False
llama,7,2036824,267.0940952392805,9,0.561535185810391,0.5594106376122924,False
llama,7,2036825,267.28289973100914,11,0.7361656949541282,0.6641635113629758,False
llama,7,2036826,267.36809233813017,10,0.6829071927497842,0.6822786853530558,False
llama,7,2036827,267.2245944103008,5,0.7165518437751398,0.65895221432598,False
llama,7,2036828,267.05068792360487,8,0.6708977151750763,0.6345387862602445,False
llama,7,2036829,267.36119717906337,7,0.6318964049614308,0.6511326029553042,False
llama,7,2036830,267.48142912110984,26,0.7049982427594956,0.6817734385199186,False
llama,7,2036831,267.21333125044083,8,0.5608589349762954,0.5753493721480307,False
llama,7,2036832,267.2850592553793,11,0.7002937044034815,0.6499609403079623,False
llama,7,2036833,267.2684334261248,5,0.6609648100507236,0.6390247920288236,False
llama,7,2036834,267.2322189705808,6,0.5614878741242572,0.5633987200446882,False
llama,7,2036835,267.30969646945834,5,0.6554233907093127,0.6996932090678821,False
llama,7,2036836,267.20664908417723,8,0.6843690804343201,0.613200478959809,False
llama,7,2036837,267.2300556838095,9,0.6472491307399721,0.5892767186839097,False
llama,7,2036838,267.1727160572254,7,0.6123808847957116,0.5805652961341187,False
llama,7,2036839,267.33599664524263,12,0.6439201611764273,0.594961253467667,False
llama,7,2036840,267.46747552582553,14,0.7408238031918996,0.6906262426798231,False
llama,7,2036841,267.3414172267436,20,0.6854827955622461,0.6540011058640857,False
llama,7,2036842,267.29965476785725,5,0.6635972935459787,0.609120128366777,False
llama,7,2036843,267.3988844774077,9,0.7820126043692994,0.7513587581939035,False
llama,7,2036844,267.40739691133103,15,0.6673414625108671,0.6506833874478829,False
llama,7,2036845,267.3652382477177,4,0.7350469906046224,0.7048799784055053,False
llama,7,2036846,267.37438472315347,14,0.6979903942075649,0.6205624295280733,False
llama,7,2036847,267.3293494087719,9,0.7642379255628734,0.7242914737119687,False
llama,7,2036848,267.31584515316354,10,0.6887643242438276,0.638569063483356,False
llama,7,2036849,267.2825682723377,12,0.6303584272003744,0.564358913113749,False
llama,7,2036850,267.3561681115998,7,0.8566323916353387,0.7653253779958323,False
llama,7,2036851,267.3601103353554,11,0.62094820909356,0.6218936533740798,False
llama,7,2036852,267.3682019199938,13,0.6005367538146013,0.6277836321799969,False
llama,7,2036853,267.0980525696467,9,0.5210461823290281,0.5410724606222926,False
llama,7,2036854,267.18334821457955,5,0.6526177564814994,0.636630207909486,False
llama,7,2036855,267.4643497805635,12,0.8073609506494838,0.7426769967912248,False
llama,7,2036856,267.3602841344747,8,0.8572377151084509,0.7602620088218636,False
llama,7,2036857,267.4146016173431,6,0.8265939246399484,0.7667465836493667,False
llama,7,2036858,267.5174080739645,9,0.7569680141464507,0.7124308441833962,False
llama,7,2036859,267.0759259933352,8,0.5554106151768791,0.5474947629095935,False
llama,7,2036860,267.2501214536236,6,0.709291124795003,0.6467338741178666,False
llama,7,2036861,267.2160459167516,7,0.46671679316389103,0.4809741506786228,False
llama,7,2036862,267.4309549702763,15,0.6998953811778619,0.658350109507364,False
llama,7,2036863,267.4864462320935,4,0.7987670394865394,0.7125669281929464,False
llama,7,2036864,267.2468844364276,11,0.7562615254607565,0.6867446296148925,False
llama,7,2036865,267.25442368950604,4,0.6326396350109799,0.6379529099040097,False
llama,7,2036866,267.3544988255934,8,0.6333444797049056,0.6611508077092849,False
llama,7,2036867,267.3565731328458,8,0.6264139311418822,0.6722789138803761,False
llama,7,2036868,267.4521593732549,6,0.7547362801669895,0.7220615150662574,False
llama,7,2036869,267.2775276966074,20,0.6937355958786708,0.6455671024530676,False
llama,7,2036870,267.2845195084437,8,0.5884112948286663,0.5692786523223332,False
llama,7,2036871,267.36431917678175,5,0.7383426892579811,0.6822908806162123,False
llama,7,2036872,267.20664361683606,7,0.5359816715260456,0.5386045147299424,False
llama,7,2036873,267.46336674378614,8,0.6822041496315505,0.6595956937332291,False
llama,7,2036874,267.20700769526013,20,0.70204949493902,0.6355398515707039,False
llama,7,2036875,267.39242528105035,6,0.6777089764109969,0.6179444772467992,False
llama,7,2036876,267.4700720568883,14,0.6998161865334286,0.6292977092030465,False
llama,7,2036877,267.4205551056265,16,0.6943847271778787,0.6160130370561434,False
llama,7,2036878,267.3582443504636,4,0.594371705667999,0.6205934287659267,False
llama,7,2036879,267.3348204841153,9,0.5819979497829461,0.5852113194490703,False
llama,7,2036880,267.29024403122855,9,0.5302833722028054,0.5433926868435934,False
llama,7,2036881,267.29544006052174,5,0.823923993501266,0.7800022499192342,False
llama,7,2036882,267.38009546907017,7,0.7596488003659047,0.7047313553250298,False
llama,7,2036883,267.2276945264267,6,0.6886028352788405,0.640979279115453,False
llama,7,2036884,267.3759908055644,5,0.8031630117206309,0.7317448788945581,False
llama,7,2036885,267.354763339703,7,0.5835221634203306,0.5485711478099949,False
llama,7,2036886,267.34821360605383,5,0.7544689397721878,0.6815668341954907,False
llama,7,2036887,267.20746499433284,10,0.5396065016397391,0.5289089198531207,False
llama,7,2036888,267.2158126224076,8,0.5645163370797559,0.5922361871864388,False
llama,7,2036889,267.1639821824474,5,0.6035380012601821,0.5969568902236425,False
llama,7,2036890,267.2460475136121,10,0.6744082608876724,0.6739960820888947,False
llama,7,2036891,267.2651923291549,7,0.5966581426459053,0.5764677266038275,False
llama,8,2036892,267.3782288407249,9,0.5921610331361639,0.5604427739807932,False
llama,8,2036893,267.5485752915788,10,0.5854280551140699,0.6216059799002064,False
llama,8,2036894,267.5214646752022,7,0.6256242415266036,0.5720484643736815,False
llama,8,2036895,267.4548066183435,17,0.5597313606385638,0.5499339357272809,False
llama,8,2036896,267.4000361864332,11,0.654122739021466,0.6403037485871742,False
llama,8,2036897,267.4371162484132,4,0.688776561991485,0.6095122680453774,False
llama,8,2036898,267.55047111290725,6,0.6911896920347073,0.6212130351499648,False
llama,8,2036899,267.5958622552239,13,0.6795030596472055,0.6263059490331713,False
llama,8,2036900,267.57477295767825,9,0.6056385003379394,0.5482625940000773,False
llama,8,2036901,267.42010893508893,6,0.695551379117662,0.6350515557827013,False
llama,8,2036902,267.7139361476523,10,0.7333748377883998,0.6718744521925883,False
llama,8,2036903,267.3818657817897,10,0.6808387609873774,0.6340384987281551,False
llama,8,2036904,267.4484061343952,5,0.5826500867553679,0.6193298926323652,False
llama,8,2036905,267.50265273223835,10,0.5984854345479919,0.5586818162270952,False
llama,8,2036906,267.72596636539754,11,0.7256499215512653,0.6717941924195248,False
llama,8,2036907,267.57920060111155,7,0.7575040400415386,0.7262122864380975,False
llama,8,2036908,267.47217425708106,5,0.578783863878907,0.5915689608812642,False
llama,8,2036909,267.40914602184455,5,0.679035362699903,0.6169836455412143,False
llama,8,2036910,267.4870144489083,11,0.6268780817294854,0.6643065417266861,False
llama,8,2036911,267.6153516630295,18,0.7103936084065684,0.6446876712883197,False
llama,8,2036912,267.3996459041942,8,0.6208625697140217,0.6569521805476725,False
llama,8,2036913,267.4874249513831,13,0.7499317624980665,0.6887721874869364,False
llama,8,2036914,267.5781443789125,8,0.6371438483926426,0.6036343841225509,False
llama,8,2036915,267.7091152618431,6,0.675357334225742,0.6296995489624747,False
llama,8,2036916,267.7340063792102,15,0.7073420494698721,0.6695727521252115,False
llama,8,2036917,267.6537379419137,9,0.7544055750220693,0.7052613226499246,False
llama,8,2036918,267.3843826554877,7,0.6454810566083019,0.5902568724692259,False
llama,8,2036919,267.5791803315173,15,0.6881239543238965,0.6222863315720736,False
llama,8,2036920,267.57622821819325,8,0.7080109569487557,0.6835799185324479,False
llama,8,2036921,267.5112888842465,9,0.7758493423578761,0.7043684612004114,False
llama,8,2036922,267.50357828491235,12,0.6480720373036879,0.6298123684449447,False
llama,8,2036923,267.28227769070554,14,0.5903518996105832,0.5600194365633,False
llama,8,2036924,267.76718914695755,10,1.0,1.0,True
llama,8,2036925,267.6276163008272,14,0.6726212072146884,0.6379774310000246,False
llama,8,2036926,267.60285414795624,8,0.7363763051234681,0.6611500278877077,False
llama,8,2036927,267.39313525714033,9,0.6014219244578527,0.6143213607576724,False
llama,8,2036928,267.5148964489159,11,0.6953989140778215,0.6473921734724171,False
llama,8,2036929,267.50211795552775,12,0.5555200305207374,0.5276465502570632,False
llama,8,2036930,267.6465050397885,14,0.6146490535002606,0.5622484234072834,False
llama,8,2036931,267.4823029370317,11,0.5948689031809418,0.5582631069985688,False
llama,8,2036932,267.5868035107327,11,0.6534982917045397,0.6349582554592605,False
llama,8,2036933,267.53316190422584,8,0.5820636048322715,0.5219523892183032,False
llama,8,2036934,267.5257165130768,4,0.6632204759915034,0.7156735789015474,False
llama,8,2036935,267.3131422472512,11,0.6076582090928392,0.5996356754013071,False
llama,8,2036936,267.4030849570278,5,0.7463803313404772,0.701797093485809,False
llama,8,2036937,267.44624710264156,6,0.6660993407586407,0.6794258200313965,False
llama,8,2036938,267.52335428268356,8,0.7035562666881405,0.7385753601101445,False
llama,8,2036939,267.54434481966143,5,0.7442238278972572,0.660297223773853,False
llama,8,2036940,267.5767127941346,10,0.643235084471299,0.6038158520990852,False
llama,8,2036941,267.34571461449053,11,0.5840045755318135,0.5646780528994807,False
llama,8,2036942,267.3625934600507,5,0.6781609019479743,0.6215195921844414,False
llama,8,2036943,267.60455845382995,7,0.6912515692356277,0.6271228325308612,False
llama,8,2036944,267.59166839464456,9,0.7718166215251494,0.7347857363861406,False
llama,8,2036945,267.6051664347082,13,0.6743750699991313,0.604559645695189,False
llama,8,2036946,267.72594419916527,13,0.701690038147423,0.6490481117727114,False
llama,8,2036947,267.41303296335263,7,0.5701956589091627,0.6134386068559178,False
