model,K,resample,sample_seed,valid_starts,best_seed,ari_to_full,nmi_to_full
llama,6,27,3036718,20,5088792,0.6753303202438852,0.597741454899828
llama,6,28,3036719,20,5088900,0.7980254447979653,0.7781046198689172
llama,6,29,3036720,20,5089008,0.7465206699306719,0.6993482448293485
llama,6,30,3036721,20,5089109,0.747505707321115,0.6918372801908806
llama,6,31,3036722,20,5089205,0.8781840380614951,0.8114309696144656
llama,6,32,3036723,20,5089298,0.8127115296827822,0.7911335818669893
llama,6,33,3036724,20,5089400,0.7184043842841341,0.6619014764075649
llama,6,34,3036725,20,5089500,0.7292539534742244,0.6912028403124063
llama,6,35,3036726,20,5089605,0.6386004210159342,0.686481367886008
llama,6,36,3036727,20,5089706,0.7836220679264901,0.736976232948903
llama,6,37,3036728,20,5089808,0.7359163393660696,0.6798503680835611
llama,6,38,3036729,20,5089894,0.715996509045052,0.6455508396195369
llama,6,39,3036730,20,5089992,0.658999031976742,0.6172031115393526
llama,6,40,3036731,20,5090093,0.7936239199398284,0.7607123476078334
llama,6,41,3036732,20,5090207,0.7337672989601127,0.7221452070960734
llama,6,42,3036733,20,5090308,0.7240037319522015,0.6748141950827661
llama,6,43,3036734,20,5090394,0.8054486957935026,0.7869340477215628
llama,6,44,3036735,20,5090495,0.6972979129309546,0.6375155774089555
llama,6,45,3036736,20,5090609,0.7114728979921466,0.7001769366872695
llama,6,46,3036737,20,5090708,0.5864314199482593,0.6112920025056109
llama,6,47,3036738,20,5090803,0.6460931679928306,0.6762173899483374
llama,6,48,3036739,20,5090911,0.6640768142408477,0.6051645069077509
llama,6,49,3036740,20,5091007,0.767274960313006,0.7743204300207659
llama,6,50,3036741,20,5091107,0.6999224991676699,0.6315522936854199
llama,7,1,3036792,20,5096203,0.7484764463020894,0.699897584114052
llama,7,2,3036793,20,5096302,0.7622848087753824,0.7191667534811416
llama,7,3,3036794,20,5096405,0.6550128471551672,0.630174388368344
llama,7,4,3036795,20,5096501,0.8471829424829953,0.7730462050265746
llama,7,5,3036796,20,5096593,0.6101860539738871,0.6012235201762726
llama,7,6,3036797,20,5096693,0.7616590842814402,0.7196583094584269
llama,7,7,3036798,20,5096810,0.7359340429683028,0.6533416160480924
llama,7,8,3036799,20,5096902,0.6254780841510532,0.5822632351763701
llama,7,9,3036800,20,5096993,0.665249984860585,0.608723753036313
llama,7,10,3036801,20,5097109,0.6853655624399251,0.6701953193887425
llama,7,11,3036802,20,5097203,0.8355554316943378,0.7776746749814548
llama,7,12,3036803,20,5097298,0.647354088100438,0.6213358449183808
llama,7,13,3036804,20,5097409,0.7377615514222128,0.670423021136328
llama,7,14,3036805,20,5097502,0.7736661581746462,0.6901971316735507
llama,7,15,3036806,20,5097593,0.7224900146820478,0.6165606197932342
llama,7,16,3036807,20,5097707,0.739103615823322,0.6997249002562003
llama,7,17,3036808,20,5097805,0.6913522731480513,0.6184266534355206
llama,7,18,3036809,20,5097907,0.7164260468119577,0.6536499184165927
llama,7,19,3036810,20,5097994,0.7395494423566851,0.678195203571964
llama,7,20,3036811,20,5098103,0.7111365400079495,0.6581360309578818
