census_2002_code,occupation_title,soc_2000_source_code,intermediate_level,intermediate_code,intermediate_title,broad_level,broad_code,broad_title,included_as_occupation,mapping_note
2850,Writers and authors,27-3043,2000_SOC_minor_group,27-3000,Media and Communication Workers,2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2860,Miscellaneous media and communication workers,27-3090,2000_SOC_minor_group,27-3000,Media and Communication Workers,2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2900,Broadcast and sound engineering technicians and radio operators,27-4010,2000_SOC_minor_group,27-4000,Media and Communication Equipment Workers,2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2910,Photographers,27-4021,2000_SOC_minor_group,27-4000,Media and Communication Equipment Workers,2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2920,"Television, video, and motion picture camera operators and editors",27-4030,2000_SOC_minor_group,27-4000,Media and Communication Equipment Workers,2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2960,"Media and communication equipment workers, all other",27-4099,2000_SOC_minor_group,27-4000,Media and Communication Equipment Workers,2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
3000,Chiropractors,29-1011,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3010,Dentists,29-1020,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3030,Dietitians and nutritionists,29-1031,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3040,Optometrists,29-1041,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3050,Pharmacists,29-1051,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3060,Physicians and surgeons,29-1060,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3110,Physician assistants,29-1071,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3120,Podiatrists,29-1081,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3130,Registered nurses,29-1111,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3140,Audiologists,29-1121,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3150,Occupational therapists,29-1122,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3160,Physical therapists,29-1123,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3200,Radiation therapists,29-1124,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3210,Recreational therapists,29-1125,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3220,Respiratory therapists,29-1126,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3230,Speech-language pathologists,29-1127,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3240,"Therapists, all other",29-1129,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3250,Veterinarians,29-1131,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3260,"Health diagnosing and treating practitioners, all other",29-1199,2000_SOC_minor_group,29-1000,Health Diagnosing and Treating Practitioners,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3300,Clinical laboratory technologists and technicians,29-2010,2000_SOC_minor_group,29-2000,Health Technologists and Technicians,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3310,Dental hygienists,29-2021,2000_SOC_minor_group,29-2000,Health Technologists and Technicians,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3320,Diagnostic related technologists and technicians,29-2030,2000_SOC_minor_group,29-2000,Health Technologists and Technicians,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3400,Emergency medical technicians and paramedics,29-2041,2000_SOC_minor_group,29-2000,Health Technologists and Technicians,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3410,Health diagnosing and treating practitioner support technicians,29-2050,2000_SOC_minor_group,29-2000,Health Technologists and Technicians,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3500,Licensed practical and licensed vocational nurses,29-2061,2000_SOC_minor_group,29-2000,Health Technologists and Technicians,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3510,Medical records and health information technicians,29-2071,2000_SOC_minor_group,29-2000,Health Technologists and Technicians,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3520,"Opticians, dispensing",29-2081,2000_SOC_minor_group,29-2000,Health Technologists and Technicians,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3530,Miscellaneous health technologists and technicians,29-2090,2000_SOC_minor_group,29-2000,Health Technologists and Technicians,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3540,Other healthcare practitioners and technical occupations,29-9000,2000_SOC_minor_group,29-9000,Other Healthcare Practitioners and Technical Occupations,2000_SOC_major_group,29-0000,Healthcare Practitioners and Technical Occupations,1,official 2002 Census-to-2000-SOC mapping
3600,"Nursing, psychiatric, and home health aides",31-1010,2000_SOC_minor_group,31-1000,"Nursing, Psychiatric, and Home Health Aides",2000_SOC_major_group,31-0000,Healthcare Support Occupations,1,official 2002 Census-to-2000-SOC mapping
3610,Occupational therapist assistants and aides,31-2010,2000_SOC_minor_group,31-2000,Occupational and Physical Therapist Assistants and Aides,2000_SOC_major_group,31-0000,Healthcare Support Occupations,1,official 2002 Census-to-2000-SOC mapping
3620,Physical therapist assistants and aides,31-2020,2000_SOC_minor_group,31-2000,Occupational and Physical Therapist Assistants and Aides,2000_SOC_major_group,31-0000,Healthcare Support Occupations,1,official 2002 Census-to-2000-SOC mapping
3630,Massage therapists,31-9011,2000_SOC_minor_group,31-9000,Other Healthcare Support Occupations,2000_SOC_major_group,31-0000,Healthcare Support Occupations,1,official 2002 Census-to-2000-SOC mapping
3640,Dental assistants,31-9091,2000_SOC_minor_group,31-9000,Other Healthcare Support Occupations,2000_SOC_major_group,31-0000,Healthcare Support Occupations,1,official 2002 Census-to-2000-SOC mapping
3650,Medical assistants and other healthcare support occupations,31-909X,2000_SOC_minor_group,31-9000,Other Healthcare Support Occupations,2000_SOC_major_group,31-0000,Healthcare Support Occupations,1,official 2002 Census-to-2000-SOC mapping
3700,First-line supervisors/managers of correctional officers,33-1011,2000_SOC_minor_group,33-1000,"Supervisors, Protective Service Workers",2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3710,First-line supervisors/managers of police and detectives,33-1012,2000_SOC_minor_group,33-1000,"Supervisors, Protective Service Workers",2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3720,First-line supervisors/managers of fire fighting and prevention workers,33-1021,2000_SOC_minor_group,33-1000,"Supervisors, Protective Service Workers",2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3730,"Supervisors, protective service workers, all other",33-1099,2000_SOC_minor_group,33-1000,"Supervisors, Protective Service Workers",2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3740,Fire fighters,33-2011,2000_SOC_minor_group,33-2000,Fire Fighting and Prevention Workers,2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3750,Fire inspectors,33-2020,2000_SOC_minor_group,33-2000,Fire Fighting and Prevention Workers,2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3800,"Bailiffs, correctional officers, and jailers",33-3010,2000_SOC_minor_group,33-3000,Law Enforcement Workers,2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3820,Detectives and criminal investigators,33-3021,2000_SOC_minor_group,33-3000,Law Enforcement Workers,2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3830,Fish and game wardens,33-3031,2000_SOC_minor_group,33-3000,Law Enforcement Workers,2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3840,Parking enforcement workers,33-3041,2000_SOC_minor_group,33-3000,Law Enforcement Workers,2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3850,Police and sheriff's patrol officers,33-3051,2000_SOC_minor_group,33-3000,Law Enforcement Workers,2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3860,Transit and railroad police,33-3052,2000_SOC_minor_group,33-3000,Law Enforcement Workers,2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3900,Animal control workers,33-9011,2000_SOC_minor_group,33-9000,Other Protective Service Workers,2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3910,Private detectives and investigators,33-9021,2000_SOC_minor_group,33-9000,Other Protective Service Workers,2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3920,Security guards and gaming surveillance officers,33-9030,2000_SOC_minor_group,33-9000,Other Protective Service Workers,2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3940,Crossing guards,33-9091,2000_SOC_minor_group,33-9000,Other Protective Service Workers,2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
3950,Lifeguards and other protective service workers,33-909X,2000_SOC_minor_group,33-9000,Other Protective Service Workers,2000_SOC_major_group,33-0000,Protective Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4000,Chefs and head cooks,35-1011,2000_SOC_minor_group,35-1000,"Supervisors, Food Preparation and Serving Workers",2000_SOC_major_group,35-0000,Food Preparation and Serving Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4010,First-line supervisors/managers of food preparation and serving workers,35-1012,2000_SOC_minor_group,35-1000,"Supervisors, Food Preparation and Serving Workers",2000_SOC_major_group,35-0000,Food Preparation and Serving Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4020,Cooks,35-2010,2000_SOC_minor_group,35-2000,Cooks and Food Preparation Workers,2000_SOC_major_group,35-0000,Food Preparation and Serving Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4030,Food preparation workers,35-2021,2000_SOC_minor_group,35-2000,Cooks and Food Preparation Workers,2000_SOC_major_group,35-0000,Food Preparation and Serving Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4040,Bartenders,35-3011,2000_SOC_minor_group,35-3000,Food and Beverage Serving Workers,2000_SOC_major_group,35-0000,Food Preparation and Serving Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4050,"Combined food preparation and serving workers, including fast food",35-3021,2000_SOC_minor_group,35-3000,Food and Beverage Serving Workers,2000_SOC_major_group,35-0000,Food Preparation and Serving Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4060,"Counter attendants, cafeteria, food concession, and coffee shop",35-3022,2000_SOC_minor_group,35-3000,Food and Beverage Serving Workers,2000_SOC_major_group,35-0000,Food Preparation and Serving Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4110,Waiters and waitresses,35-3031,2000_SOC_minor_group,35-3000,Food and Beverage Serving Workers,2000_SOC_major_group,35-0000,Food Preparation and Serving Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4120,"Food servers, nonrestaurant",35-3041,2000_SOC_minor_group,35-3000,Food and Beverage Serving Workers,2000_SOC_major_group,35-0000,Food Preparation and Serving Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4130,Dining room and cafeteria attendants and bartender helpers,35-9011,2000_SOC_minor_group,35-9000,Other Food Preparation and Serving Related Workers,2000_SOC_major_group,35-0000,Food Preparation and Serving Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4140,Dishwashers,35-9021,2000_SOC_minor_group,35-9000,Other Food Preparation and Serving Related Workers,2000_SOC_major_group,35-0000,Food Preparation and Serving Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4150,"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,2000_SOC_minor_group,35-9000,Other Food Preparation and Serving Related Workers,2000_SOC_major_group,35-0000,Food Preparation and Serving Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4160,"Food preparation and serving related workers, all other",35-9099,2000_SOC_minor_group,35-9000,Other Food Preparation and Serving Related Workers,2000_SOC_major_group,35-0000,Food Preparation and Serving Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4200,First-line supervisors/managers of housekeeping and janitorial workers,37-1011,2000_SOC_minor_group,37-1000,"Supervisors, Building and Grounds Cleaning and Maintenance Workers",2000_SOC_major_group,37-0000,Building and Grounds Cleaning and Maintenance Occupations,1,official 2002 Census-to-2000-SOC mapping
4210,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",37-1012,2000_SOC_minor_group,37-1000,"Supervisors, Building and Grounds Cleaning and Maintenance Workers",2000_SOC_major_group,37-0000,Building and Grounds Cleaning and Maintenance Occupations,1,official 2002 Census-to-2000-SOC mapping
4220,Janitors and building cleaners,37-201X,2000_SOC_minor_group,37-2000,Building Cleaning and Pest Control Workers,2000_SOC_major_group,37-0000,Building and Grounds Cleaning and Maintenance Occupations,1,official 2002 Census-to-2000-SOC mapping
4230,Maids and housekeeping cleaners,37-2012,2000_SOC_minor_group,37-2000,Building Cleaning and Pest Control Workers,2000_SOC_major_group,37-0000,Building and Grounds Cleaning and Maintenance Occupations,1,official 2002 Census-to-2000-SOC mapping
4240,Pest control workers,37-2021,2000_SOC_minor_group,37-2000,Building Cleaning and Pest Control Workers,2000_SOC_major_group,37-0000,Building and Grounds Cleaning and Maintenance Occupations,1,official 2002 Census-to-2000-SOC mapping
4250,Grounds maintenance workers,37-3010,2000_SOC_minor_group,37-3000,Grounds Maintenance Workers,2000_SOC_major_group,37-0000,Building and Grounds Cleaning and Maintenance Occupations,1,official 2002 Census-to-2000-SOC mapping
4300,First-line supervisors/managers of gaming workers,39-1010,2000_SOC_minor_group,39-1000,"Supervisors, Personal Care and Service Workers",2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4320,First-line supervisors/managers of personal service workers,39-1021,2000_SOC_minor_group,39-1000,"Supervisors, Personal Care and Service Workers",2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4340,Animal trainers,39-2011,2000_SOC_minor_group,39-2000,Animal Care and Service Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4350,Nonfarm animal caretakers,39-2021,2000_SOC_minor_group,39-2000,Animal Care and Service Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4400,Gaming services workers,39-3010,2000_SOC_minor_group,39-3000,Entertainment Attendants and Related Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4410,Motion picture projectionists,39-3021,2000_SOC_minor_group,39-3000,Entertainment Attendants and Related Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4420,"Ushers, lobby attendants, and ticket takers",39-3031,2000_SOC_minor_group,39-3000,Entertainment Attendants and Related Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4430,Miscellaneous entertainment attendants and related workers,39-3090,2000_SOC_minor_group,39-3000,Entertainment Attendants and Related Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4460,Funeral service workers,39-4000,2000_SOC_minor_group,39-4000,Funeral Service Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4500,Barbers,39-5011,2000_SOC_minor_group,39-5000,Personal Appearance Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4510,"Hairdressers, hairstylists, and cosmetologists",39-5012,2000_SOC_minor_group,39-5000,Personal Appearance Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4520,Miscellaneous personal appearance workers,39-5090,2000_SOC_minor_group,39-5000,Personal Appearance Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4530,"Baggage porters, bellhops, and concierges",39-6010,2000_SOC_minor_group,39-6000,"Transportation, Tourism, and Lodging Attendants",2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4540,Tour and travel guides,39-6020,2000_SOC_minor_group,39-6000,"Transportation, Tourism, and Lodging Attendants",2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4550,Transportation attendants,39-6030,2000_SOC_minor_group,39-6000,"Transportation, Tourism, and Lodging Attendants",2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4600,Child care workers,39-9011,2000_SOC_minor_group,39-9000,Other Personal Care and Service Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4610,Personal and home care aides,39-9021,2000_SOC_minor_group,39-9000,Other Personal Care and Service Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4620,Recreation and fitness workers,39-9030,2000_SOC_minor_group,39-9000,Other Personal Care and Service Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4640,Residential advisors,39-9041,2000_SOC_minor_group,39-9000,Other Personal Care and Service Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4650,"Personal care and service workers, all other",39-9099,2000_SOC_minor_group,39-9000,Other Personal Care and Service Workers,2000_SOC_major_group,39-0000,Personal Care and Service Occupations,1,official 2002 Census-to-2000-SOC mapping
4700,First-line supervisors/managers of retail sales workers,41-1011,2000_SOC_minor_group,41-1000,"Supervisors, Sales Workers",2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4710,First-line supervisors/managers of non-retail sales workers,41-1012,2000_SOC_minor_group,41-1000,"Supervisors, Sales Workers",2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4720,Cashiers,41-2010,2000_SOC_minor_group,41-2000,Retail Sales Workers,2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4740,Counter and rental clerks,41-2021,2000_SOC_minor_group,41-2000,Retail Sales Workers,2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4750,Parts salespersons,41-2022,2000_SOC_minor_group,41-2000,Retail Sales Workers,2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4760,Retail salespersons,41-2031,2000_SOC_minor_group,41-2000,Retail Sales Workers,2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4800,Advertising sales agents,41-3011,2000_SOC_minor_group,41-3000,"Sales Representatives, Services",2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4810,Insurance sales agents,41-3021,2000_SOC_minor_group,41-3000,"Sales Representatives, Services",2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4820,"Securities, commodities, and financial services sales agents",41-3031,2000_SOC_minor_group,41-3000,"Sales Representatives, Services",2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4830,Travel agents,41-3041,2000_SOC_minor_group,41-3000,"Sales Representatives, Services",2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4840,"Sales representatives, services, all other",41-3099,2000_SOC_minor_group,41-3000,"Sales Representatives, Services",2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4850,"Sales representatives, wholesale and manufacturing",41-4010,2000_SOC_minor_group,41-4000,"Sales Representatives, Wholesale and Manufacturing",2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4900,"Models, demonstrators, and product promoters",41-9010,2000_SOC_minor_group,41-9000,Other Sales and Related Workers,2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4920,Real estate brokers and sales agents,41-9020,2000_SOC_minor_group,41-9000,Other Sales and Related Workers,2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4930,Sales engineers,41-9031,2000_SOC_minor_group,41-9000,Other Sales and Related Workers,2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4940,Telemarketers,41-9041,2000_SOC_minor_group,41-9000,Other Sales and Related Workers,2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4950,"Door-to-door sales workers, news and street vendors, and related workers",41-9091,2000_SOC_minor_group,41-9000,Other Sales and Related Workers,2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
4960,"Sales and related workers, all other",41-9099,2000_SOC_minor_group,41-9000,Other Sales and Related Workers,2000_SOC_major_group,41-0000,Sales and Related Occupations,1,official 2002 Census-to-2000-SOC mapping
5000,First-line supervisors/managers of office and administrative support workers,43-1011,2000_SOC_minor_group,43-1000,"Supervisors, Office and Administrative Support Workers",2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5010,"Switchboard operators, including answering service",43-2011,2000_SOC_minor_group,43-2000,Communications Equipment Operators,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5020,Telephone operators,43-2021,2000_SOC_minor_group,43-2000,Communications Equipment Operators,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5030,"Communications equipment operators, all other",43-2099,2000_SOC_minor_group,43-2000,Communications Equipment Operators,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5100,Bill and account collectors,43-3011,2000_SOC_minor_group,43-3000,Financial Clerks,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5110,Billing and posting clerks and machine operators,43-3021,2000_SOC_minor_group,43-3000,Financial Clerks,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5120,"Bookkeeping, accounting, and auditing clerks",43-3031,2000_SOC_minor_group,43-3000,Financial Clerks,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5130,Gaming cage workers,43-3041,2000_SOC_minor_group,43-3000,Financial Clerks,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5140,Payroll and timekeeping clerks,43-3051,2000_SOC_minor_group,43-3000,Financial Clerks,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5150,Procurement clerks,43-3061,2000_SOC_minor_group,43-3000,Financial Clerks,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5160,Tellers,43-3071,2000_SOC_minor_group,43-3000,Financial Clerks,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5200,Brokerage clerks,43-4011,2000_SOC_minor_group,43-4000,Information and Record Clerks,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5210,Correspondence clerks,43-4021,2000_SOC_minor_group,43-4000,Information and Record Clerks,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5220,"Court, municipal, and license clerks",43-4031,2000_SOC_minor_group,43-4000,Information and Record Clerks,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5230,"Credit authorizers, checkers, and clerks",43-4041,2000_SOC_minor_group,43-4000,Information and Record Clerks,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5240,Customer service representatives,43-4051,2000_SOC_minor_group,43-4000,Information and Record Clerks,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
5250,"Eligibility interviewers, government programs",43-4061,2000_SOC_minor_group,43-4000,Information and Record Clerks,2000_SOC_major_group,43-0000,Office and Administrative Support Occupations,1,official 2002 Census-to-2000-SOC mapping
