occupation_level,occupation_code,occupation_title,analytic_n,split_replicates,split_seed_first,split_seed_last,euclidean_distance_median,euclidean_distance_p05,euclidean_distance_p95,uncentered_cosine_median,uncentered_cosine_p05,uncentered_cosine_p95,centered_cosine_median,centered_cosine_p05,centered_cosine_p95,pearson_r_median,pearson_r_p05,pearson_r_p95,kendall_tau_b_median,kendall_tau_b_p05,kendall_tau_b_p95
narrow,2320,Secondary school teachers,54,500,20260911,20261410,0.5401110305,0.2813291273,0.8735774815,0.6280227083,0.1499898335,0.9224763677,0.2940479932,-0.3213071165,0.8825730697,0.2940479932,-0.3213071165,0.8825730697,0.2,-0.2,0.8
narrow,2330,Special education teachers,16,500,20260911,20261410,1.188351988,0.5620523551,1.93275976,-0.2946356799,-0.7453466089,0.4591723948,-0.02209523858,-0.7474241325,0.7182111052,-0.02209523858,-0.7474241325,0.7182111052,0,-0.6,0.4
narrow,2340,Other teachers and instructors,24,500,20260911,20261410,1.025765051,0.5318712531,1.543570771,0.3243396463,-0.1829273561,0.8178150363,0.3845781229,-0.175028678,0.8824569392,0.3845781229,-0.175028678,0.8824569392,0.4,-0.2,0.8
narrow,2540,Teacher assistants,59,500,20260911,20261410,0.6533472018,0.355505779,1.094128239,0.07277916526,-0.4323037239,0.6564979761,0.2841148892,-0.2705141579,0.8474737331,0.2841148892,-0.2705141579,0.8474737331,0.2,-0.2,0.6
narrow,2630,Designers,29,500,20260911,20261410,0.7066844037,0.3699482916,1.101636166,0.7492240473,0.4566039463,0.9327024501,0.789222028,0.4718702125,0.9445990385,0.789222028,0.4718702125,0.9445990385,0.6,0.2,0.8
narrow,2710,Producers and directors,10,500,20260911,20261410,1.43988307,0.6683172664,2.209617524,0.2470774425,-0.2715988897,0.8464011757,0.482143343,-0.04959350332,0.9200709927,0.482143343,-0.04959350332,0.9200709927,0.4,-0.2,1
narrow,2720,"Athletes, coaches, umpires, and related workers",16,500,20260911,20261410,0.8170324249,0.4179276401,1.309225796,0.7390160921,0.4743534057,0.935983397,0.280933285,-0.229825985,0.8730896842,0.280933285,-0.229825985,0.8730896842,0.2,-0.2,0.8
narrow,2750,"Musicians, singers, and related workers",12,500,20260911,20261410,1.555677357,0.8339558042,2.227071583,-0.1121778775,-0.5028436775,0.6351678306,0.1225541586,-0.4899463025,0.834535914,0.1225541586,-0.4899463025,0.834535914,0,-0.4,0.6
narrow,2820,Public relations specialists,12,500,20260911,20261410,1.098202419,0.554663563,1.807794265,-0.1364822611,-0.5681723996,0.5392842606,-0.7032078222,-0.9132927569,0.06128780422,-0.7032078222,-0.9132927569,0.06128780422,-0.4,-0.8,0.2
narrow,2910,Photographers,11,500,20260911,20261410,1.324564077,0.6948834667,1.990002794,0.2281036727,-0.217912631,0.7875794378,0.2648135675,-0.2130940234,0.836794401,0.2648135675,-0.2130940234,0.836794401,0.2,-0.4,0.6
narrow,3130,Registered nurses,71,500,20260911,20261410,0.4362888425,0.2209345984,0.7041559973,0.8080005055,0.546994569,0.955285858,0.8690298778,0.6197809264,0.980188693,0.8690298778,0.6197809264,0.980188693,0.6,0.59,0.8
narrow,3300,Clinical laboratory technologists and technicians,11,500,20260911,20261410,1.457922821,0.8793571829,2.202107842,0.1008929503,-0.3065147597,0.5584056812,0.2269645413,-0.2639299692,0.7712699037,0.2269645413,-0.2639299692,0.7712699037,0.2,-0.2,0.4
narrow,3320,Diagnostic related technologists and technicians,13,500,20260911,20261410,1.392665911,0.6932160567,2.351231636,0.1399079977,-0.385253428,0.7013362963,-0.2771561132,-0.6931869816,0.4822792522,-0.2771561132,-0.6931869816,0.4822792522,-0.2,-0.6,0.4
narrow,3400,Emergency medical technicians and paramedics,16,500,20260911,20261410,1.164793266,0.6904050712,1.756376696,-0.008497447438,-0.4560357242,0.5196326747,0.1028540611,-0.4612553876,0.7411406388,0.1028540611,-0.4612553876,0.7411406388,0.2,-0.2,0.6
narrow,3410,Health diagnosing and treating practitioner support technicians,32,500,20260911,20261410,0.9905965696,0.5265116816,1.45902663,0.1541091552,-0.29415072,0.7137786529,0.2140461397,-0.2845185282,0.8177309533,0.2140461397,-0.2845185282,0.8177309533,0.2,-0.2,0.6
narrow,3500,Licensed practical and licensed vocational nurses,19,500,20260911,20261410,0.8574086069,0.4596937327,1.288536401,0.5590536523,0.1691838552,0.8834153433,0.3768408814,-0.1957510685,0.8578742217,0.3768408814,-0.1957510685,0.8578742217,0.4,-0.2,0.8
