model,persona,projected_norm_squared_20,centered_norm_squared,residual_norm_20,projected_norm_squared_full,residual_norm_full,captured_fraction_20,trait_cloud_distance_20,ood,nearest_traits_3d,trait_pc1,trait_pc2,trait_pc3,trait_pc4,trait_pc5,trait_pc6,trait_pc7,trait_pc8,trait_pc9,trait_pc10,trait_pc11,trait_pc12,trait_pc13,trait_pc14,trait_pc15,trait_pc16,trait_pc17,trait_pc18,trait_pc19,trait_pc20
gemma,presenter,273826767.37938374,373943982.3840201,10005.859033817953,354876461.3204178,4366.637271814808,0.7322668107496876,15554.941540680065,True,nurturing;supportive;agreeable;conciliatory;serene,9218.626011132521,4224.3574104605805,-298.7093653909626,-1739.4273011863,3987.4200938384292,-3182.2001470308155,3015.059557986974,-4507.696984795504,-3298.475451258909,-2370.8610006958497,-1735.9932908853793,4126.212586853436,4722.231723879458,3634.870299664812,4548.648504864505,1087.7743691247001,2933.2737030230364,284.05652014197165,2933.141213942138,1110.9916788987352
gemma,prey,268873322.1168188,373454628.2118008,10226.500187991101,353142158.0601207,4506.93578295499,0.719962484878699,15440.146411383157,True,nurturing;supportive;agreeable;conciliatory;serene,8697.64075996973,3981.4611444023635,-740.0483934893722,-1372.592385599558,3938.9982407192233,-3376.986567373347,2711.5213418940143,-4908.372119064703,-3770.4896830804964,-2435.653313235171,-1848.0478747375935,4193.353466664639,4646.356688595915,3621.914052072158,4579.1009367719425,1227.4966590326917,2956.796151578259,390.3496331733906,2848.8491242947484,1111.3892275996823
gemma,prisoner,258720455.8725014,364021526.9163658,10261.631012849,343985962.1688717,4476.110448536107,0.710728450770832,15132.167796755752,True,nurturing;supportive;agreeable;conciliatory;serene,8580.178945209931,4228.778859994544,-300.4508055494156,-1720.9997424170506,3964.1601189415096,-3444.9668756623105,2618.8819580172512,-4910.87415906611,-3397.499757096286,-2221.190531662659,-1701.2994511708425,3775.421060586835,4672.267973890402,3490.481713518559,4410.203666125373,1078.149070645601,2911.0591566033463,366.85722425177494,2731.146046043861,1135.753935288639
gemma,procrastinator,239855400.42027882,339727084.7069026,9993.5821548944,320568691.7124719,4377.030156902134,0.7060237797266371,14535.386541949161,True,nurturing;agreeable;supportive;conciliatory;calm,7990.110027126731,4132.653178117689,226.83450830620666,-1750.6978164888483,3185.3756380430027,-3097.7240625569093,2964.1981508941385,-4402.028567856837,-3353.4209630888486,-2067.87271126536,-1672.7896275371822,3967.9512070728147,4744.520170259895,3357.742320474955,4634.516353319355,852.0506725084439,2800.7917030260332,415.9143523136414,2966.1365339031504,1020.8187117852179
gemma,prodigy,265820705.82722175,366243796.50242966,10021.132205255448,347090948.0069556,4376.396747950766,0.7258026166334214,15310.354335758435,True,nurturing;supportive;agreeable;conciliatory;serene,9058.584595049757,3981.1964030682807,-589.5540989907076,-1626.4221905668799,3855.6368674317428,-3181.574274843798,3109.9660885923795,-4432.803697162897,-3357.864750858381,-2218.2395047948216,-1832.6630873680533,4102.346590698511,4616.525636437699,3538.837716153326,4564.440990790295,1075.7745905434879,2924.7841765891308,274.4656690969274,2937.2177670447304,1068.753990124622
gemma,producer,276902142.02807045,377373021.7030114,10023.516332851508,358188347.5214168,4380.031299156961,0.7337624210084354,15619.59966027655,True,nurturing;supportive;agreeable;conciliatory;calm,9445.144593506426,4033.2251129050774,-269.4934072152147,-1904.7557652202206,3974.729939376685,-3243.612406254455,3052.669289894053,-4459.470307490561,-3377.798305466251,-2422.9598131218245,-1707.2215579882566,4034.2597692169484,4772.017317740402,3596.0601068590836,4541.384121283925,1074.339246013471,2910.540445353694,337.22047388967087,2919.1948729476753,1067.542836202125
gemma,programmer,272099478.678566,373073221.70529497,10048.569202962628,353759328.9275952,4394.757419664909,0.7293460448188048,15480.298131367597,True,nurturing;supportive;agreeable;conciliatory;calm,9344.234552717364,3988.1720076538313,-259.8021560930817,-1911.5234469491677,3923.7561825302314,-3276.7021733638794,3081.635015694037,-4428.8739568742085,-3379.0941568863736,-2344.5671379328496,-1678.0684028007354,3944.453247750581,4671.01574113654,3611.5591723785033,4514.533350897455,1137.214433479079,2892.50016621006,292.346349561389,2913.556065794116,1070.9995364946415
gemma,proofreader,259475111.39147347,354551783.9467586,9750.72677061998,335783397.6850775,4332.249561334289,0.7318398133640124,15082.335653065644,True,nurturing;conciliatory;agreeable;supportive;calm,9234.714140064823,3754.959218142886,9.175168233391105,-1646.3417667720323,3706.3396903727617,-3373.802969844956,2920.8138946382396,-3958.4709979249315,-3327.716191696283,-2670.608194031117,-1559.945968230022,3960.8799781326347,4458.483538395019,3715.3820773533307,4470.082074949217,1013.8133956178337,2786.6148984618244,414.29858530965004,2836.3702405549234,1031.2504700365166
gemma,prophet,269179980.31214064,369322444.8635477,10007.12069235737,350134604.77756846,4380.392686275881,0.7288481489707285,15419.076475101807,True,nurturing;supportive;agreeable;serene;conciliatory,8871.703563249015,3947.303851947118,-1309.39240765399,-1191.1502574447295,4070.317831086012,-3254.66689178266,2828.091077749778,-4870.682089263349,-3629.009015277335,-2364.9724425186273,-1568.0373756478891,3962.4687169191066,4608.464142319772,3834.1358955050523,4647.138568735919,1054.3293675700281,2837.379585007014,516.2201731983198,2816.798158202213,1027.6226564225121
gemma,provincial,258699510.40551633,363520998.3410839,10238.236563762704,343748956.9057224,4446.576372374762,0.7116494276426479,15124.61220148083,True,nurturing;supportive;agreeable;conciliatory;serene,8694.902580706146,4293.734981294873,-342.9243867146455,-1303.2897992562241,3732.878304228834,-3090.5021481853414,2741.55572643562,-4900.863928897981,-3214.058530995377,-2344.7501022945335,-1674.4394571932426,3611.218015278334,4842.857959959159,3602.1357342935794,4503.341864028387,1312.035791567302,2957.1500387740707,265.65559377720217,2673.8707856474566,1325.8715966339523
