model,persona,residual_trait_hifwb_score,within_model_percentile
Qwen,translator,0.1574166796723125,88.36363636363636
Qwen,tree,0.15332136491994602,87.63636363636364
Qwen,trickster,-0.035425311639021094,37.81818181818182
Qwen,tulpa,-0.050041872036625724,32.72727272727273
Qwen,tutor,-0.007625082119099046,49.45454545454545
Qwen,validator,0.021794655004523336,63.272727272727266
Qwen,vampire,0.19973458001246516,93.0909090909091
Qwen,vegan,0.011106269888433511,57.81818181818181
Qwen,veteran,-0.06492347949999942,27.636363636363637
Qwen,veterinarian,0.061907880210693364,71.63636363636363
Qwen,vigilante,-0.1406005349854402,13.090909090909092
Qwen,virtuoso,0.12716355830278514,84.72727272727273
Qwen,virus,-0.047294731567458455,34.18181818181818
Qwen,visionary,0.03413842769600315,66.54545454545455
Qwen,void,0.09258757033345433,80.36363636363636
Qwen,wanderer,-0.03376625739912324,38.54545454545455
Qwen,warrior,0.2225497648926244,94.9090909090909
Qwen,whale,0.15514758991242808,88.0
Qwen,widow,0.03466942458928632,66.9090909090909
Qwen,wind,0.14216512848976487,85.0909090909091
Qwen,witch,0.19122591071390407,91.63636363636364
Qwen,witness,-0.0192125172310773,43.63636363636363
Qwen,workaholic,-0.06711620309976626,27.27272727272727
Qwen,wraith,0.18674238339000848,90.54545454545455
Qwen,writer,-0.02388578441590008,42.18181818181818
Qwen,zealot,0.3444896335678422,99.63636363636364
Qwen,zeitgeist,-0.09337950511913687,22.181818181818183
Llama,aberration,0.02093428875486313,62.18181818181818
Llama,absurdist,0.028375138903342922,65.81818181818181
Llama,accountant,-0.024215221820479544,38.54545454545455
Llama,activist,-0.008694473730477778,46.909090909090914
Llama,actor,0.21052365635921844,92.72727272727272
Llama,addict,-0.10037937219579118,18.181818181818183
Llama,adolescent,-0.16199498492017853,9.090909090909092
Llama,advocate,0.10289924410077748,82.18181818181817
Llama,alien,0.02380887442726112,63.63636363636363
Llama,altruist,0.037001477858778595,70.9090909090909
Llama,amateur,-0.09379941058087793,19.272727272727273
Llama,ambassador,0.0704187656740254,78.18181818181819
Llama,amnesiac,0.1603805500157399,86.54545454545455
Llama,analyst,0.017472842897505905,57.81818181818181
Llama,anarchist,-0.26810550746467904,3.6363636363636362
Llama,ancient,0.11436855267674677,83.63636363636363
Llama,angel,0.22886644797957442,94.54545454545455
Llama,anthropologist,-0.10026293175967148,18.545454545454547
Llama,archaeologist,-0.005975334974605201,47.63636363636364
Llama,architect,0.03049039528289673,67.27272727272727
Llama,archivist,0.02019549735579082,61.09090909090909
Llama,artisan,0.039530734414650714,72.0
Llama,ascetic,0.0525387097656164,73.81818181818181
Llama,assistant,-0.0029018834602362524,49.09090909090909
Llama,auctioneer,0.33676932448428765,98.54545454545455
Llama,auditor,-0.016986009438862294,41.81818181818181
Llama,avatar,0.2078044275304488,92.0
Llama,bard,0.2638078400171121,96.36363636363636
Llama,bartender,-0.1423401711675575,10.545454545454545
Llama,biologist,-0.05049161200458601,29.454545454545457
Llama,blogger,-0.03526202304275968,35.27272727272727
Llama,bohemian,0.036343037529664834,70.18181818181817
Llama,builder,-0.02717323058498496,37.81818181818182
Llama,caregiver,-0.03963132568367795,32.0
Llama,cartographer,-0.013516928789926216,44.0
Llama,caveman,0.2752065288958407,97.45454545454545
Llama,celebrity,-0.03790458212098348,33.81818181818182
Llama,chameleon,-0.04541688077966091,30.181818181818183
Llama,chef,0.017852357422864874,58.18181818181818
Llama,chemist,-0.04380688921595158,30.909090909090907
Llama,chimera,0.10097106936039017,81.45454545454545
Llama,coach,0.020413864108550114,61.81818181818181
Llama,collaborator,-0.016912208966862415,42.18181818181818
Llama,collector,0.03328143988740941,69.0909090909091
Llama,comedian,-0.05950167151671379,26.181818181818183
Llama,competitor,0.0712754429238403,78.54545454545455
Llama,composer,0.05545521773122332,75.27272727272727
Llama,conservator,0.0019991574390956753,50.54545454545455
Llama,consultant,0.018102665986048747,58.54545454545455
