lower_K,higher_K,lower_profile_id,higher_profile_id,weighted_sqrt_js_distance,expected_score_profile_correlation,lower_profile_nearest_higher,higher_profile_nearest_lower,mutual_nearest
7,8,H07_B,H08_B,0.11212018010024688,0.9631143393899547,True,True,True
7,8,H07_B,H08_C,0.19312909306621126,0.9713611652859181,False,False,False
7,8,H07_B,H08_D,0.13381186293301758,0.8764935173971939,False,True,False
7,8,H07_B,H08_E,0.28674773845807405,0.5977877248774186,False,False,False
7,8,H07_B,H08_F,0.28943058960072565,0.2620113030466953,False,False,False
7,8,H07_B,H08_G,0.30359001962224225,0.9378414840381615,False,False,False
7,8,H07_B,H08_H,0.19659410186255633,0.7616482224570643,False,False,False
7,8,H07_C,H08_A,0.25420362675017,0.7289833700477065,False,False,False
7,8,H07_C,H08_B,0.30603044914852384,0.9007926092947026,False,False,False
7,8,H07_C,H08_C,0.0844055715704723,0.9759785487297777,True,True,True
7,8,H07_C,H08_D,0.2450055011351353,0.8766367011096415,False,False,False
7,8,H07_C,H08_E,0.1361217217149287,0.7487199077050561,False,False,False
7,8,H07_C,H08_F,0.3177742729107531,0.4535512489262576,False,False,False
7,8,H07_C,H08_G,0.44171186492259334,0.934437224621715,False,False,False
7,8,H07_C,H08_H,0.22344281463941482,0.8669046409782105,False,False,False
7,8,H07_D,H08_A,0.2180241168068885,0.45918998274240697,False,False,False
7,8,H07_D,H08_B,0.30856915246416183,0.3213381447935905,False,False,False
7,8,H07_D,H08_C,0.23223795895136662,0.49346393200802524,False,False,False
7,8,H07_D,H08_D,0.17223284737690997,0.8169215312866658,False,False,False
7,8,H07_D,H08_E,0.13121063133972577,0.9639772838507952,True,True,True
7,8,H07_D,H08_F,0.16307090042639305,0.9430846099548601,False,False,False
7,8,H07_D,H08_G,0.37281452626669154,0.4757729312458454,False,False,False
7,8,H07_D,H08_H,0.20693173996161135,0.493840030142879,False,False,False
7,8,H07_E,H08_A,0.28709742747922906,0.710731524885297,False,False,False
7,8,H07_E,H08_B,0.18820124629177454,0.9866019300377561,False,False,False
7,8,H07_E,H08_C,0.38618338703889316,0.9497993595717287,False,False,False
7,8,H07_E,H08_D,0.27625965288512117,0.7159110478399101,False,False,False
7,8,H07_E,H08_E,0.4280574663082216,0.44014281812692163,False,False,False
7,8,H07_E,H08_F,0.30856400155871166,0.10193995607426393,False,False,False
7,8,H07_E,H08_G,0.10573238159909226,0.9698321803105515,True,True,True
7,8,H07_E,H08_H,0.28314392299857283,0.8058183301722638,False,False,False
7,8,H07_F,H08_A,0.2411326906778725,0.5326288529110969,False,False,False
7,8,H07_F,H08_B,0.2852799810862553,0.34146353794859124,False,False,False
7,8,H07_F,H08_C,0.3555765522334323,0.5020157314305171,False,False,False
7,8,H07_F,H08_D,0.21813810263734495,0.7951513069293757,False,False,False
7,8,H07_F,H08_E,0.3237201155295024,0.9402124255847638,False,False,False
7,8,H07_F,H08_F,0.11479230500653217,0.9473527616937315,True,True,True
7,8,H07_F,H08_G,0.20293264610305,0.530750864012702,False,False,False
7,8,H07_F,H08_H,0.24894827049661644,0.5468221448035794,False,False,False
7,8,H07_G,H08_A,0.18697536102955442,0.618301953540376,False,False,False
7,8,H07_G,H08_B,0.1683052566918464,0.8805754334899649,False,False,False
7,8,H07_G,H08_C,0.21254689825520903,0.8891545649907986,False,False,False
7,8,H07_G,H08_D,0.21337908500450525,0.6115872966795057,False,False,False
7,8,H07_G,H08_E,0.2693787948432006,0.4778400198260376,False,False,False
7,8,H07_G,H08_F,0.2518794996135928,0.24685209949424725,False,False,False
7,8,H07_G,H08_G,0.29616501927337957,0.8830226139702682,False,False,False
7,8,H07_G,H08_H,0.059194722352338844,0.981293046543694,True,True,True
8,9,H08_A,H09_A,0.052236275940723324,0.9843350101585084,True,True,True
8,9,H08_A,H09_B,0.22619533529489255,0.6644131060231816,False,False,False
8,9,H08_A,H09_C,0.26941722723747996,0.7483744954368194,False,False,False
8,9,H08_A,H09_D,0.21644504725859343,0.6156212823893064,False,False,False
8,9,H08_A,H09_E,0.30201499671613125,0.6950622890236525,False,False,False
8,9,H08_A,H09_F,0.2354389510567293,0.6603288664272143,False,False,False
8,9,H08_A,H09_G,0.2133593976411667,0.39927474428494963,False,False,False
8,9,H08_A,H09_H,0.2687539842418964,0.49991462191019514,False,False,False
8,9,H08_A,H09_I,0.19372502515683218,0.6165175342727572,False,False,False
8,9,H08_B,H09_A,0.23436390004020294,0.6176496420619786,False,False,False
8,9,H08_B,H09_B,0.06435160188325495,0.9969341407884669,True,True,True
8,9,H08_B,H09_C,0.36018823090364105,0.6633334465847921,False,False,False
8,9,H08_B,H09_D,0.20737723241599337,0.7586265485329614,False,False,False
8,9,H08_B,H09_E,0.19950139147685064,0.9839562120697032,False,False,False
8,9,H08_B,H09_F,0.24890347769239915,0.9359856779205031,False,False,False
8,9,H08_B,H09_G,0.31965646862994834,0.1813000586960669,False,False,False
8,9,H08_B,H09_H,0.30992519296471255,0.23914880652957465,False,False,False
8,9,H08_B,H09_I,0.1862029730341181,0.8163595788389628,False,False,False
8,9,H08_C,H09_A,0.2476409882278372,0.6600008373573906,False,False,False
8,9,H08_C,H09_B,0.21852884131389352,0.9688713034015598,False,False,False
8,9,H08_C,H09_C,0.17112758975548656,0.7957519159546624,False,False,False
8,9,H08_C,H09_D,0.20605137971543275,0.8453922646507493,False,False,False
8,9,H08_C,H09_E,0.3962377968282792,0.949892393969986,False,False,False
8,9,H08_C,H09_F,0.07392193280792045,0.9727606308222305,True,True,True
8,9,H08_C,H09_G,0.26305873013840686,0.3611843851962315,False,False,False
8,9,H08_C,H09_H,0.38560900651694385,0.40356968867268,False,False,False
8,9,H08_C,H09_I,0.2754777851195239,0.8374577758574958,False,False,False
8,9,H08_D,H09_A,0.2024884108271405,0.6629914603265076,False,False,False
8,9,H08_D,H09_B,0.19424485560151733,0.7508957564933214,False,False,False
8,9,H08_D,H09_C,0.26620386484901637,0.9219420720266913,False,False,False
8,9,H08_D,H09_D,0.048811655084443836,0.9962925316744182,True,True,True
