prompt_id,component,family,target_pc,off_axis,mean_off_axis_delta_bare,abs_mean_off_axis_delta_bare,target_axis_delta_bare,off_axis_to_target_abs_ratio
pc3_pair_05B,pc3_minimal_pairs,pc3_cost_to_others_vs_self,PC3,PC2,25.306349112023767,25.306349112023767,9.240909276618538,2.7385128837972106
pc2_pair_02B,pc2_minimal_pairs,pc2_integrative_whole_vs_sensory_immediate,PC2,PC1,-24.23325264782232,24.23325264782232,-15.813276154712526,1.5324624961158992
pc1_pos_r2_09,pc1_positive_replacement_family,pc1_positive_replacement_constrained_criteria,PC1,PC3,24.087790993972092,24.087790993972092,-9.110074672461229,2.6440827172124326
pc3_pair_04A,pc3_minimal_pairs,pc3_cost_to_others_vs_self,PC3,PC1,-23.905879915615905,23.905879915615905,-6.924644524926576,3.452289836620304
pc1_pos_r2_08,pc1_positive_replacement_family,pc1_positive_replacement_constrained_criteria,PC1,PC3,22.759717061729997,22.759717061729997,11.36629324374861,2.002386932454492
pc1_pair_01A,pc1_minimal_pairs,pc1_determination_vs_open_reflection,PC1,PC3,22.415814525445892,22.415814525445892,-9.740170460223656,2.301378052569408
pc3_pair_05A,pc3_minimal_pairs,pc3_cost_to_others_vs_self,PC3,PC2,21.69623381951333,21.69623381951333,-4.919537492181205,4.410218207299266
pc3_pair_01B,pc3_minimal_pairs,pc3_cost_to_others_vs_self,PC3,PC2,21.49838951685906,21.49838951685906,8.422277643077772,2.5525624335747144
pc1_pair_02A,pc1_minimal_pairs,pc1_determination_vs_open_reflection,PC1,PC3,20.70235452653119,20.70235452653119,-8.964847382244836,2.3092813121984155
pc1_pair_04A,pc1_minimal_pairs,pc1_determination_vs_open_reflection,PC1,PC3,20.49008999373,20.49008999373,-19.214736013642188,1.0663737445667358
pc1_pair_01B,pc1_minimal_pairs,pc1_determination_vs_open_reflection,PC1,PC3,20.15941400329538,20.15941400329538,0.87801265037785,22.96027738848282
pc1_pair_04B,pc1_minimal_pairs,pc1_determination_vs_open_reflection,PC1,PC3,20.01243070746828,20.01243070746828,-5.7190109426324565,3.4992817653629236
pc1_pair_05A,pc1_minimal_pairs,pc1_determination_vs_open_reflection,PC1,PC3,19.991916475432618,19.991916475432618,-7.677399433106572,2.603995877721385
pc1_pair_05B,pc1_minimal_pairs,pc1_determination_vs_open_reflection,PC1,PC2,-19.743767609284212,19.743767609284212,5.9653881363529955,3.309720534186644
pc2_pair_05B,pc2_minimal_pairs,pc2_integrative_whole_vs_sensory_immediate,PC2,PC1,-19.1483145307078,19.1483145307078,-26.966460700829497,0.7100788918183127
pc1_pair_02B,pc1_minimal_pairs,pc1_determination_vs_open_reflection,PC1,PC2,19.065270921319488,19.065270921319488,-10.254499478666677,1.8592102872481258
pc1_pair_03A,pc1_minimal_pairs,pc1_determination_vs_open_reflection,PC1,PC3,18.419725048740883,18.419725048740883,-3.291844380033455,5.595563739421998
pc1_pair_05B,pc1_minimal_pairs,pc1_determination_vs_open_reflection,PC1,PC3,18.208865851308747,18.208865851308747,5.9653881363529955,3.0524192952913003
pc2_pair_01A,pc2_minimal_pairs,pc2_integrative_whole_vs_sensory_immediate,PC2,PC3,18.159473502530624,18.159473502530624,23.008308356237634,0.7892572205381947
