model,persona,direct_trait_hifwb_score,within_model_percentile
Llama,anthropologist,0.32108712490121993,67.63636363636364
Llama,archaeologist,0.18311842321585187,46.909090909090914
Llama,architect,0.3873846582145019,75.63636363636364
Llama,archivist,0.2633653131727809,58.54545454545455
Llama,artisan,0.22867923684594627,55.27272727272727
Llama,ascetic,-0.15794459629728624,29.09090909090909
Llama,assistant,0.36710262423802736,73.45454545454545
Llama,auctioneer,-0.3166654903162069,22.545454545454547
Llama,auditor,0.1843930935309696,47.27272727272727
Llama,avatar,0.6623172731661529,97.81818181818181
Llama,bard,0.15918511771066038,42.90909090909091
Llama,bartender,-0.2010376850093221,26.90909090909091
Llama,biologist,0.30725923976939246,65.45454545454545
Llama,blogger,0.32287074258940063,68.0
Llama,bohemian,-0.08729456401901337,31.272727272727273
Llama,builder,0.14716228359719974,41.81818181818181
Llama,caregiver,0.49309798722690223,87.63636363636364
Llama,cartographer,0.3035644201775819,64.36363636363637
Llama,caveman,-1.7396154152113412,1.4545454545454546
Llama,celebrity,-0.2494795100680734,25.09090909090909
Llama,chameleon,0.10396029147479531,37.45454545454546
Llama,chef,0.10408817004553586,37.81818181818182
Llama,chemist,0.1895405125532987,48.72727272727273
Llama,chimera,0.04154107657312945,36.0
Llama,coach,0.5750413381468966,93.81818181818183
Llama,collaborator,0.5014232499168394,89.0909090909091
Llama,collector,0.2999008984664426,64.0
Llama,comedian,-1.2803863393314432,5.818181818181818
Llama,competitor,-0.9097102580915297,9.818181818181818
Llama,composer,0.2847663755714418,60.72727272727273
Llama,conservator,0.22275874670212575,54.18181818181819
Llama,consultant,0.44737791537971283,81.81818181818183
Llama,contrarian,-0.6702971046475846,13.090909090909092
Llama,coordinator,0.47063427433176547,85.0909090909091
Llama,coral_reef,0.2932437718693967,62.54545454545455
Llama,cosmopolitan,0.5235878570385322,90.9090909090909
Llama,counselor,0.5195365004635853,90.18181818181819
Llama,criminal,-1.601758724701646,2.5454545454545454
Llama,critic,0.31455684898316827,66.54545454545455
Llama,crystalline,0.2961465036757751,63.272727272727266
Llama,curator,0.47325973897240353,85.45454545454545
Llama,cyborg,0.3962377640020668,77.0909090909091
Llama,cynic,-2.468125207255691,0.36363636363636365
Llama,daredevil,-0.8149760309479412,11.272727272727273
Llama,debugger,0.2979565904207161,63.63636363636363
Llama,demon,-1.0197498868564123,8.0
Llama,designer,0.5265742967293772,91.63636363636364
Llama,destroyer,0.06530097722315613,36.36363636363637
Llama,detective,0.15864761542491285,42.54545454545455
Llama,devils_advocate,-0.6183762671845814,13.454545454545455
Llama,dilettante,-0.16443063538330005,27.636363636363637
Llama,dispatcher,0.28201577522078036,60.0
Llama,divorcee,-0.2084028206215779,26.181818181818183
